StudyTrials.thisRepN,StudyTrials.thisTrialN,StudyTrials.thisN,StudyTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textReady.started,textReady.stopped,keyReady.keys,keyReady.rt,keyReady.started,keyReady.stopped,polyback_2.started,polyback_2.stopped,studyPic,studyWord,studyType,studyN,studyOrder,polyback_3.started,polyback_3.stopped,studyPicChoice.started,studyPicChoice.stopped,polyback_4.started,polyback_4.stopped,polyback.started,polyback.stopped,studyWords.started,studyWords.stopped,getResearcher.started,getResearcher.stopped,kPress2.keys,kPress2.rt,kPress2.started,kPress2.stopped,testWord,testType,testN,testOrder,polyback_5.started,polyback_5.stopped,testWords.started,testWords.stopped,textScale.started,textScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,polyback_6.started,polyback_6.stopped,studyWords_2.started,studyWords_2.stopped,polyback_7.started,polyback_7.stopped,testWords_2.started,testWords_2.stopped,textScale_2.started,textScale_2.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.239532562030945,None,space,929.516303414799,19.239532562030945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
,,,,,,,,,,,,,,948.7765040119411,None,space,18.370309137302684,948.7765040119411,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
0,0,0,0,,,,,,,,,,,,,,,,,971.9503473906661,None,materials/mumblePic.jpg,school,C_aloud2,0,274,968.3373555389699,None,968.3373555389699,None,969.2011668843625,None,969.4661416930903,None,969.4661416930903,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
1,0,1,0,,,,,,,,,,,,,,,,,976.2186835230386,None,materials/speakPic.jpg,birth,B_aloud1,1,22,972.5842168936797,None,972.5842168936797,None,973.4676796043932,None,973.7341416308773,None,973.7341416308773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
2,0,2,0,,,,,,,,,,,,,,,,,980.4863379361632,None,materials/mumblePic.jpg,finance,C_aloud2,2,129,976.8028270199429,None,976.8028270199429,None,977.7356083224295,None,978.0021169994143,None,978.0021169994143,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
3,0,3,0,,,,,,,,,,,,,,,,,984.754316725739,None,materials/readPic.jpg,territory,A_silent,3,324,981.0541363438242,None,981.0541363438242,None,982.00423244384,None,982.2701035640785,None,982.2701035640785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
4,0,4,0,,,,,,,,,,,,,,,,,989.0223630030232,None,materials/mumblePic.jpg,goose,C_aloud2,4,138,985.3264865957317,None,985.3264865957317,None,986.2715811407543,None,986.5380935497815,None,986.5380935497815,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
5,0,5,0,,,,,,,,,,,,,,,,,993.2905088013795,None,materials/readPic.jpg,column,A_silent,5,57,989.6302727498696,None,989.6302727498696,None,990.5426559681364,None,990.8060869565234,None,990.8060869565234,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
6,0,6,0,,,,,,,,,,,,,,,,,997.5582891708473,None,materials/mumblePic.jpg,order,C_aloud2,6,207,993.8582658455998,None,993.8582658455998,None,994.8076270448219,None,995.0740589040215,None,995.0740589040215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
7,0,7,0,,,,,,,,,,,,,,,,,1001.8262707594549,None,materials/mumblePic.jpg,orchestra,C_aloud2,7,206,998.1081877837714,None,998.1081877837714,None,999.0756027243624,None,999.3420423586504,None,999.3420423586504,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base7,001,2019_Oct_26_1351,ProdFawcett_Revision2019,3.2.4,59.989813257564634,
