StudyTrials.thisRepN,StudyTrials.thisTrialN,StudyTrials.thisN,StudyTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textReady.started,textReady.stopped,keyReady.keys,keyReady.rt,keyReady.started,keyReady.stopped,polyback_2.started,polyback_2.stopped,studyPic,studyWord,studyType,studyN,studyOrder,polyback_3.started,polyback_3.stopped,studyPicChoice.started,studyPicChoice.stopped,polyback_4.started,polyback_4.stopped,polyback.started,polyback.stopped,studyWords.started,studyWords.stopped,getResearcher.started,getResearcher.stopped,kPress2.keys,kPress2.rt,kPress2.started,kPress2.stopped,testWord,testType,testN,testOrder,polyback_5.started,polyback_5.stopped,testWords.started,testWords.stopped,textScale.started,textScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,polyback_6.started,polyback_6.stopped,studyWords_2.started,studyWords_2.stopped,polyback_7.started,polyback_7.stopped,testWords_2.started,testWords_2.stopped,textScale_2.started,textScale_2.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,35.376385830692016,None,space,551.8566380543634,35.376385830692016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,,,,,,,,,,,587.2604854761448,None,space,18.075187845999608,587.2604854761448,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
0,0,0,0,,,,,,,,,,,,,,,,,610.2340676121094,None,materials/singPic.jpg,society,C_sing,0,293,606.6829153448925,None,606.6829153448925,None,607.5498056229408,None,607.7498625365406,None,607.7498625365406,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
1,0,1,0,,,,,,,,,,,,,,,,,614.5023514959175,None,materials/speakPic.jpg,revolution,B_aloud,1,264,610.8908512160269,None,610.8908512160269,None,611.7513338931312,None,612.0178640293598,None,612.0178640293598,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
2,0,2,0,,,,,,,,,,,,,,,,,618.7700612676417,None,materials/speakPic.jpg,treatment,B_aloud,2,339,615.0852351184876,None,615.0852351184876,None,616.0194930646248,None,616.285866455175,None,616.285866455175,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
3,0,3,0,,,,,,,,,,,,,,,,,623.0380503203342,None,materials/singPic.jpg,health,C_sing,3,149,619.3788278285792,None,619.3788278285792,None,620.2881744106417,None,620.553930148657,None,620.553930148657,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
4,0,4,0,,,,,,,,,,,,,,,,,627.3060253778676,None,materials/readPic.jpg,raise,A_silent,4,250,623.6967021210439,None,623.6967021210439,None,624.5561783914891,None,624.8218277663691,None,624.8218277663691,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
5,0,5,0,,,,,,,,,,,,,,,,,631.5740302917111,None,materials/singPic.jpg,motion,C_sing,5,194,627.9240337127558,None,627.9240337127558,None,628.823351371524,None,629.0898224171106,None,629.0898224171106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
6,0,6,0,,,,,,,,,,,,,,,,,635.8420420476468,None,materials/readPic.jpg,music,A_silent,6,196,632.1755793991324,None,632.1755793991324,None,633.091841450514,None,633.3578167568485,None,633.3578167568485,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
7,0,7,0,,,,,,,,,,,,,,,,,640.1100115071167,None,materials/singPic.jpg,committee,C_sing,7,62,636.4482646015967,None,636.4482646015967,None,637.3593602662149,None,637.6257871493435,None,637.6257871493435,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
8,0,8,0,,,,,,,,,,,,,,,,,644.3779647944175,None,materials/speakPic.jpg,fellow,B_aloud,8,126,640.6949720097036,None,640.6949720097036,None,641.6273026684066,None,641.8938990483293,None,641.8938990483293,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
9,0,9,0,,,,,,,,,,,,,,,,,648.6459606891731,None,materials/speakPic.jpg,phrase,B_aloud,9,220,644.961323008014,None,644.961323008014,None,645.8950867699168,None,646.1525318778295,None,646.1525318778295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
10,0,10,0,,,,,,,,,,,,,,,,,652.9139621819922,None,materials/singPic.jpg,court,C_sing,10,75,649.2980142439483,None,649.2980142439483,None,650.1634039310738,None,650.4297633264941,None,650.4297633264941,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
11,0,11,0,,,,,,,,,,,,,,,,,657.181963985815,None,materials/readPic.jpg,generation,A_silent,11,136,653.5052649748104,None,653.5052649748104,None,654.4311796355032,None,654.6980310381332,None,654.6980310381332,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
