StudyTrials.thisRepN,StudyTrials.thisTrialN,StudyTrials.thisN,StudyTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textReady.started,textReady.stopped,keyReady.keys,keyReady.rt,keyReady.started,keyReady.stopped,polyback_2.started,polyback_2.stopped,studyPic,studyWord,studyType,studyN,studyOrder,polyback_3.started,polyback_3.stopped,studyPicChoice.started,studyPicChoice.stopped,polyback_4.started,polyback_4.stopped,polyback.started,polyback.stopped,studyWords.started,studyWords.stopped,getResearcher.started,getResearcher.stopped,kPress2.keys,kPress2.rt,kPress2.started,kPress2.stopped,testWord,testType,testN,testOrder,polyback_5.started,polyback_5.stopped,testWords.started,testWords.stopped,textScale.started,participant,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,polyback_6.started,polyback_6.stopped,studyWords_2.started,studyWords_2.stopped,polyback_7.started,polyback_7.stopped,testWords_2.started,testWords_2.stopped,textScale_2.started,textScale_2.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,,session,date,expName,psychopyVersion,frameRate
,,,,,,,,14.27266934,None,space,2.703811967,14.27266934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,,,,,,,,,,,17.00263886,None,space,12.4291379,17.00263886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
0,0,0,0,,,,,,,,,,,,,,,,,34.24133203,None,materials/readPic.jpg,medicine,A_silent,0,186,30.57368321,None,30.57368321,None,31.49229116,None,31.7571848,None,31.7571848,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
1,0,1,0,,,,,,,,,,,,,,,,,38.50932201,None,materials/readPic.jpg,blind,A_silent,1,24,34.81646203,None,34.81646203,None,35.75863843,None,36.0251017,None,36.0251017,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
2,0,2,0,,,,,,,,,,,,,,,,,42.7773036,None,materials/speakPic.jpg,taste,B_aloud,2,322,39.14399888,None,39.14399888,None,40.02657585,None,40.29312403,None,40.29312403,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
3,0,3,0,,,,,,,,,,,,,,,,,47.04530354,None,materials/speakPic.jpg,commercial,B_aloud,3,61,43.35146451,None,43.35146451,None,44.29458885,None,44.56106612,None,44.56106612,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
4,0,4,0,,,,,,,,,,,,,,,,,51.31331778,None,materials/readPic.jpg,science,A_silent,4,275,47.67978852,None,47.67978852,None,48.56254929,None,48.82907788,None,48.82907788,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
5,0,5,0,,,,,,,,,,,,,,,,,55.58129937,None,materials/readPic.jpg,council,A_silent,5,71,51.90051409,None,51.90051409,None,52.83053524,None,53.09709741,None,53.09709741,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
6,0,6,0,,,,,,,,,,,,,,,,,59.84922964,None,materials/speakPic.jpg,danger,B_aloud,6,85,56.20194657,None,56.20194657,None,57.09862505,None,57.36546775,None,57.36546775,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
7,0,7,0,,,,,,,,,,,,,,,,,64.1173574,None,materials/readPic.jpg,question,A_silent,7,247,60.45036947,None,60.45036947,None,61.36758941,None,61.63342632,None,61.63342632,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
8,0,8,0,,,,,,,,,,,,,,,,,68.38521273,None,materials/singPic.jpg,collection,C_sing,8,54,64.72452883,None,64.72452883,None,65.6344996,None,65.90101947,None,65.90101947,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
9,0,9,0,,,,,,,,,,,,,,,,,72.65325341,None,materials/speakPic.jpg,history,B_aloud,9,153,68.98655377,None,68.98655377,None,69.90255209,None,70.16902252,None,70.16902252,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
10,0,10,0,,,,,,,,,,,,,,,,,76.92154133,None,materials/speakPic.jpg,pretty,B_aloud,10,233,73.22720843,None,73.22720843,None,74.17048734,None,74.43701686,None,74.43701686,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
11,0,11,0,,,,,,,,,,,,,,,,,81.18920663,None,materials/speakPic.jpg,stranger,B_aloud,11,309,77.48826927,None,77.48826927,None,78.43853331,None,78.70499129,None,78.70499129,None,,,,,,,,,,,,,,,,sing17a,,,,,,,,,,,,,,,,,,,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
