StudyTrials.thisRepN,StudyTrials.thisTrialN,StudyTrials.thisN,StudyTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,keyWelcome.keys,keyWelcome.rt,keyReady.keys,keyReady.rt,studyPic,studyWord,studyType,studyN,studyOrder,kPress2.keys,kPress2.rt,testWord,testType,testN,testOrder,keyConf.keys,keyConf.rt,keyRKN.keys,keyRKN.rt,date,frameRate,expName,session,participant,
,,,,,,,,space,1437.8999457,,,,,,,,,,,,,,,,,,2019_Nov_04_0959,59.868695976,ProdFawcett_Revision2019,001,sing19,
,,,,,,,,,,space,2.8348051,,,,,,,,,,,,,,,,2019_Nov_04_0959,59.868695976,ProdFawcett_Revision2019,001,sing19,
0,0,0,0,,,,,,,,,materials/speakPic.jpg,raise,B_aloud,0,250,,,,,,,,,,,2019_Nov_04_0959,59.868695976,ProdFawcett_Revision2019,001,sing19,
1,0,1,0,,,,,,,,,materials/readPic.jpg,smell,A_silent,1,291,,,,,,,,,,,2019_Nov_04_0959,59.868695976,ProdFawcett_Revision2019,001,sing19,
2,0,2,0,,,,,,,,,materials/readPic.jpg,comedy,A_silent,2,58,,,,,,,,,,,2019_Nov_04_0959,59.868695976,ProdFawcett_Revision2019,001,sing19,
3,0,3,0,,,,,,,,,materials/singPic.jpg,direction,C_sing,3,94,,,,,,,,,,,2019_Nov_04_0959,59.868695976,ProdFawcett_Revision2019,001,sing19,
4,0,4,0,,,,,,,,,materials/singPic.jpg,heavy,C_sing,4,151,,,,,,,,,,,2019_Nov_04_0959,59.868695976,ProdFawcett_Revision2019,001,sing19,
5,0,5,0,,,,,,,,,materials/speakPic.jpg,fight,B_aloud,5,127,,,,,,,,,,,2019_Nov_04_0959,59.868695976,ProdFawcett_Revision2019,001,sing19,
6,0,6,0,,,,,,,,,materials/singPic.jpg,voice,C_sing,6,348,,,,,,,,,,,2019_Nov_04_0959,59.868695976,ProdFawcett_Revision2019,001,sing19,
7,0,7,0,,,,,,,,,materials/singPic.jpg,appeal,C_sing,7,9,,,,,,,,,,,2019_Nov_04_0959,59.868695976,ProdFawcett_Revision2019,001,sing19,
8,0,8,0,,,,,,,,,materials/speakPic.jpg,center,B_aloud,8,44,,,,,,,,,,,2019_Nov_04_0959,59.868695976,ProdFawcett_Revision2019,001,sing19,
9,0,9,0,,,,,,,,,materials/singPic.jpg,personnel,C_sing,9,219,,,,,,,,,,,2019_Nov_04_0959,59.868695976,ProdFawcett_Revision2019,001,sing19,
10,0,10,0,,,,,,,,,materials/readPic.jpg,service,A_silent,10,280,,,,,,,,,,,2019_Nov_04_0959,59.868695976,ProdFawcett_Revision2019,001,sing19,
11,0,11,0,,,,,,,,,materials/readPic.jpg,resistance,A_silent,11,262,,,,,,,,,,,2019_Nov_04_0959,59.868695976,ProdFawcett_Revision2019,001,sing19,
12,0,12,0,,,,,,,,,materials/readPic.jpg,brilliant,A_silent,12,30,,,,,,,,,,,2019_Nov_04_0959,59.868695976,ProdFawcett_Revision2019,001,sing19,
13,0,13,0,,,,,,,,,materials/singPic.jpg,chief,C_sing,13,48,,,,,,,,,,,2019_Nov_04_0959,59.868695976,ProdFawcett_Revision2019,001,sing19,
14,0,14,0,,,,,,,,,materials/speakPic.jpg,household,B_aloud,14,154,,,,,,,,,,,2019_Nov_04_0959,59.868695976,ProdFawcett_Revision2019,001,sing19,
15,0,15,0,,,,,,,,,materials/singPic.jpg,citizen,C_sing,15,50,,,,,,,,,,,2019_Nov_04_0959,59.868695976,ProdFawcett_Revision2019,001,sing19,
16,0,16,0,,,,,,,,,materials/readPic.jpg,prime,A_silent,16,235,,,,,,,,,,,2019_Nov_04_0959,59.868695976,ProdFawcett_Revision2019,001,sing19,
