StudyTrials.thisRepN,StudyTrials.thisTrialN,StudyTrials.thisN,StudyTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textReady.started,textReady.stopped,keyReady.keys,keyReady.rt,keyReady.started,keyReady.stopped,polyback_2.started,polyback_2.stopped,studyPic,studyWord,studyType,studyN,studyOrder,polyback_3.started,polyback_3.stopped,studyPicChoice.started,studyPicChoice.stopped,polyback_4.started,polyback_4.stopped,polyback.started,polyback.stopped,studyWords.started,studyWords.stopped,getResearcher.started,getResearcher.stopped,kPress2.keys,kPress2.rt,kPress2.started,kPress2.stopped,testWord,testType,testN,testOrder,polyback_5.started,polyback_5.stopped,testWords.started,testWords.stopped,textScale.started,textScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,polyback_6.started,polyback_6.stopped,studyWords_2.started,studyWords_2.stopped,polyback_7.started,polyback_7.stopped,testWords_2.started,testWords_2.stopped,textScale_2.started,textScale_2.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.125162199838087,None,space,2873.834857000038,17.125162199838087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
,,,,,,,,,,,,,,2890.984055100009,None,space,3.911846000002697,2890.984055100009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
0,0,0,0,,,,,,,,,,,,,,,,,2899.681169099873,None,materials/speakPic.jpg,report,B_aloud,0,259,2896.062032500049,None,2896.062032500049,None,2896.9332310999744,None,2897.1912751998752,None,2897.1912751998752,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
1,0,1,0,,,,,,,,,,,,,,,,,2903.94882579986,None,materials/readPic.jpg,appeal,A_silent,1,9,2900.268048699945,None,2900.268048699945,None,2901.1991087999195,None,2901.448686099844,None,2901.448686099844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
2,0,2,0,,,,,,,,,,,,,,,,,2908.215811099857,None,materials/readPic.jpg,turkey,A_silent,2,342,2904.5193580000196,None,2904.5193580000196,None,2905.465803799918,None,2905.7306061999407,None,2905.7306061999407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
3,0,3,0,,,,,,,,,,,,,,,,,2912.482667000033,None,materials/readPic.jpg,rough,A_silent,3,266,2908.7937262998894,None,2908.7937262998894,None,2909.7324120998383,None,2909.9940857000183,None,2909.9940857000183,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
4,0,4,0,,,,,,,,,,,,,,,,,2916.749682100024,None,materials/readPic.jpg,match,A_silent,4,181,2913.0900385000277,None,2913.0900385000277,None,2913.9983234999236,None,2914.2562634998467,None,2914.2562634998467,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
5,0,5,0,,,,,,,,,,,,,,,,,2921.0165629999246,None,materials/speakPic.jpg,second,B_aloud,5,278,2917.3180016998667,None,2917.3180016998667,None,2918.266786699882,None,2918.5231846000534,None,2918.5231846000534,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
6,0,6,0,,,,,,,,,,,,,,,,,2925.2833870998584,None,materials/readPic.jpg,whole,A_silent,6,355,2921.5967539998237,None,2921.5967539998237,None,2922.5338305998594,None,2922.7939448000398,None,2922.7939448000398,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
7,0,7,0,,,,,,,,,,,,,,,,,2929.550529900007,None,materials/singPic.jpg,personnel,C_sing,7,219,2925.86589669995,None,2925.86589669995,None,2926.800628299825,None,2927.060303899925,None,2927.060303899925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
8,0,8,0,,,,,,,,,,,,,,,,,2933.8166952000465,None,materials/speakPic.jpg,court,B_aloud,8,75,2930.127679700032,None,2930.127679700032,None,2931.0665414000396,None,2931.3268289999105,None,2931.3268289999105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
9,0,9,0,,,,,,,,,,,,,,,,,2938.0859878000338,None,materials/readPic.jpg,nature,A_silent,9,200,2934.395123699913,None,2934.395123699913,None,2935.3332743998617,None,2935.591075199889,None,2935.591075199889,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
10,0,10,0,,,,,,,,,,,,,,,,,2942.351384199923,None,materials/singPic.jpg,angle,C_sing,10,7,2938.668327799998,None,2938.668327799998,None,2939.6017191000283,None,2939.8634047999512,None,2939.8634047999512,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
11,0,11,0,,,,,,,,,,,,,,,,,2946.619235499995,None,materials/readPic.jpg,audience,A_silent,11,14,2942.922082499834,None,2942.922082499834,None,2943.8686628998257,None,2944.1206730999984,None,2944.1206730999984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
12,0,12,0,,,,,,,,,,,,,,,,,2950.885293700034,None,materials/singPic.jpg,little,C_sing,12,174,2947.2117959999014,None,2947.2117959999014,None,2948.1354216998443,None,2948.3919028998353,None,2948.3919028998353,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
13,0,13,0,,,,,,,,,,,,,,,,,2955.1520004998893,None,materials/readPic.jpg,resistance,A_silent,13,262,2951.47423729999,None,2951.47423729999,None,2952.402409599861,None,2952.661128199892,None,2952.661128199892,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
14,0,14,0,,,,,,,,,,,,,,,,,2959.4191766998265,None,materials/speakPic.jpg,drink,B_aloud,14,105,2955.69862010004,None,2955.69862010004,None,2956.66930519999,None,2956.926158200018,None,2956.926158200018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
15,0,15,0,,,,,,,,,,,,,,,,,2963.6861806998495,None,materials/speakPic.jpg,article,B_aloud,15,11,2959.985356299905,None,2959.985356299905,None,2960.9364606000017,None,2961.193095299881,None,2961.193095299881,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
16,0,16,0,,,,,,,,,,,,,,,,,2967.9532065000385,None,materials/speakPic.jpg,reading,B_aloud,16,254,2964.2654801998287,None,2964.2654801998287,None,2965.201908200048,None,2965.4652750999667,None,2965.4652750999667,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
17,0,17,0,,,,,,,,,,,,,,,,,2972.2200931999832,None,materials/readPic.jpg,ground,A_silent,17,142,2968.5630828998983,None,2968.5630828998983,None,2969.468993199989,None,2969.730872399872,None,2969.730872399872,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
18,0,18,0,,,,,,,,,,,,,,,,,2976.486314599868,None,materials/singPic.jpg,pretty,C_sing,18,233,2972.809139000019,None,2972.809139000019,None,2973.7366283000447,None,2973.993525699945,None,2973.993525699945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
19,0,19,0,,,,,,,,,,,,,,,,,2980.753886099905,None,materials/singPic.jpg,still,C_sing,19,304,2977.079139499925,None,2977.079139499925,None,2978.004457199946,None,2978.2639283000026,None,2978.2639283000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
20,0,20,0,,,,,,,,,,,,,,,,,2985.020919499919,None,materials/readPic.jpg,color,A_silent,20,56,2981.324533799896,None,2981.324533799896,None,2982.2712552000303,None,2982.520362799987,None,2982.520362799987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
21,0,21,0,,,,,,,,,,,,,,,,,2989.2882413999178,None,materials/speakPic.jpg,route,B_aloud,21,267,2985.5960524999537,None,2985.5960524999537,None,2986.5383035000414,None,2986.7940728999674,None,2986.7940728999674,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
22,0,22,0,,,,,,,,,,,,,,,,,2993.554036400048,None,materials/speakPic.jpg,relation,B_aloud,22,257,2989.8578236999456,None,2989.8578236999456,None,2990.804378699977,None,2991.062069899868,None,2991.062069899868,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
23,0,23,0,,,,,,,,,,,,,,,,,2997.8210817000363,None,materials/speakPic.jpg,light,B_aloud,23,171,2994.115465800045,None,2994.115465800045,None,2995.070032999851,None,2995.3221223000437,None,2995.3221223000437,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
24,0,24,0,,,,,,,,,,,,,,,,,3002.089075299911,None,materials/singPic.jpg,height,C_sing,24,152,2998.402057699859,None,2998.402057699859,None,2999.3390621000435,None,2999.599472000031,None,2999.599472000031,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
25,0,25,0,,,,,,,,,,,,,,,,,3006.355658699991,None,materials/speakPic.jpg,scene,B_aloud,25,273,3002.681546699954,None,3002.681546699954,None,3003.606104000006,None,3003.8594770999625,None,3003.8594770999625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing26,001,2019_Nov_07_1508,ProdFawcett_Revision2019,3.2.3,60.06334285017094,
