StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,keyCondition.keys,keyCondition.rt,Condition,stim_colors,color_sing,color_aloud,color_silent,keyWelcome.keys,keyWelcome.rt,study_word,study_type,study_color,study_num,study_word_num,keyStudy.keys,key_resp_3.keys,key_resp_3.rt,testWord,testType,testColor,testN,test_num,test_word_num,keyConf.keys,keyConf.rt,keyRKN.keys,keyRKN.rt,date,frameRate,expName,session,participant,
,,,,,,,,y,4.3206187,,,,,,,,,,,,,,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
,,,,,,,,,,ColoredTest,"['blue', 'yellow', 'red']",blue,yellow,red,space,225.1862446,,,,,,,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
0,0,0,0,,,,,,,,,,,,,,benefit,sing,blue,4,20,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
1,0,1,0,,,,,,,,,,,,,,power,aloud,yellow,45,230,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
2,0,2,0,,,,,,,,,,,,,,level,sing,blue,18,170,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
3,0,3,0,,,,,,,,,,,,,,display,aloud,yellow,44,98,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
4,0,4,0,,,,,,,,,,,,,,right,aloud,yellow,46,265,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
5,0,5,0,,,,,,,,,,,,,,mankind,aloud,yellow,35,178,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
6,0,6,0,,,,,,,,,,,,,,private,aloud,yellow,53,237,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
7,0,7,0,,,,,,,,,,,,,,dance,aloud,yellow,42,84,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
8,0,8,0,,,,,,,,,,,,,,season,silent,red,75,277,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
9,0,9,0,,,,,,,,,,,,,,rural,aloud,yellow,57,269,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
10,0,10,0,,,,,,,,,,,,,,murder,aloud,yellow,59,195,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
11,0,11,0,,,,,,,,,,,,,,build,aloud,yellow,43,35,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
12,0,12,0,,,,,,,,,,,,,,broad,aloud,yellow,34,31,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
13,0,13,0,,,,,,,,,,,,,,substance,silent,red,81,313,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
14,0,14,0,,,,,,,,,,,,,,ground,silent,red,84,142,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
15,0,15,0,,,,,,,,,,,,,,distance,sing,blue,28,100,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
16,0,16,0,,,,,,,,,,,,,,light,silent,red,70,171,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
17,0,17,0,,,,,,,,,,,,,,public,silent,red,60,244,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
18,0,18,0,,,,,,,,,,,,,,institute,aloud,yellow,54,162,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
19,0,19,0,,,,,,,,,,,,,,escape,aloud,yellow,40,118,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
20,0,20,0,,,,,,,,,,,,,,threat,sing,blue,25,329,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
21,0,21,0,,,,,,,,,,,,,,minor,silent,red,76,191,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
22,0,22,0,,,,,,,,,,,,,,speech,aloud,yellow,37,298,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
23,0,23,0,,,,,,,,,,,,,,pancakes,silent,red,89,210,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
24,0,24,0,,,,,,,,,,,,,,thing,sing,blue,6,328,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
25,0,25,0,,,,,,,,,,,,,,signal,aloud,yellow,31,287,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
26,0,26,0,,,,,,,,,,,,,,evidence,silent,red,73,120,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
27,0,27,0,,,,,,,,,,,,,,danger,aloud,yellow,30,85,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
28,0,28,0,,,,,,,,,,,,,,force,sing,blue,8,131,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
29,0,29,0,,,,,,,,,,,,,,growth,aloud,yellow,56,144,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
30,0,30,0,,,,,,,,,,,,,,mayor,aloud,yellow,41,183,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
31,0,31,0,,,,,,,,,,,,,,dozen,sing,blue,27,102,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
32,0,32,0,,,,,,,,,,,,,,block,silent,red,72,25,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
33,0,33,0,,,,,,,,,,,,,,concern,silent,red,78,65,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
34,0,34,0,,,,,,,,,,,,,,staff,silent,red,62,301,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
35,0,35,0,,,,,,,,,,,,,,reach,sing,blue,3,253,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
36,0,36,0,,,,,,,,,,,,,,owner,sing,blue,26,208,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
37,0,37,0,,,,,,,,,,,,,,drama,sing,blue,15,103,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
38,0,38,0,,,,,,,,,,,,,,question,aloud,yellow,48,247,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
39,0,39,0,,,,,,,,,,,,,,voice,silent,red,67,348,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
40,0,40,0,,,,,,,,,,,,,,article,silent,red,68,11,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
41,0,41,0,,,,,,,,,,,,,,company,silent,red,82,64,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
42,0,42,0,,,,,,,,,,,,,,conference,silent,red,83,66,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
43,0,43,0,,,,,,,,,,,,,,household,silent,red,85,154,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
44,0,44,0,,,,,,,,,,,,,,story,sing,blue,20,306,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
45,0,45,0,,,,,,,,,,,,,,character,aloud,yellow,32,46,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
46,0,46,0,,,,,,,,,,,,,,sweet,silent,red,87,319,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
47,0,47,0,,,,,,,,,,,,,,close,silent,red,86,53,None,,,,,,,,,,,,,2022_Apr_04_1133,60.1046060412,ProdSingRedo,001,C 32,
