StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,keyCondition.keys,keyCondition.rt,Condition,stim_colors,color_sing,color_aloud,color_silent,keyWelcome.keys,keyWelcome.rt,study_word,study_type,study_color,study_num,study_word_num,keyStudy.keys,key_resp_3.keys,key_resp_3.rt,testWord,testType,testColor,testN,test_num,test_word_num,keyConf.keys,keyConf.rt,keyRKN.keys,keyRKN.rt,date,frameRate,expName,session,participant,
,,,,,,,,y,12.2792951,,,,,,,,,,,,,,,,,,,,,,,,,,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
,,,,,,,,,,ColoredTest,"['red', 'yellow', 'blue']",red,yellow,blue,space,2333.8446732,,,,,,,,,,,,,,,,,,,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
0,0,0,0,,,,,,,,,,,,,,symbol,aloud,yellow,47,321,None,,,,,,,,,,,,,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
1,0,1,0,,,,,,,,,,,,,,production,silent,blue,68,240,None,,,,,,,,,,,,,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
2,0,2,0,,,,,,,,,,,,,,judge,sing,red,17,166,None,,,,,,,,,,,,,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
3,0,3,0,,,,,,,,,,,,,,afternoon,sing,red,20,3,None,,,,,,,,,,,,,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
4,0,4,0,,,,,,,,,,,,,,candidate,silent,blue,82,39,None,,,,,,,,,,,,,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
5,0,5,0,,,,,,,,,,,,,,mayor,sing,red,12,183,None,,,,,,,,,,,,,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
6,0,6,0,,,,,,,,,,,,,,safety,silent,blue,87,270,None,,,,,,,,,,,,,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
7,0,7,0,,,,,,,,,,,,,,council,silent,blue,81,71,None,,,,,,,,,,,,,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
8,0,8,0,,,,,,,,,,,,,,couch,aloud,yellow,56,70,None,,,,,,,,,,,,,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
9,0,9,0,,,,,,,,,,,,,,sleep,aloud,yellow,50,290,None,,,,,,,,,,,,,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
10,0,10,0,,,,,,,,,,,,,,research,sing,red,0,261,None,,,,,,,,,,,,,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
11,0,11,0,,,,,,,,,,,,,,distance,sing,red,28,100,None,,,,,,,,,,,,,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
12,0,12,0,,,,,,,,,,,,,,worker,aloud,yellow,59,356,None,,,,,,,,,,,,,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
13,0,13,0,,,,,,,,,,,,,,reach,sing,red,6,253,None,,,,,,,,,,,,,2022_May_02_0943,59.9904135288,ProdSingRedo,001,C 45,
