StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,keyCondition.keys,keyCondition.rt,Condition,stim_colors,color_sing,color_aloud,color_silent,keyWelcome.keys,keyWelcome.rt,study_word,study_type,study_color,study_num,study_word_num,keyStudy.keys,key_resp_3.keys,key_resp_3.rt,testWord,testType,testColor,testN,test_num,test_word_num,keyConf.keys,keyConf.rt,keyRKN.keys,keyRKN.rt,date,frameRate,expName,session,participant,
,,,,,,,,y,5.8849632,,,,,,,,,,,,,,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
,,,,,,,,,,ColoredTest,"['red', 'blue', 'yellow']",red,blue,yellow,space,191.8270683,,,,,,,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
0,0,0,0,,,,,,,,,,,,,,blind,sing,red,11,24,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
1,0,1,0,,,,,,,,,,,,,,citizen,sing,red,3,50,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
2,0,2,0,,,,,,,,,,,,,,member,sing,red,7,188,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
3,0,3,0,,,,,,,,,,,,,,resistance,sing,red,22,262,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
4,0,4,0,,,,,,,,,,,,,,employment,silent,yellow,72,111,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
5,0,5,0,,,,,,,,,,,,,,instrument,silent,yellow,68,163,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
6,0,6,0,,,,,,,,,,,,,,reach,silent,yellow,78,253,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
7,0,7,0,,,,,,,,,,,,,,general,silent,yellow,71,135,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
8,0,8,0,,,,,,,,,,,,,,gesture,silent,yellow,84,137,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
9,0,9,0,,,,,,,,,,,,,,military,sing,red,9,190,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
10,0,10,0,,,,,,,,,,,,,,staff,aloud,blue,58,301,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
11,0,11,0,,,,,,,,,,,,,,curve,silent,yellow,64,82,None,,,,,,,,,,,,,2022_Apr_11_1227,59.9906654522,ProdSingRedo,001,"C, 34",
