StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,352.28233389998786,None,y,240.91535519994795,352.28233389998786,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C,49",001,2022_May_02_1404,ProdSingRedo,3.2.3,60.04509394329193,
,,,,,,,,,,,,,,ColoredTest,"['red', 'blue', 'yellow']",red,blue,yellow,593.2449125000276,None,space,15.792810499900952,593.2449125000276,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C,49",001,2022_May_02_1404,ProdSingRedo,3.2.3,60.04509394329193,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,593.2449125000276,None,593.2449125000276,None,593.2449125000276,None,611.5795125998557,None,industry,sing,red,25,161,609.563290799968,None,None,609.563290799968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C,49",001,2022_May_02_1404,ProdSingRedo,3.2.3,60.04509394329193,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.0964947000612,None,impact,sing,red,21,157,612.0903604000341,None,None,612.0903604000341,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C,49",001,2022_May_02_1404,ProdSingRedo,3.2.3,60.04509394329193,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.6157620998565,None,chief,aloud,blue,50,48,614.6086319999304,None,None,614.6086319999304,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C,49",001,2022_May_02_1404,ProdSingRedo,3.2.3,60.04509394329193,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,619.1351942999754,None,enemy,sing,red,15,113,617.1268489998765,None,None,617.1268489998765,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C,49",001,2022_May_02_1404,ProdSingRedo,3.2.3,60.04509394329193,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.6539596000221,None,music,sing,red,3,196,619.6481762998737,None,None,619.6481762998737,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C,49",001,2022_May_02_1404,ProdSingRedo,3.2.3,60.04509394329193,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.1569308000617,None,bucket,silent,yellow,79,33,622.1545098000206,None,None,622.1545098000206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C,49",001,2022_May_02_1404,ProdSingRedo,3.2.3,60.04509394329193,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.6761731998995,None,center,silent,yellow,76,44,624.6648027999327,None,None,624.6648027999327,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C,49",001,2022_May_02_1404,ProdSingRedo,3.2.3,60.04509394329193,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,629.1949805000331,None,murder,aloud,blue,56,195,627.1910887998529,None,None,627.1910887998529,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C,49",001,2022_May_02_1404,ProdSingRedo,3.2.3,60.04509394329193,
