StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,keyCondition.keys,keyCondition.rt,Condition,stim_colors,color_sing,color_aloud,color_silent,keyWelcome.keys,keyWelcome.rt,study_word,study_type,study_color,study_num,study_word_num,keyStudy.keys,key_resp_3.keys,key_resp_3.rt,testWord,testType,testColor,testN,test_num,test_word_num,keyConf.keys,keyConf.rt,keyRKN.keys,keyRKN.rt,date,frameRate,expName,session,participant,
,,,,,,,,y,2.5078261,,,,,,,,,,,,,,,,,,,,,,,,,,2022_Jan_27_0833,60.1381131908,ProdSingRedo,001,Color 25,
,,,,,,,,,,ColoredTest,"['blue', 'red', 'yellow']",blue,red,yellow,space,225.080298,,,,,,,,,,,,,,,,,,,2022_Jan_27_0833,60.1381131908,ProdSingRedo,001,Color 25,
0,0,0,0,,,,,,,,,,,,,,private,sing,blue,10,237,None,,,,,,,,,,,,,2022_Jan_27_0833,60.1381131908,ProdSingRedo,001,Color 25,
1,0,1,0,,,,,,,,,,,,,,cousin,silent,yellow,67,76,None,,,,,,,,,,,,,2022_Jan_27_0833,60.1381131908,ProdSingRedo,001,Color 25,
2,0,2,0,,,,,,,,,,,,,,drove,aloud,red,38,106,None,,,,,,,,,,,,,2022_Jan_27_0833,60.1381131908,ProdSingRedo,001,Color 25,
3,0,3,0,,,,,,,,,,,,,,block,sing,blue,12,25,None,,,,,,,,,,,,,2022_Jan_27_0833,60.1381131908,ProdSingRedo,001,Color 25,
4,0,4,0,,,,,,,,,,,,,,session,aloud,red,32,281,None,,,,,,,,,,,,,2022_Jan_27_0833,60.1381131908,ProdSingRedo,001,Color 25,
5,0,5,0,,,,,,,,,,,,,,balance,sing,blue,1,17,None,,,,,,,,,,,,,2022_Jan_27_0833,60.1381131908,ProdSingRedo,001,Color 25,
6,0,6,0,,,,,,,,,,,,,,match,sing,blue,2,181,None,,,,,,,,,,,,,2022_Jan_27_0833,60.1381131908,ProdSingRedo,001,Color 25,
7,0,7,0,,,,,,,,,,,,,,minute,silent,yellow,79,192,None,,,,,,,,,,,,,2022_Jan_27_0833,60.1381131908,ProdSingRedo,001,Color 25,
8,0,8,0,,,,,,,,,,,,,,addition,silent,yellow,87,2,None,,,,,,,,,,,,,2022_Jan_27_0833,60.1381131908,ProdSingRedo,001,Color 25,
9,0,9,0,,,,,,,,,,,,,,express,sing,blue,29,124,None,,,,,,,,,,,,,2022_Jan_27_0833,60.1381131908,ProdSingRedo,001,Color 25,
10,0,10,0,,,,,,,,,,,,,,suspect,aloud,red,41,318,None,,,,,,,,,,,,,2022_Jan_27_0833,60.1381131908,ProdSingRedo,001,Color 25,
11,0,11,0,,,,,,,,,,,,,,plane,aloud,red,52,223,None,,,,,,,,,,,,,2022_Jan_27_0833,60.1381131908,ProdSingRedo,001,Color 25,
12,0,12,0,,,,,,,,,,,,,,grade,sing,blue,3,140,None,,,,,,,,,,,,,2022_Jan_27_0833,60.1381131908,ProdSingRedo,001,Color 25,
13,0,13,0,,,,,,,,,,,,,,damage,sing,blue,17,83,None,,,,,,,,,,,,,2022_Jan_27_0833,60.1381131908,ProdSingRedo,001,Color 25,
14,0,14,0,,,,,,,,,,,,,,point,sing,blue,26,226,None,,,,,,,,,,,,,2022_Jan_27_0833,60.1381131908,ProdSingRedo,001,Color 25,
15,0,15,0,,,,,,,,,,,,,,science,aloud,red,35,275,None,,,,,,,,,,,,,2022_Jan_27_0833,60.1381131908,ProdSingRedo,001,Color 25,
