StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,25.04062299989164,None,y,1.8073672000318766,25.04062299989164,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color33,001,2022_Apr_08_1137,ProdSingRedo,3.2.3,59.956782766068706,
,,,,,,,,,,,,,,ColoredTest,"['yellow', 'blue', 'red']",yellow,blue,red,26.89086159877479,None,space,1429.562606299296,26.89086159877479,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color33,001,2022_Apr_08_1137,ProdSingRedo,3.2.3,59.956782766068706,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,26.89086159877479,None,26.89086159877479,None,26.89086159877479,None,1459.0156439002603,None,people,silent,red,70,216,1457.002842400223,None,None,1457.002842400223,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color33,001,2022_Apr_08_1137,ProdSingRedo,3.2.3,59.956782766068706,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1461.5334427002817,None,salary,sing,yellow,29,271,1459.5433895997703,None,None,1459.5433895997703,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color33,001,2022_Apr_08_1137,ProdSingRedo,3.2.3,59.956782766068706,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1464.0495440997183,None,object,silent,red,78,204,1462.0587236993015,None,None,1462.0587236993015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color33,001,2022_Apr_08_1137,ProdSingRedo,3.2.3,59.956782766068706,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1466.5670095998794,None,smooth,aloud,blue,36,292,1464.5585505999625,None,None,1464.5585505999625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color33,001,2022_Apr_08_1137,ProdSingRedo,3.2.3,59.956782766068706,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1469.0839051995426,None,minor,sing,yellow,17,191,1467.0756602995098,None,None,1467.0756602995098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color33,001,2022_Apr_08_1137,ProdSingRedo,3.2.3,59.956782766068706,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1471.6005536001176,None,agreement,sing,yellow,5,5,1469.5965620987117,None,None,1469.5965620987117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color33,001,2022_Apr_08_1137,ProdSingRedo,3.2.3,59.956782766068706,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1474.1175683997571,None,personnel,silent,red,89,219,1472.1103917993605,None,None,1472.1103917993605,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color33,001,2022_Apr_08_1137,ProdSingRedo,3.2.3,59.956782766068706,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1476.6342673990875,None,space,sing,yellow,8,297,1474.630707198754,None,None,1474.630707198754,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color33,001,2022_Apr_08_1137,ProdSingRedo,3.2.3,59.956782766068706,
