StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,keyStudy.rt,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,55.85992110008374,None,y,0.8523446000181139,55.85992110008374,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
,,,,,,,,,,,,,,ColoredTest,"['red', 'yellow', 'blue']",red,yellow,blue,56.75751670007594,None,space,198.41134429979138,56.75751670007594,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,56.75751670007594,None,56.75751670007594,None,56.75751670007594,None,257.7033760000486,None,beginning,silent,blue,69,19,255.7117057000287,None,None,255.7117057000287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.2200205998961,None,afternoon,silent,blue,76,3,258.21753360005096,None,None,258.21753360005096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.73683249996975,None,tragedy,aloud,yellow,44,335,260.74551929999143,None,None,260.74551929999143,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.25366989988834,None,clean,aloud,yellow,33,51,263.25092189991847,None,None,263.25092189991847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.7705482998863,None,mechanical,aloud,yellow,41,185,265.76324149989523,None,None,265.76324149989523,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.287462499924,None,shear,silent,blue,85,283,268.2842212000396,None,None,268.2842212000396,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.80317849991843,None,community,aloud,yellow,47,63,270.803314599907,None,None,270.803314599907,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.32102910010144,None,captain,sing,red,10,41,273.32010619994253,None,None,273.32010619994253,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.83788740006275,None,expansion,silent,blue,87,123,275.8366986999754,None,None,275.8366986999754,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.35479620005935,None,junior,silent,blue,77,167,278.35884370002896,None,None,278.35884370002896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.87156419991516,None,rough,aloud,yellow,59,266,280.86742929997854,None,None,280.86742929997854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.38844510004856,None,primary,aloud,yellow,55,234,283.3894114999566,None,None,283.3894114999566,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.9052252001129,None,shape,aloud,yellow,52,282,285.90207220008597,None,None,285.90207220008597,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.4224527999759,None,minor,silent,blue,86,191,288.41357779991813,None,None,288.41357779991813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.9391660001129,None,fashion,sing,red,17,125,290.93231629999354,None,None,290.93231629999354,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.4557113999035,None,pretty,silent,blue,80,233,293.4492641999386,None,space,293.4492641999386,None,1.463000199990347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.972840399947,None,trail,silent,blue,73,336,295.9701944999397,None,None,295.9701944999397,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.48936309991404,None,territory,aloud,yellow,56,324,298.4866239998955,None,None,298.4866239998955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.0051591999363,None,order,sing,red,14,207,301.0001507999841,None,None,301.0001507999841,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.5230668000877,None,point,silent,blue,88,226,303.51571019995026,None,None,303.51571019995026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.0233056000434,None,graduate,sing,red,22,141,306.02428569993936,None,None,306.02428569993936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.5400916999206,None,conference,sing,red,3,66,308.53983830008656,None,None,308.53983830008656,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.0568429999985,None,attack,sing,red,12,13,311.06146109988913,None,None,311.06146109988913,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.5738689999562,None,thing,sing,red,24,328,313.5669146999717,None,None,313.5669146999717,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.09059079992585,None,medicine,silent,blue,89,186,316.08307139994577,None,None,316.08307139994577,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.6075212000869,None,surprise,sing,red,29,317,318.60548990010284,None,None,318.60548990010284,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.12425939994864,None,block,sing,red,0,25,321.1241220999509,None,None,321.1241220999509,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.64108380000107,None,management,sing,red,8,177,323.6440564999357,None,None,323.6440564999357,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.15802760003135,None,motion,silent,blue,82,194,326.1498287001159,None,None,326.1498287001159,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.67483130004257,None,problem,aloud,yellow,38,238,328.67368569993414,None,None,328.67368569993414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.19184620003216,None,nature,silent,blue,64,200,331.1917189001106,None,None,331.1917189001106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.7083930000663,None,measure,sing,red,18,184,333.71143850008957,None,None,333.71143850008957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.2253572999034,None,dispute,aloud,yellow,46,99,336.2228496999014,None,None,336.2228496999014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.74215859989636,None,enemy,silent,blue,61,113,338.7356682000682,None,None,338.7356682000682,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.2589207999408,None,broke,silent,blue,67,32,341.258689600043,None,None,341.258689600043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.77760390006006,None,rural,aloud,yellow,39,269,343.76939380005933,None,None,343.76939380005933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.29267699993216,None,tough,aloud,yellow,45,333,346.2778702999931,None,None,346.2778702999931,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.8088223999366,None,industry,silent,blue,60,161,348.8123488998972,None,None,348.8123488998972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.3263864000328,None,design,aloud,yellow,50,91,351.3239305000752,None,None,351.3239305000752,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_53,001,2022_May_03_1737,ProdSingRedo,3.2.3,60.060024011551164,
