StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,18.99377440009266,None,n,0.4783251998014748,18.99377440009266,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
,,,,,,,,,,,,,,NeutralTest,"['red', 'yellow', 'blue']",red,yellow,blue,19.51970240008086,None,space,761.8965970999561,19.51970240008086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,19.51970240008086,None,19.51970240008086,None,19.51970240008086,None,783.9550625998527,None,match,sing,red,22,181,781.9499021000229,None,None,781.9499021000229,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,786.4743102998473,None,provision,silent,blue,75,243,784.4706843998283,None,None,784.4706843998283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,788.9934390000999,None,sound,aloud,yellow,33,295,786.9847732000053,None,None,786.9847732000053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,791.5125866001472,None,afternoon,silent,blue,67,3,789.5043497001752,None,None,789.5043497001752,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,794.0315815000795,None,point,silent,blue,89,226,792.019783699885,None,None,792.019783699885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,796.5508560999297,None,answer,sing,red,19,8,794.5416236999445,None,None,794.5416236999445,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,799.0534793999977,None,enemy,silent,blue,60,113,797.0512832999229,None,None,797.0512832999229,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,801.5726526998915,None,error,sing,red,5,117,799.5610400000587,None,None,799.5610400000587,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC 26,001,2021_Nov_15_1419,ProdSingRedo,3.2.3,59.944311798791546,
