StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,keyCondition.keys,keyCondition.rt,Condition,stim_colors,color_sing,color_aloud,color_silent,keyWelcome.keys,keyWelcome.rt,study_word,study_type,study_color,study_num,study_word_num,keyStudy.keys,key_resp_3.keys,key_resp_3.rt,testWord,testType,testColor,testN,test_num,test_word_num,keyConf.keys,keyConf.rt,keyRKN.keys,keyRKN.rt,date,frameRate,expName,session,participant,
,,,,,,,,n,27.1160217,,,,,,,,,,,,,,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
,,,,,,,,,,NeutralTest,"['yellow', 'blue', 'red']",yellow,blue,red,space,442.2056832,,,,,,,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
0,0,0,0,,,,,,,,,,,,,,skill,aloud,blue,38,289,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
1,0,1,0,,,,,,,,,,,,,,attack,silent,red,88,13,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
2,0,2,0,,,,,,,,,,,,,,frank,aloud,blue,35,133,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
3,0,3,0,,,,,,,,,,,,,,material,silent,red,84,182,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
4,0,4,0,,,,,,,,,,,,,,principal,silent,red,74,236,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
5,0,5,0,,,,,,,,,,,,,,afternoon,aloud,blue,44,3,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
6,0,6,0,,,,,,,,,,,,,,relation,silent,red,81,257,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
7,0,7,0,,,,,,,,,,,,,,science,aloud,blue,54,275,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
8,0,8,0,,,,,,,,,,,,,,enemy,sing,yellow,0,113,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
9,0,9,0,,,,,,,,,,,,,,split,sing,yellow,17,299,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
10,0,10,0,,,,,,,,,,,,,,passage,sing,yellow,23,212,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
11,0,11,0,,,,,,,,,,,,,,report,silent,red,62,259,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
12,0,12,0,,,,,,,,,,,,,,medicine,aloud,blue,32,186,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
13,0,13,0,,,,,,,,,,,,,,native,sing,yellow,12,199,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
14,0,14,0,,,,,,,,,,,,,,clean,aloud,blue,59,51,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
15,0,15,0,,,,,,,,,,,,,,military,silent,red,85,190,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
16,0,16,0,,,,,,,,,,,,,,suggestion,aloud,blue,52,314,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
17,0,17,0,,,,,,,,,,,,,,personnel,aloud,blue,51,219,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
18,0,18,0,,,,,,,,,,,,,,degree,aloud,blue,30,89,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
19,0,19,0,,,,,,,,,,,,,,expansion,sing,yellow,5,123,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
20,0,20,0,,,,,,,,,,,,,,character,silent,red,69,46,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
21,0,21,0,,,,,,,,,,,,,,substance,aloud,blue,39,313,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
22,0,22,0,,,,,,,,,,,,,,guide,sing,yellow,4,147,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
23,0,23,0,,,,,,,,,,,,,,clear,silent,red,64,52,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
24,0,24,0,,,,,,,,,,,,,,problem,sing,yellow,26,238,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
25,0,25,0,,,,,,,,,,,,,,second,sing,yellow,8,278,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
26,0,26,0,,,,,,,,,,,,,,portion,silent,red,83,228,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
27,0,27,0,,,,,,,,,,,,,,colonel,silent,red,71,55,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
28,0,28,0,,,,,,,,,,,,,,evidence,silent,red,73,120,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
29,0,29,0,,,,,,,,,,,,,,junior,silent,red,63,167,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
30,0,30,0,,,,,,,,,,,,,,poetry,aloud,blue,36,225,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
31,0,31,0,,,,,,,,,,,,,,estate,aloud,blue,50,119,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
32,0,32,0,,,,,,,,,,,,,,crisis,silent,red,61,79,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
33,0,33,0,,,,,,,,,,,,,,comedy,silent,red,72,58,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
34,0,34,0,,,,,,,,,,,,,,revolution,sing,yellow,18,264,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
35,0,35,0,,,,,,,,,,,,,,patient,aloud,blue,45,213,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
36,0,36,0,,,,,,,,,,,,,,gesture,sing,yellow,15,137,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
37,0,37,0,,,,,,,,,,,,,,victory,silent,red,87,346,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
38,0,38,0,,,,,,,,,,,,,,range,silent,red,65,251,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
39,0,39,0,,,,,,,,,,,,,,broad,aloud,blue,37,31,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
40,0,40,0,,,,,,,,,,,,,,stand,silent,red,82,302,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
41,0,41,0,,,,,,,,,,,,,,raise,aloud,blue,43,250,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
42,0,42,0,,,,,,,,,,,,,,series,aloud,blue,47,279,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
43,0,43,0,,,,,,,,,,,,,,drama,silent,red,76,103,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
44,0,44,0,,,,,,,,,,,,,,master,silent,red,68,180,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
45,0,45,0,,,,,,,,,,,,,,thing,silent,red,86,328,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
46,0,46,0,,,,,,,,,,,,,,equipment,sing,yellow,9,116,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
47,0,47,0,,,,,,,,,,,,,,murder,silent,red,80,195,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
48,0,48,0,,,,,,,,,,,,,,rural,silent,red,79,269,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
49,0,49,0,,,,,,,,,,,,,,brilliant,aloud,blue,41,30,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
50,0,50,0,,,,,,,,,,,,,,addition,aloud,blue,33,2,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
51,0,51,0,,,,,,,,,,,,,,capital,aloud,blue,48,40,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
52,0,52,0,,,,,,,,,,,,,,quick,sing,yellow,21,248,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
53,0,53,0,,,,,,,,,,,,,,agency,sing,yellow,1,4,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
54,0,54,0,,,,,,,,,,,,,,member,aloud,blue,58,188,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
55,0,55,0,,,,,,,,,,,,,,entrance,sing,yellow,16,115,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
56,0,56,0,,,,,,,,,,,,,,school,silent,red,70,274,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
57,0,57,0,,,,,,,,,,,,,,private,sing,yellow,19,237,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
58,0,58,0,,,,,,,,,,,,,,group,silent,red,66,143,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
59,0,59,0,,,,,,,,,,,,,,number,sing,yellow,2,203,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
60,0,60,0,,,,,,,,,,,,,,conference,sing,yellow,22,66,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
61,0,61,0,,,,,,,,,,,,,,block,silent,red,60,25,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
62,0,62,0,,,,,,,,,,,,,,union,sing,yellow,10,344,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
63,0,63,0,,,,,,,,,,,,,,close,aloud,blue,53,53,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
64,0,64,0,,,,,,,,,,,,,,incident,aloud,blue,42,158,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
65,0,65,0,,,,,,,,,,,,,,council,sing,yellow,25,71,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
66,0,66,0,,,,,,,,,,,,,,education,aloud,blue,56,108,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
67,0,67,0,,,,,,,,,,,,,,provision,sing,yellow,6,243,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
68,0,68,0,,,,,,,,,,,,,,rough,silent,red,89,266,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
69,0,69,0,,,,,,,,,,,,,,still,sing,yellow,24,304,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
70,0,70,0,,,,,,,,,,,,,,service,aloud,blue,46,280,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
71,0,71,0,,,,,,,,,,,,,,symbol,sing,yellow,13,321,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
72,0,72,0,,,,,,,,,,,,,,bitter,sing,yellow,14,23,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
73,0,73,0,,,,,,,,,,,,,,finish,aloud,blue,55,130,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
74,0,74,0,,,,,,,,,,,,,,profession,silent,red,75,241,None,,,,,,,,,,,,,2022_Jan_31_1054,60.0208032081,ProdSingRedo,001,NC 27,
