StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,keyCondition.keys,keyCondition.rt,Condition,stim_colors,color_sing,color_aloud,color_silent,keyWelcome.keys,keyWelcome.rt,study_word,study_type,study_color,study_num,study_word_num,keyStudy.keys,key_resp_3.keys,key_resp_3.rt,testWord,testType,testColor,testN,test_num,test_word_num,keyConf.keys,keyConf.rt,keyRKN.keys,keyRKN.rt,date,frameRate,expName,session,participant,
,,,,,,,,n,3.55345360001,,,,,,,,,,,,,,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
,,,,,,,,,,NeutralTest,"['blue', 'red', 'yellow']",blue,red,yellow,space,260.8870596,,,,,,,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
0,0,0,0,,,,,,,,,,,,,,pancakes,sing,blue,2,210,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
1,0,1,0,,,,,,,,,,,,,,ground,aloud,red,54,142,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
2,0,2,0,,,,,,,,,,,,,,election,aloud,red,41,109,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
3,0,3,0,,,,,,,,,,,,,,worker,sing,blue,14,356,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
4,0,4,0,,,,,,,,,,,,,,space,silent,yellow,80,297,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
5,0,5,0,,,,,,,,,,,,,,harmony,silent,yellow,76,148,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
6,0,6,0,,,,,,,,,,,,,,reach,aloud,red,51,253,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
7,0,7,0,,,,,,,,,,,,,,answer,aloud,red,50,8,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
8,0,8,0,,,,,,,,,,,,,,rural,silent,yellow,87,269,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
9,0,9,0,,,,,,,,,,,,,,threat,silent,yellow,66,329,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
10,0,10,0,,,,,,,,,,,,,,turkey,aloud,red,52,342,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
11,0,11,0,,,,,,,,,,,,,,escape,aloud,red,34,118,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
12,0,12,0,,,,,,,,,,,,,,capital,sing,blue,16,40,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
13,0,13,0,,,,,,,,,,,,,,division,aloud,red,44,101,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
14,0,14,0,,,,,,,,,,,,,,surface,aloud,red,46,316,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
15,0,15,0,,,,,,,,,,,,,,employment,sing,blue,10,111,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
16,0,16,0,,,,,,,,,,,,,,heavy,aloud,red,58,151,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
17,0,17,0,,,,,,,,,,,,,,foundation,sing,blue,19,132,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
18,0,18,0,,,,,,,,,,,,,,substance,silent,yellow,61,313,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
19,0,19,0,,,,,,,,,,,,,,minor,aloud,red,36,191,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
20,0,20,0,,,,,,,,,,,,,,minute,silent,yellow,78,192,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
21,0,21,0,,,,,,,,,,,,,,marriage,silent,yellow,88,179,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
22,0,22,0,,,,,,,,,,,,,,youth,silent,yellow,79,359,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
23,0,23,0,,,,,,,,,,,,,,sound,sing,blue,1,295,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
24,0,24,0,,,,,,,,,,,,,,recall,silent,yellow,77,255,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
25,0,25,0,,,,,,,,,,,,,,dispute,sing,blue,12,99,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
26,0,26,0,,,,,,,,,,,,,,cross,aloud,red,35,80,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
27,0,27,0,,,,,,,,,,,,,,drama,sing,blue,11,103,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
28,0,28,0,,,,,,,,,,,,,,religion,silent,yellow,81,258,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
29,0,29,0,,,,,,,,,,,,,,prime,sing,blue,29,235,None,,,,,,,,,,,,,2022_Mar_28_0955,59.8777655258,ProdSingRedo,001,NC 32,
