StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,45.1346937995404,None,n,4.0655617993324995,45.1346937995404,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC 35,001,2022_Apr_12_0832,ProdSingRedo,3.2.3,59.93410842787095,
,,,,,,,,,,,,,,NeutralTest,"['yellow', 'red', 'blue']",yellow,red,blue,49.25479600019753,None,space,486.98504040017724,49.25479600019753,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC 35,001,2022_Apr_12_0832,ProdSingRedo,3.2.3,59.93410842787095,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,49.25479600019753,None,49.25479600019753,None,49.25479600019753,None,538.7855373993516,None,population,silent,blue,77,227,536.7895695995539,None,None,536.7895695995539,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC 35,001,2022_Apr_12_0832,ProdSingRedo,3.2.3,59.93410842787095,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.3046278990805,None,month,sing,yellow,29,193,539.2927388995886,None,None,539.2927388995886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC 35,001,2022_Apr_12_0832,ProdSingRedo,3.2.3,59.93410842787095,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.8239200990647,None,danger,aloud,red,53,85,541.8194782994688,None,None,541.8194782994688,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC 35,001,2022_Apr_12_0832,ProdSingRedo,3.2.3,59.93410842787095,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.342940300703,None,estate,sing,yellow,13,119,544.3363728001714,None,None,544.3363728001714,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC 35,001,2022_Apr_12_0832,ProdSingRedo,3.2.3,59.93410842787095,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.8455269001424,None,engineer,aloud,red,42,114,546.843514399603,None,None,546.843514399603,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC 35,001,2022_Apr_12_0832,ProdSingRedo,3.2.3,59.93410842787095,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.3647971004248,None,individual,silent,blue,78,160,549.3712300993502,None,None,549.3712300993502,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC 35,001,2022_Apr_12_0832,ProdSingRedo,3.2.3,59.93410842787095,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.8839810993522,None,benefit,silent,blue,70,20,551.8881429992616,None,None,551.8881429992616,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC 35,001,2022_Apr_12_0832,ProdSingRedo,3.2.3,59.93410842787095,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.4027639999986,None,property,sing,yellow,11,242,554.4005932994187,None,None,554.4005932994187,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC 35,001,2022_Apr_12_0832,ProdSingRedo,3.2.3,59.93410842787095,
