StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,keyCondition.keys,keyCondition.rt,Condition,stim_colors,color_sing,color_aloud,color_silent,keyWelcome.keys,keyWelcome.rt,study_word,study_type,study_color,study_num,study_word_num,keyStudy.keys,key_resp_3.keys,key_resp_3.rt,testWord,testType,testColor,testN,test_num,test_word_num,keyConf.keys,keyConf.rt,keyRKN.keys,keyRKN.rt,date,frameRate,expName,session,participant,
,,,,,,,,n,3.14434080001,,,,,,,,,,,,,,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
,,,,,,,,,,NeutralTest,"['red', 'blue', 'yellow']",red,blue,yellow,space,875.8906423,,,,,,,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
0,0,0,0,,,,,,,,,,,,,,attack,silent,yellow,70,13,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
1,0,1,0,,,,,,,,,,,,,,corner,silent,yellow,89,69,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
2,0,2,0,,,,,,,,,,,,,,company,aloud,blue,55,64,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
3,0,3,0,,,,,,,,,,,,,,surface,sing,red,14,316,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
4,0,4,0,,,,,,,,,,,,,,strength,silent,yellow,80,310,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
5,0,5,0,,,,,,,,,,,,,,relation,silent,yellow,84,257,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
6,0,6,0,,,,,,,,,,,,,,sunset,sing,red,8,315,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
7,0,7,0,,,,,,,,,,,,,,pressure,aloud,blue,51,232,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
8,0,8,0,,,,,,,,,,,,,,bureau,aloud,blue,47,37,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
9,0,9,0,,,,,,,,,,,,,,fellow,silent,yellow,78,126,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
10,0,10,0,,,,,,,,,,,,,,error,aloud,blue,36,117,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
11,0,11,0,,,,,,,,,,,,,,problem,aloud,blue,34,238,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
12,0,12,0,,,,,,,,,,,,,,conference,sing,red,11,66,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
13,0,13,0,,,,,,,,,,,,,,committee,aloud,blue,35,62,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
14,0,14,0,,,,,,,,,,,,,,bicycle,silent,yellow,64,21,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
15,0,15,0,,,,,,,,,,,,,,thing,sing,red,12,328,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
16,0,16,0,,,,,,,,,,,,,,notice,aloud,blue,48,201,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
17,0,17,0,,,,,,,,,,,,,,personnel,aloud,blue,38,219,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
18,0,18,0,,,,,,,,,,,,,,running,sing,red,22,268,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
19,0,19,0,,,,,,,,,,,,,,concern,sing,red,6,65,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
20,0,20,0,,,,,,,,,,,,,,employment,sing,red,17,111,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
21,0,21,0,,,,,,,,,,,,,,public,silent,yellow,82,244,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
22,0,22,0,,,,,,,,,,,,,,raise,silent,yellow,72,250,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
23,0,23,0,,,,,,,,,,,,,,space,aloud,blue,43,297,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
24,0,24,0,,,,,,,,,,,,,,territory,silent,yellow,67,324,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
25,0,25,0,,,,,,,,,,,,,,waste,silent,yellow,79,350,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
26,0,26,0,,,,,,,,,,,,,,broke,sing,red,28,32,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
27,0,27,0,,,,,,,,,,,,,,government,aloud,blue,40,139,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
28,0,28,0,,,,,,,,,,,,,,council,sing,red,24,71,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
29,0,29,0,,,,,,,,,,,,,,commercial,silent,yellow,74,61,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
30,0,30,0,,,,,,,,,,,,,,bright,sing,red,9,29,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
31,0,31,0,,,,,,,,,,,,,,trash,sing,red,29,337,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
32,0,32,0,,,,,,,,,,,,,,nature,aloud,blue,45,200,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
33,0,33,0,,,,,,,,,,,,,,shock,silent,yellow,69,284,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
34,0,34,0,,,,,,,,,,,,,,quiet,aloud,blue,33,249,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
35,0,35,0,,,,,,,,,,,,,,throw,silent,yellow,87,330,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
36,0,36,0,,,,,,,,,,,,,,distance,sing,red,27,100,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
37,0,37,0,,,,,,,,,,,,,,permit,silent,yellow,68,218,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
38,0,38,0,,,,,,,,,,,,,,business,sing,red,18,38,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
39,0,39,0,,,,,,,,,,,,,,trial,aloud,blue,50,341,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
40,0,40,0,,,,,,,,,,,,,,property,silent,yellow,66,242,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
41,0,41,0,,,,,,,,,,,,,,service,aloud,blue,41,280,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
42,0,42,0,,,,,,,,,,,,,,south,sing,red,15,296,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
43,0,43,0,,,,,,,,,,,,,,goose,sing,red,23,138,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
44,0,44,0,,,,,,,,,,,,,,guest,sing,red,0,146,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
45,0,45,0,,,,,,,,,,,,,,whole,sing,red,10,355,None,,,,,,,,,,,,,2022_May_02_1129,60.0007440009,ProdSingRedo,001,NC 47,
