StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,keyCondition.keys,keyCondition.rt,Condition,stim_colors,color_sing,color_aloud,color_silent,keyWelcome.keys,keyWelcome.rt,study_word,study_type,study_color,study_num,study_word_num,keyStudy.keys,key_resp_3.keys,key_resp_3.rt,testWord,testType,testColor,testN,test_num,test_word_num,keyConf.keys,keyConf.rt,keyRKN.keys,keyRKN.rt,date,frameRate,expName,session,participant,
,,,,,,,,n,10.5242313,,,,,,,,,,,,,,,,,,,,,,,,,,2022_Feb_21_1047,59.9316299965,ProdSingRedo,001,"NC, 30",
,,,,,,,,,,NeutralTest,"['yellow', 'red', 'blue']",yellow,red,blue,space,260.661079,,,,,,,,,,,,,,,,,,,2022_Feb_21_1047,59.9316299965,ProdSingRedo,001,"NC, 30",
0,0,0,0,,,,,,,,,,,,,,agency,sing,yellow,1,4,None,,,,,,,,,,,,,2022_Feb_21_1047,59.9316299965,ProdSingRedo,001,"NC, 30",
1,0,1,0,,,,,,,,,,,,,,range,sing,yellow,5,251,None,,,,,,,,,,,,,2022_Feb_21_1047,59.9316299965,ProdSingRedo,001,"NC, 30",
2,0,2,0,,,,,,,,,,,,,,ground,aloud,red,42,142,None,,,,,,,,,,,,,2022_Feb_21_1047,59.9316299965,ProdSingRedo,001,"NC, 30",
3,0,3,0,,,,,,,,,,,,,,benefit,silent,blue,65,20,None,,,,,,,,,,,,,2022_Feb_21_1047,59.9316299965,ProdSingRedo,001,"NC, 30",
4,0,4,0,,,,,,,,,,,,,,voice,sing,yellow,0,348,None,,,,,,,,,,,,,2022_Feb_21_1047,59.9316299965,ProdSingRedo,001,"NC, 30",
5,0,5,0,,,,,,,,,,,,,,plane,silent,blue,82,223,None,,,,,,,,,,,,,2022_Feb_21_1047,59.9316299965,ProdSingRedo,001,"NC, 30",
6,0,6,0,,,,,,,,,,,,,,afternoon,aloud,red,51,3,None,,,,,,,,,,,,,2022_Feb_21_1047,59.9316299965,ProdSingRedo,001,"NC, 30",
7,0,7,0,,,,,,,,,,,,,,permit,aloud,red,43,218,None,,,,,,,,,,,,,2022_Feb_21_1047,59.9316299965,ProdSingRedo,001,"NC, 30",
8,0,8,0,,,,,,,,,,,,,,republic,aloud,red,38,260,None,,,,,,,,,,,,,2022_Feb_21_1047,59.9316299965,ProdSingRedo,001,"NC, 30",
9,0,9,0,,,,,,,,,,,,,,piece,sing,yellow,10,221,None,,,,,,,,,,,,,2022_Feb_21_1047,59.9316299965,ProdSingRedo,001,"NC, 30",
10,0,10,0,,,,,,,,,,,,,,broad,aloud,red,56,31,None,,,,,,,,,,,,,2022_Feb_21_1047,59.9316299965,ProdSingRedo,001,"NC, 30",
11,0,11,0,,,,,,,,,,,,,,edition,silent,blue,79,107,None,,,,,,,,,,,,,2022_Feb_21_1047,59.9316299965,ProdSingRedo,001,"NC, 30",
12,0,12,0,,,,,,,,,,,,,,colonel,silent,blue,89,55,None,,,,,,,,,,,,,2022_Feb_21_1047,59.9316299965,ProdSingRedo,001,"NC, 30",
13,0,13,0,,,,,,,,,,,,,,attack,sing,yellow,26,13,None,,,,,,,,,,,,,2022_Feb_21_1047,59.9316299965,ProdSingRedo,001,"NC, 30",
14,0,14,0,,,,,,,,,,,,,,youth,aloud,red,35,359,None,,,,,,,,,,,,,2022_Feb_21_1047,59.9316299965,ProdSingRedo,001,"NC, 30",
15,0,15,0,,,,,,,,,,,,,,goose,sing,yellow,6,138,None,,,,,,,,,,,,,2022_Feb_21_1047,59.9316299965,ProdSingRedo,001,"NC, 30",
16,0,16,0,,,,,,,,,,,,,,majority,silent,blue,80,176,None,,,,,,,,,,,,,2022_Feb_21_1047,59.9316299965,ProdSingRedo,001,"NC, 30",
17,0,17,0,,,,,,,,,,,,,,throw,sing,yellow,7,330,None,,,,,,,,,,,,,2022_Feb_21_1047,59.9316299965,ProdSingRedo,001,"NC, 30",
18,0,18,0,,,,,,,,,,,,,,sunset,aloud,red,33,315,None,,,,,,,,,,,,,2022_Feb_21_1047,59.9316299965,ProdSingRedo,001,"NC, 30",
19,0,19,0,,,,,,,,,,,,,,suspect,aloud,red,57,318,None,,,,,,,,,,,,,2022_Feb_21_1047,59.9316299965,ProdSingRedo,001,"NC, 30",
20,0,20,0,,,,,,,,,,,,,,quantity,aloud,red,30,245,None,,,,,,,,,,,,,2022_Feb_21_1047,59.9316299965,ProdSingRedo,001,"NC, 30",
