StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,25.8908764,None,n,1.1156819,25.8908764,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
,,,,,,,,,,,,,,NeutralTest,"['yellow', 'red', 'blue']",yellow,red,blue,27.143316,None,space,152.8218657,27.143316,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,27.143316,None,27.143316,None,27.143316,None,182.5405155,None,reading,aloud,red,54,254,180.5318427,None,None,180.5318427,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.0532629,None,strain,aloud,red,35,308,183.0579892,None,None,183.0579892,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.5689723,None,atmosphere,aloud,red,47,12,185.5757162,None,None,185.5757162,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0846451,None,mayor,sing,yellow,13,183,188.0982366,None,None,188.0982366,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.6003326,None,degree,aloud,red,48,89,190.6060678,None,None,190.6060678,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.1160297,None,bright,aloud,red,56,29,193.129453,None,None,193.129453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.6317159,None,charter,sing,yellow,19,47,195.6374849,None,None,195.6374849,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.1474551,None,capital,silent,blue,60,40,198.1532375,None,None,198.1532375,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.6632233,None,nature,silent,blue,63,200,200.668097,None,None,200.668097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.178843,None,disease,silent,blue,79,97,203.1841535,None,None,203.1841535,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.6945524,None,pretty,sing,yellow,9,233,205.7013657,None,None,205.7013657,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.2109061,None,government,sing,yellow,14,139,208.2268606,None,None,208.2268606,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.7259724,None,afternoon,aloud,red,31,3,210.733546,None,None,210.733546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.2416864,None,distance,silent,blue,71,100,213.2471558,None,None,213.2471558,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.757393,None,health,sing,yellow,24,149,215.7631254,None,None,215.7631254,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.2729243,None,angle,aloud,red,42,7,218.2768882,None,None,218.2768882,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.7888352,None,throw,silent,blue,75,330,220.7927129,None,None,220.7927129,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.3044324,None,payment,aloud,red,37,215,223.3132477,None,None,223.3132477,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.8202032,None,season,aloud,red,51,277,225.8259632,None,None,225.8259632,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.3358881,None,country,aloud,red,55,73,228.3407045,None,None,228.3407045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.8514352,None,nation,sing,yellow,26,198,230.8563213,None,None,230.8563213,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.3673329,None,member,aloud,red,36,188,233.3724866,None,None,233.3724866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.8830457,None,income,aloud,red,34,159,235.8891105,None,None,235.8891105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.3987628,None,quiet,sing,yellow,16,249,238.4125094,None,None,238.4125094,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.9137921,None,education,silent,blue,74,108,240.9220776,None,None,240.9220776,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.4301349,None,smell,aloud,red,39,291,243.4337197,None,None,243.4337197,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.9458302,None,testimony,aloud,red,41,325,245.9526679,None,None,245.9526679,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.4615461,None,guide,sing,yellow,11,147,248.4653809,None,None,248.4653809,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.9772356,None,impact,sing,yellow,6,157,250.9811256,None,None,250.9811256,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.4929798,None,guard,silent,blue,76,145,253.4977504,None,None,253.4977504,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.008676,None,pattern,silent,blue,65,214,256.0154953,None,None,256.0154953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.524099,None,taste,aloud,red,52,322,258.5301374,None,None,258.5301374,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.0400333,None,weather,aloud,red,49,352,261.0459037,None,None,261.0459037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.5557806,None,oxygen,silent,blue,62,209,263.5603568,None,None,263.5603568,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.0714585,None,chief,silent,blue,80,48,266.0764029,None,None,266.0764029,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.5871591,None,tragedy,silent,blue,78,335,268.5930517,None,None,268.5930517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.1029014,None,death,sing,yellow,4,86,271.1067489,None,None,271.1067489,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.6186375,None,story,silent,blue,77,306,273.6234329,None,None,273.6234329,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.1342718,None,thick,aloud,red,33,327,276.1435081,None,None,276.1435081,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.6500079,None,century,aloud,red,57,45,278.6558648,None,None,278.6558648,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.1657391,None,answer,aloud,red,58,8,281.1705972,None,None,281.1705972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.6824649,None,opening,sing,yellow,17,205,283.6926178,None,None,283.6926178,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.191013,None,threat,sing,yellow,28,329,286.2030393,None,None,286.2030393,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.7117803,None,drink,sing,yellow,7,105,288.7167065,None,None,288.7167065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.2284981,None,household,aloud,red,30,154,291.23611,None,None,291.23611,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.7452641,None,service,silent,blue,87,280,293.7501045,None,None,293.7501045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.259604,None,audience,sing,yellow,8,14,296.2666504,None,None,296.2666504,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.7755809,None,business,silent,blue,61,38,298.7821247,None,None,298.7821247,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.2913765,None,discussion,aloud,red,43,96,301.2990663,None,None,301.2990663,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.8058414,None,travel,silent,blue,69,338,303.812887,None,None,303.812887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.322772,None,force,aloud,red,40,131,306.3284893,None,None,306.3284893,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.8384883,None,tennis,silent,blue,85,323,308.8443831,None,None,308.8443831,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.3542011,None,school,silent,blue,83,274,311.359974,None,None,311.359974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.8696226,None,concern,aloud,red,50,65,313.8767345,None,None,313.8767345,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.3854251,None,prime,sing,yellow,20,235,316.3892778,None,None,316.3892778,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.9012961,None,plane,silent,blue,66,223,318.905116,None,None,318.905116,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.4170038,None,skill,silent,blue,88,289,321.4217367,None,None,321.4217367,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.9327754,None,estate,aloud,red,32,119,323.9383738,None,None,323.9383738,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14a,1,2020_Feb_06_1300,ProdSingRedo,3.2.4,59.98980173
