StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,31.3595707,None,n,3.914839,31.3595707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,,,,,,,,,,,NeutralTest,"['red', 'yellow', 'blue']",red,yellow,blue,35.3247814,None,space,1153.90277,35.3247814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,35.3247814,None,35.3247814,None,35.3247814,None,1191.78178,None,quiet,sing,red,1,249,1189.778825,None,None,1189.778825,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1194.299288,None,evidence,aloud,yellow,38,120,1192.298001,None,None,1192.298001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1196.815907,None,threat,sing,red,9,329,1194.812236,None,None,1194.812236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1199.332915,None,article,silent,blue,65,11,1197.329272,None,None,1197.329272,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201.849572,None,bicycle,aloud,yellow,58,21,1199.858445,None,None,1199.858445,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1204.366043,None,background,sing,red,17,16,1202.37561,None,None,1202.37561,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1206.882432,None,primary,silent,blue,67,234,1204.88,None,None,1204.88,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1209.39957,None,attack,silent,blue,69,13,1207.402065,None,None,1207.402065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
