StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.977838599996176,None,n,2.0396083000086946,19.977838599996176,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC15,001,2020_Mar_10_1219,ProdSingRedo,3.2.3,59.95570472483677,
,,,,,,,,,,,,,,NeutralTest,"['yellow', 'blue', 'red']",yellow,blue,red,22.115786299997126,None,space,734.6521487999998,22.115786299997126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC15,001,2020_Mar_10_1219,ProdSingRedo,3.2.3,59.95570472483677,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,22.115786299997126,None,22.115786299997126,None,22.115786299997126,None,759.3291218999948,None,sound,sing,yellow,10,295,757.320149399995,None,None,757.320149399995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC15,001,2020_Mar_10_1219,ProdSingRedo,3.2.3,59.95570472483677,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,761.8462050999951,None,vision,aloud,blue,56,347,759.8482497999939,None,None,759.8482497999939,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC15,001,2020_Mar_10_1219,ProdSingRedo,3.2.3,59.95570472483677,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.3627521000017,None,working,silent,red,84,357,762.3688172999973,None,None,762.3688172999973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC15,001,2020_Mar_10_1219,ProdSingRedo,3.2.3,59.95570472483677,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,766.879740599994,None,court,silent,red,81,75,764.8754000000044,None,None,764.8754000000044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC15,001,2020_Mar_10_1219,ProdSingRedo,3.2.3,59.95570472483677,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,769.3963649999932,None,sweet,sing,yellow,13,319,767.3922402000026,None,None,767.3922402000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC15,001,2020_Mar_10_1219,ProdSingRedo,3.2.3,59.95570472483677,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.9136433999956,None,curve,aloud,blue,30,82,769.9092911000043,None,None,769.9092911000043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC15,001,2020_Mar_10_1219,ProdSingRedo,3.2.3,59.95570472483677,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.4300180999999,None,story,silent,red,68,306,772.4317566999962,None,None,772.4317566999962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC15,001,2020_Mar_10_1219,ProdSingRedo,3.2.3,59.95570472483677,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.9318758000009,None,gesture,silent,red,85,137,774.9304433999932,None,None,774.9304433999932,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC15,001,2020_Mar_10_1219,ProdSingRedo,3.2.3,59.95570472483677,
