StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,keyCondition.keys,keyCondition.rt,Condition,stim_colors,color_sing,color_aloud,color_silent,keyWelcome.keys,keyWelcome.rt,study_word,study_type,study_color,study_num,study_word_num,keyStudy.keys,key_resp_3.keys,key_resp_3.rt,testWord,testType,testColor,testN,test_num,test_word_num,keyConf.keys,keyConf.rt,keyRKN.keys,keyRKN.rt,date,frameRate,expName,session,participant,
,,,,,,,,n,2.46864099998,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
,,,,,,,,,,NeutralTest,"['blue', 'red', 'yellow']",blue,red,yellow,space,631.2529166,,,,,,,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
0,0,0,0,,,,,,,,,,,,,,production,sing,blue,1,240,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
1,0,1,0,,,,,,,,,,,,,,guest,sing,blue,27,146,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
2,0,2,0,,,,,,,,,,,,,,fellow,aloud,red,32,126,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
3,0,3,0,,,,,,,,,,,,,,executive,silent,yellow,71,122,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
4,0,4,0,,,,,,,,,,,,,,article,aloud,red,58,11,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
5,0,5,0,,,,,,,,,,,,,,alert,silent,yellow,72,6,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
6,0,6,0,,,,,,,,,,,,,,group,aloud,red,38,143,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
7,0,7,0,,,,,,,,,,,,,,reach,silent,yellow,82,253,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
8,0,8,0,,,,,,,,,,,,,,story,silent,yellow,74,306,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
9,0,9,0,,,,,,,,,,,,,,power,sing,blue,26,230,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
10,0,10,0,,,,,,,,,,,,,,voice,silent,yellow,61,348,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
11,0,11,0,,,,,,,,,,,,,,signal,aloud,red,40,287,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
12,0,12,0,,,,,,,,,,,,,,direction,aloud,red,37,94,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
13,0,13,0,,,,,,,,,,,,,,series,aloud,red,51,279,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
14,0,14,0,,,,,,,,,,,,,,rough,sing,blue,19,266,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
15,0,15,0,,,,,,,,,,,,,,space,sing,blue,5,297,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
16,0,16,0,,,,,,,,,,,,,,owner,aloud,red,30,208,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
17,0,17,0,,,,,,,,,,,,,,theme,silent,yellow,81,326,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
18,0,18,0,,,,,,,,,,,,,,tough,sing,blue,4,333,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
19,0,19,0,,,,,,,,,,,,,,nature,aloud,red,54,200,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
20,0,20,0,,,,,,,,,,,,,,vision,silent,yellow,60,347,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
21,0,21,0,,,,,,,,,,,,,,crowd,sing,blue,2,81,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
22,0,22,0,,,,,,,,,,,,,,accident,sing,blue,9,0,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
23,0,23,0,,,,,,,,,,,,,,clean,silent,yellow,86,51,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
24,0,24,0,,,,,,,,,,,,,,foundation,sing,blue,10,132,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
25,0,25,0,,,,,,,,,,,,,,state,aloud,red,33,303,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
26,0,26,0,,,,,,,,,,,,,,exchange,silent,yellow,65,121,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
27,0,27,0,,,,,,,,,,,,,,leader,sing,blue,16,168,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
28,0,28,0,,,,,,,,,,,,,,citizen,silent,yellow,69,50,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
29,0,29,0,,,,,,,,,,,,,,service,silent,yellow,79,280,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
30,0,30,0,,,,,,,,,,,,,,majority,silent,yellow,83,176,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
31,0,31,0,,,,,,,,,,,,,,material,sing,blue,17,182,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
32,0,32,0,,,,,,,,,,,,,,color,sing,blue,23,56,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
33,0,33,0,,,,,,,,,,,,,,spoke,sing,blue,25,300,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
34,0,34,0,,,,,,,,,,,,,,order,silent,yellow,87,207,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
35,0,35,0,,,,,,,,,,,,,,rural,aloud,red,47,269,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
36,0,36,0,,,,,,,,,,,,,,court,sing,blue,24,75,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
37,0,37,0,,,,,,,,,,,,,,design,aloud,red,31,91,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
38,0,38,0,,,,,,,,,,,,,,discovery,silent,yellow,88,95,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
39,0,39,0,,,,,,,,,,,,,,brilliant,sing,blue,28,30,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
40,0,40,0,,,,,,,,,,,,,,force,sing,blue,14,131,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
41,0,41,0,,,,,,,,,,,,,,brief,silent,yellow,78,28,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
42,0,42,0,,,,,,,,,,,,,,listen,silent,yellow,62,172,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
43,0,43,0,,,,,,,,,,,,,,dream,aloud,red,49,104,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
44,0,44,0,,,,,,,,,,,,,,attack,sing,blue,22,13,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
45,0,45,0,,,,,,,,,,,,,,session,silent,yellow,70,281,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
46,0,46,0,,,,,,,,,,,,,,rapid,aloud,red,57,252,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
47,0,47,0,,,,,,,,,,,,,,partner,aloud,red,56,211,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
48,0,48,0,,,,,,,,,,,,,,debate,silent,yellow,66,87,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
49,0,49,0,,,,,,,,,,,,,,present,silent,yellow,67,231,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
50,0,50,0,,,,,,,,,,,,,,conference,silent,yellow,80,66,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
51,0,51,0,,,,,,,,,,,,,,running,sing,blue,6,268,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
52,0,52,0,,,,,,,,,,,,,,health,sing,blue,20,149,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
53,0,53,0,,,,,,,,,,,,,,surface,sing,blue,12,316,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
54,0,54,0,,,,,,,,,,,,,,division,silent,yellow,73,101,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
55,0,55,0,,,,,,,,,,,,,,watch,sing,blue,18,351,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
56,0,56,0,,,,,,,,,,,,,,scene,sing,blue,13,273,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
57,0,57,0,,,,,,,,,,,,,,center,aloud,red,50,44,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
58,0,58,0,,,,,,,,,,,,,,engineer,aloud,red,59,114,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
59,0,59,0,,,,,,,,,,,,,,charter,aloud,red,43,47,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
60,0,60,0,,,,,,,,,,,,,,trash,aloud,red,48,337,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
61,0,61,0,,,,,,,,,,,,,,primary,sing,blue,0,234,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
62,0,62,0,,,,,,,,,,,,,,review,silent,yellow,75,263,None,,,,,,,,,,,,,2021_Oct_25_0929,59.9479052575,ProdSingRedo,001,NC16,
