StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,1811.0713249000255,None,n,3.3268555998802185,1811.0713249000255,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC19,001,2021_Nov_03_1458,ProdSingRedo,3.2.3,60.288868078270255,
,,,,,,,,,,,,,,NeutralTest,"['blue', 'red', 'yellow']",blue,red,yellow,1814.4656861000694,None,space,330.07058459986,1814.4656861000694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC19,001,2021_Nov_03_1458,ProdSingRedo,3.2.3,60.288868078270255,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1814.4656861000694,None,1814.4656861000694,None,1814.4656861000694,None,2147.077544900123,None,drove,silent,yellow,72,106,2145.0727677000687,None,None,2145.0727677000687,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC19,001,2021_Nov_03_1458,ProdSingRedo,3.2.3,60.288868078270255,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2149.59521950013,None,trash,silent,yellow,84,337,2147.594747000141,None,None,2147.594747000141,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC19,001,2021_Nov_03_1458,ProdSingRedo,3.2.3,60.288868078270255,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2152.111472400138,None,finance,silent,yellow,67,129,2150.102105200058,None,None,2150.102105200058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC19,001,2021_Nov_03_1458,ProdSingRedo,3.2.3,60.288868078270255,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2154.6290517000016,None,group,sing,blue,16,143,2152.6283221999183,None,None,2152.6283221999183,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC19,001,2021_Nov_03_1458,ProdSingRedo,3.2.3,60.288868078270255,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2157.1453698000405,None,scale,silent,yellow,69,272,2155.1363675999455,None,None,2155.1363675999455,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC19,001,2021_Nov_03_1458,ProdSingRedo,3.2.3,60.288868078270255,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2159.661704899976,None,youth,silent,yellow,65,359,2157.6713424001355,None,None,2157.6713424001355,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC19,001,2021_Nov_03_1458,ProdSingRedo,3.2.3,60.288868078270255,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2162.179123800015,None,carry,aloud,red,32,43,2160.1767836001236,None,None,2160.1767836001236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC19,001,2021_Nov_03_1458,ProdSingRedo,3.2.3,60.288868078270255,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2164.6954837001394,None,career,sing,blue,1,42,2162.6913276999258,None,None,2162.6913276999258,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC19,001,2021_Nov_03_1458,ProdSingRedo,3.2.3,60.288868078270255,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2167.2123845999595,None,chief,aloud,red,35,48,2165.208424099954,None,None,2165.208424099954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC19,001,2021_Nov_03_1458,ProdSingRedo,3.2.3,60.288868078270255,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2169.7300746000838,None,place,aloud,red,51,222,2167.725328499917,None,None,2167.725328499917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC19,001,2021_Nov_03_1458,ProdSingRedo,3.2.3,60.288868078270255,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2172.2461815001443,None,plane,silent,yellow,76,223,2170.2422140999697,None,None,2170.2422140999697,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC19,001,2021_Nov_03_1458,ProdSingRedo,3.2.3,60.288868078270255,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2174.7637112000957,None,thing,silent,yellow,73,328,2172.758668299997,None,None,2172.758668299997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC19,001,2021_Nov_03_1458,ProdSingRedo,3.2.3,60.288868078270255,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2177.2821482000872,None,subject,silent,yellow,75,312,2175.2924351999536,None,None,2175.2924351999536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC19,001,2021_Nov_03_1458,ProdSingRedo,3.2.3,60.288868078270255,
