StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,23.810883100144565,None,n,5.948958799242973,23.810883100144565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC29,001,2022_Feb_17_1650,ProdSingRedo,3.2.3,59.894370348741404,
,,,,,,,,,,,,,,NeutralTest,"['blue', 'red', 'yellow']",blue,red,yellow,29.7995990999043,None,space,285.58386209979653,29.7995990999043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC29,001,2022_Feb_17_1650,ProdSingRedo,3.2.3,59.894370348741404,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,29.7995990999043,None,29.7995990999043,None,29.7995990999043,None,317.93043479975313,None,solution,aloud,red,53,294,315.92800249997526,None,None,315.92800249997526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC29,001,2022_Feb_17_1650,ProdSingRedo,3.2.3,59.894370348741404,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.4496002001688,None,emergency,sing,blue,13,110,318.45229199994355,None,None,318.45229199994355,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC29,001,2022_Feb_17_1650,ProdSingRedo,3.2.3,59.894370348741404,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.968462199904,None,partner,aloud,red,42,211,320.9607887994498,None,None,320.9607887994498,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC29,001,2022_Feb_17_1650,ProdSingRedo,3.2.3,59.894370348741404,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.4712600996718,None,conference,aloud,red,41,66,323.46924200002104,None,None,323.46924200002104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC29,001,2022_Feb_17_1650,ProdSingRedo,3.2.3,59.894370348741404,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.99051500018686,None,crisis,silent,yellow,69,79,325.9798791995272,None,None,325.9798791995272,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC29,001,2022_Feb_17_1650,ProdSingRedo,3.2.3,59.894370348741404,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.5096076996997,None,expansion,sing,blue,15,123,328.50224329996854,None,None,328.50224329996854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC29,001,2022_Feb_17_1650,ProdSingRedo,3.2.3,59.894370348741404,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.0287339994684,None,present,silent,yellow,80,231,331.0178510993719,None,None,331.0178510993719,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC29,001,2022_Feb_17_1650,ProdSingRedo,3.2.3,59.894370348741404,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.5312737999484,None,goose,aloud,red,58,138,333.5289568994194,None,None,333.5289568994194,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC29,001,2022_Feb_17_1650,ProdSingRedo,3.2.3,59.894370348741404,
