StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,23.456677300855517,None,n,3.1123003996908665,23.456677300855517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC36,001,2022_Apr_12_1050,ProdSingRedo,3.2.3,59.733124553138595,
,,,,,,,,,,,,,,NeutralTest,"['blue', 'yellow', 'red']",blue,yellow,red,26.597021801397204,None,space,258.1319502014667,26.597021801397204,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC36,001,2022_Apr_12_1050,ProdSingRedo,3.2.3,59.733124553138595,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,26.597021801397204,None,26.597021801397204,None,26.597021801397204,None,287.2880957014859,None,material,sing,blue,21,182,285.2784182000905,None,None,285.2784182000905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC36,001,2022_Apr_12_1050,ProdSingRedo,3.2.3,59.733124553138595,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.8043209016323,None,taste,silent,red,83,322,287.8009311016649,None,None,287.8009311016649,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC36,001,2022_Apr_12_1050,ProdSingRedo,3.2.3,59.733124553138595,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.3234363012016,None,leader,silent,red,66,168,290.3182548005134,None,None,290.3182548005134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC36,001,2022_Apr_12_1050,ProdSingRedo,3.2.3,59.733124553138595,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.84262520074844,None,close,sing,blue,18,53,292.8324382007122,None,None,292.8324382007122,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC36,001,2022_Apr_12_1050,ProdSingRedo,3.2.3,59.733124553138595,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.3617989011109,None,opening,silent,red,60,205,295.3555798009038,None,None,295.3555798009038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC36,001,2022_Apr_12_1050,ProdSingRedo,3.2.3,59.733124553138595,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.8811334017664,None,generation,sing,blue,12,136,297.8774047009647,None,None,297.8774047009647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC36,001,2022_Apr_12_1050,ProdSingRedo,3.2.3,59.733124553138595,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.40019530057907,None,afternoon,aloud,yellow,56,3,300.39376990124583,None,None,300.39376990124583,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC36,001,2022_Apr_12_1050,ProdSingRedo,3.2.3,59.733124553138595,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.9194637015462,None,income,aloud,yellow,37,159,302.9100734014064,None,None,302.9100734014064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC36,001,2022_Apr_12_1050,ProdSingRedo,3.2.3,59.733124553138595,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.4386766012758,None,payment,silent,red,78,215,305.43818250112236,None,None,305.43818250112236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC36,001,2022_Apr_12_1050,ProdSingRedo,3.2.3,59.733124553138595,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.9578315000981,None,production,sing,blue,0,240,307.95245280116796,None,None,307.95245280116796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC36,001,2022_Apr_12_1050,ProdSingRedo,3.2.3,59.733124553138595,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.4769108016044,None,build,sing,blue,9,35,310.4770506005734,None,None,310.4770506005734,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC36,001,2022_Apr_12_1050,ProdSingRedo,3.2.3,59.733124553138595,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.99613230116665,None,industry,sing,blue,4,161,312.99604250118136,None,None,312.99604250118136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC36,001,2022_Apr_12_1050,ProdSingRedo,3.2.3,59.733124553138595,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.5152636002749,None,signal,aloud,yellow,58,287,315.5159688014537,None,None,315.5159688014537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC36,001,2022_Apr_12_1050,ProdSingRedo,3.2.3,59.733124553138595,
