StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,11.92959001,None,n,3.790098619,11.92959001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,,,,,,,,,,,NeutralTest,"['red', 'yellow', 'blue']",red,yellow,blue,15.77538168,None,space,2224.592818,15.77538168,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,15.77538168,None,15.77538168,None,15.77538168,None,2242.908427,None,display,sing,red,26,98,2240.914127,None,None,2240.914127,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2245.425805,None,running,silent,blue,61,268,2243.424987,None,None,2243.424987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2247.943217,None,raise,aloud,yellow,36,250,2245.942576,None,None,2245.942576,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250.460669,None,stranger,silent,blue,69,309,2248.459917,None,None,2248.459917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2252.978088,None,tragedy,aloud,yellow,39,335,2250.977293,None,None,2250.977293,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2255.495566,None,bright,aloud,yellow,55,29,2253.496358,None,None,2253.496358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2258.013006,None,government,sing,red,15,139,2256.017634,None,None,2256.017634,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2260.530388,None,order,aloud,yellow,48,207,2258.529783,None,None,2258.529783,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
