StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.098600178491324,None,n,0.812734923325479,16.098600178491324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
,,,,,,,,,,,,,,NeutralTest,"['blue', 'red', 'yellow']",blue,red,yellow,16.964558174600825,None,space,814.985109830508,16.964558174600825,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,16.964558174600825,None,16.964558174600825,None,16.964558174600825,None,834.4986623791046,None,personnel,sing,blue,0,219,832.4980095850769,None,None,832.4980095850769,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,837.0161108537577,None,guard,silent,yellow,70,145,835.0154605477583,None,None,835.0154605477583,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,839.5335512424354,None,benefit,silent,yellow,77,20,837.5339337752666,None,None,837.5339337752666,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,842.0509754589293,None,right,sing,blue,11,265,840.0503239089157,None,None,840.0503239089157,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,844.5684161584359,None,company,silent,yellow,75,64,842.5686459892895,None,None,842.5686459892895,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,847.085841618944,None,goose,aloud,red,52,138,845.0852025093045,None,None,845.0852025093045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,849.6032854286022,None,figure,aloud,red,48,128,847.6025032578036,None,None,847.6025032578036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,852.1207105782814,None,heavy,aloud,red,44,151,850.1199993158225,None,None,850.1199993158225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,854.6381705598906,None,religion,sing,blue,12,258,852.6374092262704,None,None,852.6374092262704,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,857.1556019296404,None,birth,silent,yellow,68,22,855.1548014094587,None,None,855.1548014094587,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,859.673036720138,None,quantity,aloud,red,30,245,857.6738739383873,None,None,857.6738739383873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,862.1904802187346,None,industry,sing,blue,9,161,860.1896880958229,None,None,860.1896880958229,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,864.7079000812955,None,carry,aloud,red,38,43,862.7072796316352,None,None,862.7072796316352,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,867.2253697041888,None,council,silent,yellow,78,71,865.2246979391202,None,None,865.2246979391202,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,869.7427895665169,None,power,aloud,red,50,230,867.7421333517414,None,None,867.7421333517414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,872.2602601223625,None,break,aloud,red,32,26,870.2595737401862,None,None,870.2595737401862,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,874.777659147745,None,detective,sing,blue,5,92,872.7770141288638,None,None,872.7770141288638,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,877.295113531407,None,concern,aloud,red,54,65,875.2943357145414,None,None,875.2943357145414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,879.812527484959,None,strength,aloud,red,39,310,877.8119113892317,None,None,877.8119113892317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,882.3299955527764,None,principal,aloud,red,58,236,880.3292121379636,None,None,880.3292121379636,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,884.8474387403112,None,service,aloud,red,34,280,882.8466096082702,None,None,882.8466096082702,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,887.3648716649041,None,broad,aloud,red,46,31,885.3640565278474,None,None,885.3640565278474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,889.8823341347743,None,bright,sing,blue,29,29,887.881484165322,None,None,887.881484165322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC5,001,2019_Dec_03_1557,ProdSingRedo,3.2.4,59.9770194798855,
