StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,411.0238984990865,None,n,4.4655779004096985,411.0238984990865,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
,,,,,,,,,,,,,,NeutralTest,"['blue', 'yellow', 'red']",blue,yellow,red,415.5511976983398,None,space,14.352025400847197,415.5511976983398,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,415.5511976983398,None,415.5511976983398,None,415.5511976983398,None,432.4350021984428,None,oxygen,sing,blue,24,209,430.42957629822195,None,None,430.42957629822195,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.9519215989858,None,silence,silent,red,64,288,432.9372713994235,None,None,432.9372713994235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.468237798661,None,commercial,sing,blue,14,61,435.4548526983708,None,None,435.4548526983708,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.9857535995543,None,match,sing,blue,20,181,437.97114219889045,None,None,437.97114219889045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.4855309985578,None,personnel,sing,blue,21,219,440.48537939973176,None,None,440.48537939973176,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.98704809881747,None,household,silent,red,85,154,442.9860151987523,None,None,442.9860151987523,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.5038380995393,None,problem,silent,red,87,238,445.51261209882796,None,None,445.51261209882796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.0209591984749,None,bright,silent,red,88,29,448.01964689977467,None,None,448.01964689977467,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.5541744995862,None,weather,silent,red,71,352,450.5469398982823,None,None,450.5469398982823,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.05444789864123,None,interior,aloud,yellow,59,164,453.05072099901736,None,None,453.05072099901736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.5713708996773,None,country,sing,blue,25,73,455.5670033991337,None,None,455.5670033991337,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.08808149956167,None,under,sing,blue,7,343,458.08279129862785,None,None,458.08279129862785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.6040226984769,None,write,sing,blue,18,358,460.6041611991823,None,None,460.6041611991823,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.1038790997118,None,split,aloud,yellow,39,299,463.10358859971166,None,None,463.10358859971166,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.6206242982298,None,corner,silent,red,82,69,465.6063219998032,None,None,465.6063219998032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.1205592993647,None,history,aloud,yellow,42,153,468.12047609873116,None,None,468.12047609873116,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.6209341995418,None,sleep,sing,blue,15,290,470.62079229950905,None,None,470.62079229950905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.12261039949954,None,republic,aloud,yellow,46,260,473.1223577000201,None,None,473.1223577000201,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.6375320982188,None,cross,sing,blue,16,80,475.6330565996468,None,None,475.6330565996468,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.1542024984956,None,cover,sing,blue,27,77,478.1448075994849,None,None,478.1448075994849,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.6719252988696,None,center,sing,blue,17,44,480.66248659975827,None,None,480.66248659975827,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.1728011984378,None,title,sing,blue,12,331,483.1713769994676,None,None,483.1713769994676,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.68857129849494,None,quarter,silent,red,83,246,485.6977018993348,None,None,485.6977018993348,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.2066521998495,None,force,sing,blue,23,131,488.20419709943235,None,None,488.20419709943235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.7236012984067,None,generation,aloud,yellow,55,136,490.7254075985402,None,None,490.7254075985402,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,495.2439901996404,None,worker,silent,red,69,356,493.2456353995949,None,None,493.2456353995949,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.7573558986187,None,sound,sing,blue,0,295,495.75409499928355,None,None,495.75409499928355,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.27272239886224,None,management,sing,blue,29,177,498.2590373996645,None,None,498.2590373996645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.7726573999971,None,growth,sing,blue,3,144,500.77254929952323,None,None,500.77254929952323,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.274115299806,None,brief,silent,red,77,28,503.27406549826264,None,None,503.27406549826264,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.7903128992766,None,education,sing,blue,9,108,505.79488339833915,None,None,505.79488339833915,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.30676589906216,None,suggestion,aloud,yellow,31,314,508.3079288993031,None,None,508.3079288993031,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.8245171997696,None,evidence,aloud,yellow,48,120,510.81366069987416,None,None,510.81366069987416,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.3416172992438,None,dozen,sing,blue,1,102,513.3316123988479,None,None,513.3316123988479,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.8575927000493,None,executive,silent,red,81,122,515.8710411991924,None,None,515.8710411991924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.3734198994935,None,comfort,sing,blue,4,59,518.3583804983646,None,None,518.3583804983646,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.8736243993044,None,style,sing,blue,28,311,520.8733115997165,None,None,520.8733115997165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.373764898628,None,colonel,aloud,yellow,30,55,523.3736620992422,None,None,523.3736620992422,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_31,001,2022_Mar_24_1203,ProdSingRedo,3.2.3,59.79180521440633,
