StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,27.1281604,None,n,1.3906178000000011,27.1281604,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
,,,,,,,,,,,,,,NeutralTest,"['yellow', 'red', 'blue']",yellow,red,blue,28.560709799999998,None,space,77.83799470000001,28.560709799999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,28.560709799999998,None,28.560709799999998,None,28.560709799999998,None,108.9457813,None,entrance,aloud,red,49,115,106.93711400000001,None,None,106.93711400000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.46370329999999,None,broad,sing,yellow,2,31,109.469426,None,None,109.469426,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.9805786,None,shear,sing,yellow,16,283,111.96933820000001,None,None,111.96933820000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.49670800000001,None,drink,silent,blue,66,105,114.5013318,None,None,114.5013318,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.01357530000001,None,election,aloud,red,42,109,117.0088356,None,None,117.0088356,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.52987189999999,None,comfort,aloud,red,36,59,119.52767170000001,None,None,119.52767170000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.04695420000002,None,scale,silent,blue,75,272,122.04384999999999,None,None,122.04384999999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.5474724,None,escape,sing,yellow,26,118,124.54846549999999,None,None,124.54846549999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_37,001,2022_Apr_19_1603,ProdSingRedo,3.2.3,60.299883380023516,
