StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,keyStudy.rt,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,30.874581099953502,None,n,1.234324799850583,30.874581099953502,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,,,,,,,,,,,NeutralTest,"['red', 'yellow', 'blue']",red,yellow,blue,32.158326300093904,None,space,777.3185242000036,32.158326300093904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,32.158326300093904,None,32.158326300093904,None,32.158326300093904,None,812.0156680999789,None,weather,sing,red,19,352,810.0179711999372,None,None,810.0179711999372,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,814.53248360008,None,produce,sing,red,7,239,812.5193566998933,None,None,812.5193566998933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,817.0491865999065,None,revolution,silent,blue,64,264,815.0490413999651,None,None,815.0490413999651,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,819.5662527000532,None,appearance,silent,blue,71,10,817.5678940000944,None,space,817.5678940000944,None,1.5811352001037449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,822.0829706999939,None,power,aloud,yellow,47,230,820.0729018999264,None,space,820.0729018999264,None,1.5718183999415487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,824.5999668999575,None,dance,silent,blue,73,84,822.5943970999215,None,None,822.5943970999215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,827.1166459999513,None,weight,sing,red,29,353,825.115977599984,None,None,825.115977599984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.6339630999137,None,sleep,aloud,yellow,31,290,827.621324500069,None,None,827.621324500069,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.150564200012,None,route,sing,red,1,267,830.1468803000171,None,None,830.1468803000171,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,834.6672787000425,None,property,aloud,yellow,40,242,832.6712315999903,None,None,832.6712315999903,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,837.1837579000276,None,suspect,silent,blue,82,318,835.1797863999382,None,None,835.1797863999382,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,839.700950199971,None,trash,sing,red,15,337,837.6969502998982,None,None,837.6969502998982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,842.2176767999772,None,industry,aloud,yellow,53,161,840.2204330998939,None,None,840.2204330998939,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,844.7346820998937,None,number,sing,red,4,203,842.740224200068,None,None,842.740224200068,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,847.250645400025,None,salary,sing,red,23,271,845.254734300077,None,None,845.254734300077,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,849.7682747000363,None,music,aloud,yellow,45,196,847.7629913999699,None,None,847.7629913999699,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,852.2851082999259,None,order,sing,red,0,207,850.2692905000877,None,None,850.2692905000877,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,854.8018582998775,None,machinery,aloud,yellow,42,175,852.793471599929,None,None,852.793471599929,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,857.3186943999026,None,strain,silent,blue,86,308,855.3167421000544,None,None,855.3167421000544,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,859.8355489999522,None,sunset,sing,red,5,315,857.8314425998833,None,None,857.8314425998833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,862.3535664000083,None,department,aloud,yellow,52,90,860.3371168000158,None,None,860.3371168000158,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,864.8693210000638,None,fellow,aloud,yellow,43,126,862.8687001999933,None,None,862.8687001999933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,867.3861042999197,None,danger,aloud,yellow,58,85,865.391913499916,None,None,865.391913499916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,869.9030055000912,None,rural,silent,blue,87,269,867.9012295999564,None,None,867.9012295999564,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,872.4198346999474,None,story,sing,red,13,306,870.4148663999513,None,None,870.4148663999513,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,874.9365777000785,None,series,aloud,yellow,59,279,872.9295168998651,None,None,872.9295168998651,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,877.4533963000868,None,question,aloud,yellow,50,247,875.458643199876,None,None,875.458643199876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,879.97024649987,None,community,aloud,yellow,56,63,877.9703494000714,None,None,877.9703494000714,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,882.4871227999683,None,bucket,silent,blue,76,33,880.49037340004,None,None,880.49037340004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,885.003921699943,None,light,aloud,yellow,33,171,882.999079399975,None,None,882.999079399975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,887.5207847000565,None,grade,aloud,yellow,46,140,885.5178932000417,None,None,885.5178932000417,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,890.0375679000281,None,treatment,silent,blue,69,339,888.0330795000773,None,None,888.0330795000773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,892.5549087000545,None,native,aloud,yellow,48,199,890.5509832999669,None,None,890.5509832999669,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,895.0712476999033,None,balance,sing,red,8,17,893.0699191999156,None,None,893.0699191999156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,897.5880740000866,None,defeat,sing,red,16,88,895.5871532000601,None,None,895.5871532000601,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.1049168000463,None,poetry,sing,red,18,225,898.0996042999905,None,None,898.0996042999905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,902.6217700999696,None,capital,silent,blue,74,40,900.615388300037,None,None,900.615388300037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,905.1385528999381,None,speech,silent,blue,85,298,903.1313434999902,None,None,903.1313434999902,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,907.6553978000302,None,write,sing,red,14,358,905.6501489998773,None,None,905.6501489998773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,910.1721224000212,None,victory,silent,blue,83,346,908.170631099958,None,None,908.170631099958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,912.6725190998986,None,report,aloud,yellow,36,259,910.6720118999947,None,None,910.6720118999947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,915.1891908999532,None,author,silent,blue,80,15,913.1848845998757,None,None,913.1848845998757,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,917.7060950999148,None,mayor,silent,blue,67,183,915.7035449999385,None,None,915.7035449999385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,920.2229069999885,None,shock,aloud,yellow,54,284,918.2176798998844,None,None,918.2176798998844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,922.73980199988,None,company,aloud,yellow,34,64,920.7362001000438,None,None,920.7362001000438,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,925.2581205999013,None,public,silent,blue,79,244,923.2599502000958,None,None,923.2599502000958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,927.7734417999163,None,waste,sing,red,25,350,925.7674004000146,None,None,925.7674004000146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,930.2902748999186,None,smell,sing,red,24,291,928.2831886999775,None,None,928.2831886999775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,932.8070578000043,None,universal,silent,blue,81,345,930.8077578998636,None,None,930.8077578998636,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,935.3239164999686,None,agreement,sing,red,21,5,933.3251404000912,None,None,933.3251404000912,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,937.8408337999135,None,foundation,sing,red,9,132,935.8453096000012,None,None,935.8453096000012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,940.3579184000846,None,center,silent,blue,68,44,938.3496934999712,None,None,938.3496934999712,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,942.874475199962,None,under,silent,blue,63,343,940.8760697999969,None,None,940.8760697999969,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,945.3914538999088,None,science,aloud,yellow,55,275,943.3840981998947,None,None,943.3840981998947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,947.9092105999589,None,birth,silent,blue,65,22,945.9023533998989,None,None,945.9023533998989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,950.4250078999903,None,throw,aloud,yellow,44,330,948.4192059000488,None,None,948.4192059000488,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,952.9417916999664,None,curve,aloud,yellow,51,82,950.9402069000062,None,None,950.9402069000062,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,955.4419944998808,None,solution,aloud,yellow,32,294,953.4416718999855,None,None,953.4416718999855,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,957.9588057999499,None,substance,sing,red,6,313,955.9770184999797,None,None,955.9770184999797,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,960.4755871000234,None,theme,silent,blue,78,326,958.4689313999843,None,None,958.4689313999843,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.991866099881,None,material,aloud,yellow,35,182,960.991381400032,None,None,960.991381400032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,965.5098890999798,None,portion,aloud,yellow,39,228,963.4938264999073,None,None,963.4938264999073,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,968.0262982000131,None,partner,aloud,yellow,37,211,966.0217653000727,None,None,966.0217653000727,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,970.5429463000037,None,cross,silent,blue,61,80,968.535589999985,None,None,968.535589999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
64,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,973.0592823000625,None,notice,sing,red,10,201,971.048268500017,None,None,971.048268500017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
