StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,333.4854903006926,None,y,7.375804699957371,333.4854903006926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color 28,001,2022_Feb_17_1550,ProdSingRedo,3.2.3,60.03359458009395,
,,,,,,,,,,,,,,ColoredTest,"['red', 'blue', 'yellow']",red,blue,yellow,340.9229375002906,None,space,2070.9582970002666,340.9229375002906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color 28,001,2022_Feb_17_1550,ProdSingRedo,3.2.3,60.03359458009395,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,340.9229375002906,None,340.9229375002906,None,340.9229375002906,None,2414.437151500024,None,research,sing,red,19,261,2412.4297721004114,None,None,2412.4297721004114,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color 28,001,2022_Feb_17_1550,ProdSingRedo,3.2.3,60.03359458009395,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2416.953937800601,None,sight,aloud,blue,56,286,2414.9509708005935,None,None,2414.9509708005935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color 28,001,2022_Feb_17_1550,ProdSingRedo,3.2.3,60.03359458009395,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2419.470870899968,None,angle,silent,yellow,74,7,2417.4684073999524,None,None,2417.4684073999524,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color 28,001,2022_Feb_17_1550,ProdSingRedo,3.2.3,60.03359458009395,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2421.987602800131,None,degree,silent,yellow,86,89,2419.9841392999515,None,None,2419.9841392999515,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color 28,001,2022_Feb_17_1550,ProdSingRedo,3.2.3,60.03359458009395,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2424.504494899884,None,build,sing,red,12,35,2422.5053479000926,None,None,2422.5053479000926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color 28,001,2022_Feb_17_1550,ProdSingRedo,3.2.3,60.03359458009395,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2427.021387900226,None,second,silent,yellow,82,278,2425.0131555004045,None,None,2425.0131555004045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color 28,001,2022_Feb_17_1550,ProdSingRedo,3.2.3,60.03359458009395,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2429.5382659006864,None,broad,silent,yellow,72,31,2427.5351117001846,None,None,2427.5351117001846,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color 28,001,2022_Feb_17_1550,ProdSingRedo,3.2.3,60.03359458009395,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2432.0538669005036,None,report,aloud,blue,38,259,2430.046760899946,None,None,2430.046760899946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color 28,001,2022_Feb_17_1550,ProdSingRedo,3.2.3,60.03359458009395,
