StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,17.80434781,None,y,0.928599463,17.80434781,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
,,,,,,,,,,,,,,ColoredTest,"['yellow', 'red', 'blue']",yellow,red,blue,18.7989625,None,space,3432.348525,18.7989625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,18.7989625,None,18.7989625,None,18.7989625,None,3453.685467,None,curve,aloud,red,50,82,3451.691716,None,None,3451.691716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3456.202875,None,waste,sing,yellow,6,350,3454.202244,None,None,3454.202244,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3458.720353,None,generation,aloud,red,59,136,3456.719682,None,None,3456.719682,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3461.237758,None,frank,sing,yellow,0,133,3459.237189,None,None,3459.237189,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3463.755222,None,throw,sing,yellow,2,330,3461.754533,None,None,3461.754533,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3466.272655,None,grade,aloud,red,38,140,3464.272028,None,None,3464.272028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3468.79008,None,corner,aloud,red,54,69,3466.789402,None,None,3466.789402,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3471.307512,None,travel,sing,yellow,1,338,3469.306715,None,None,3469.306715,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color10,1,2019_Dec_04_1238,ProdSingRedo,3.2.4,59.93632459
