StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,29.008462699999882,None,y,1.6477748999998312,29.008462699999882,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color12,001,2020_Feb_04_1307,ProdSingRedo,3.2.4,60.01147419390786,
,,,,,,,,,,,,,,ColoredTest,"['red', 'blue', 'yellow']",red,blue,yellow,30.703613599999926,None,space,117.97713550000003,30.703613599999926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color12,001,2020_Feb_04_1307,ProdSingRedo,3.2.4,60.01147419390786,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,30.703613599999926,None,30.703613599999926,None,30.703613599999926,None,151.24245799999994,None,instrument,sing,red,4,163,149.23981849999996,None,None,149.23981849999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color12,001,2020_Feb_04_1307,ProdSingRedo,3.2.4,60.01147419390786,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.76252739999995,None,shape,silent,yellow,81,282,151.75118509999993,None,None,151.75118509999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color12,001,2020_Feb_04_1307,ProdSingRedo,3.2.4,60.01147419390786,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.27419510000004,None,comfort,sing,red,16,59,154.277916,None,None,154.277916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color12,001,2020_Feb_04_1307,ProdSingRedo,3.2.4,60.01147419390786,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.7924613,None,pressure,silent,yellow,80,232,156.79737669999986,None,None,156.79737669999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color12,001,2020_Feb_04_1307,ProdSingRedo,3.2.4,60.01147419390786,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.30817320000006,None,smell,aloud,blue,52,291,159.30922499999997,None,None,159.30922499999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color12,001,2020_Feb_04_1307,ProdSingRedo,3.2.4,60.01147419390786,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.82126459999995,None,produce,aloud,blue,50,239,161.8262118,None,None,161.8262118,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color12,001,2020_Feb_04_1307,ProdSingRedo,3.2.4,60.01147419390786,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.34069239999985,None,worker,silent,yellow,83,356,164.33999019999987,None,None,164.33999019999987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color12,001,2020_Feb_04_1307,ProdSingRedo,3.2.4,60.01147419390786,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.85254559999998,None,session,sing,red,20,281,166.85911119999992,None,None,166.85911119999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color12,001,2020_Feb_04_1307,ProdSingRedo,3.2.4,60.01147419390786,
