StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,20.6368848,None,y,2.4616006,20.6368848,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
,,,,,,,,,,,,,,ColoredTest,"['yellow', 'blue', 'red']",yellow,blue,red,23.2001884,None,space,150.6521566,23.2001884,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,23.2001884,None,23.2001884,None,23.2001884,None,176.4118046,None,bright,silent,red,62,29,174.4157111,None,None,174.4157111,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.924883,None,crowd,aloud,blue,49,81,176.9310931,None,None,176.9310931,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.4404876,None,sleep,sing,yellow,23,290,179.4450066,None,None,179.4450066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.9572062,None,committee,silent,red,87,62,181.9636785,None,None,181.9636785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.4718852,None,report,sing,yellow,12,259,184.478362,None,None,184.478362,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.9873751,None,court,silent,red,69,75,186.9928927,None,None,186.9928927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.5033759,None,judge,sing,yellow,10,166,189.5177289,None,None,189.5177289,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.0172187,None,recall,silent,red,67,255,192.0265296,None,None,192.0265296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.5348766,None,carry,silent,red,89,43,194.547349,None,None,194.547349,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.0504241,None,broad,aloud,blue,58,31,197.0547054,None,None,197.0547054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.5661346,None,problem,aloud,blue,56,238,199.5741003,None,None,199.5741003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.0829109,None,payment,silent,red,66,215,202.0882585,None,None,202.0882585,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.5987227,None,curve,silent,red,70,82,204.610458,None,None,204.610458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.1132768,None,phrase,aloud,blue,47,220,207.1197896,None,None,207.1197896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.6290091,None,salary,silent,red,68,271,209.6344511,None,None,209.6344511,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.1428149,None,weather,sing,yellow,21,352,212.1511476,None,None,212.1511476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.6584913,None,attack,silent,red,77,13,214.6662943,None,None,214.6662943,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.1769105,None,agreement,silent,red,65,5,217.1766665,None,None,217.1766665,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.6917789,None,agency,aloud,blue,40,4,219.6990707,None,None,219.6990707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.206764,None,course,aloud,blue,33,74,222.2024432,None,None,222.2024432,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.7223106,None,drink,aloud,blue,48,105,224.7236464,None,None,224.7236464,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.2395812,None,clear,sing,yellow,15,52,227.2398101,None,None,227.2398101,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.7546383,None,marriage,sing,yellow,2,179,229.7619846,None,None,229.7619846,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.2703064,None,impact,sing,yellow,6,157,232.2766398,None,None,232.2766398,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.7840018,None,color,silent,red,71,56,234.7916066,None,None,234.7916066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.3017482,None,whole,aloud,blue,39,355,237.30624,None,None,237.30624,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.8183767,None,voice,silent,red,76,348,239.8257761,None,None,239.8257761,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.3331412,None,comedy,silent,red,61,58,242.3384269,None,None,242.3384269,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.8440779,None,figure,aloud,blue,32,128,244.854128,None,None,244.854128,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.3655956,None,exchange,aloud,blue,51,121,247.3716918,None,None,247.3716918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.8802278,None,evidence,sing,yellow,24,120,249.8927645,None,None,249.8927645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.3956395,None,short,sing,yellow,18,285,252.4014766,None,None,252.4014766,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.9101675,None,second,aloud,blue,43,278,254.9171828,None,None,254.9171828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.4269531,None,scale,sing,yellow,19,272,257.4319214,None,None,257.4319214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
