StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,11.5769236,None,y,3.6651959,11.5769236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
,,,,,,,,,,,,,,ColoredTest,"['yellow', 'blue', 'red']",yellow,blue,red,15.2898969,None,space,308.1885918,15.2898969,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,15.2898969,None,15.2898969,None,15.2898969,None,326.0146988,None,instrument,silent,red,80,163,324.017649,None,None,324.017649,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.5318789,None,light,aloud,blue,42,171,326.5270339,None,None,326.5270339,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.0482109,None,evidence,sing,yellow,19,120,329.0503152,None,None,329.0503152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.5648576,None,beginning,silent,red,63,19,331.5712982,None,None,331.5712982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0807996,None,fight,sing,yellow,6,127,334.0792864,None,None,334.0792864,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.5984456,None,phrase,aloud,blue,34,220,336.5895506,None,None,336.5895506,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.1153317,None,death,silent,red,83,86,339.1128461,None,None,339.1128461,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.632275,None,bucket,sing,yellow,29,33,341.6377154,None,None,341.6377154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.1486193,None,service,aloud,blue,33,280,344.14665,None,None,344.14665,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.6687616,None,comedy,silent,red,72,58,346.6666619,None,None,346.6666619,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.182752,None,split,aloud,blue,52,299,349.1823099,None,None,349.1823099,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.6995571,None,prime,silent,red,75,235,351.6949892,None,None,351.6949892,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.2163825,None,guard,aloud,blue,43,145,354.2117408,None,None,354.2117408,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.7332059,None,foundation,silent,red,69,132,356.7333765,None,None,356.7333765,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.2502122,None,ground,aloud,blue,50,142,359.2478318,None,None,359.2478318,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.7671079,None,welcome,aloud,blue,57,354,361.7632927,None,None,361.7632927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.282568,None,employment,aloud,blue,48,111,364.2847512,None,None,364.2847512,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.8005546,None,entrance,silent,red,66,115,366.7981449,None,None,366.7981449,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.3172924,None,account,silent,red,73,1,369.3200147,None,None,369.3200147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
