StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,12.338573100045323,None,y,3.176184399984777,12.338573100045323,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color23,001,2021_Nov_10_1725,ProdSingRedo,3.2.3,60.06532707166387,
,,,,,,,,,,,,,,ColoredTest,"['red', 'blue', 'yellow']",red,blue,yellow,15.56089310022071,None,space,2038.0214447998442,15.56089310022071,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color23,001,2021_Nov_10_1725,ProdSingRedo,3.2.3,60.06532707166387,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,15.56089310022071,None,15.56089310022071,None,15.56089310022071,None,2056.1274836999364,None,court,silent,yellow,83,75,2054.118918000255,None,None,2054.118918000255,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color23,001,2021_Nov_10_1725,ProdSingRedo,3.2.3,60.06532707166387,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2058.6432608002797,None,session,sing,red,17,281,2056.639891100116,None,None,2056.639891100116,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color23,001,2021_Nov_10_1725,ProdSingRedo,3.2.3,60.06532707166387,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2061.159516700078,None,cousin,sing,red,22,76,2059.156894800253,None,None,2059.156894800253,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color23,001,2021_Nov_10_1725,ProdSingRedo,3.2.3,60.06532707166387,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2063.675267000217,None,expansion,silent,yellow,61,123,2061.6751096001826,None,None,2061.6751096001826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color23,001,2021_Nov_10_1725,ProdSingRedo,3.2.3,60.06532707166387,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2066.193043900188,None,concern,sing,red,25,65,2064.178135999944,None,None,2064.178135999944,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color23,001,2021_Nov_10_1725,ProdSingRedo,3.2.3,60.06532707166387,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2068.7100634002127,None,education,aloud,blue,52,108,2066.7092613000423,None,None,2066.7092613000423,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color23,001,2021_Nov_10_1725,ProdSingRedo,3.2.3,60.06532707166387,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2071.2267841002904,None,signal,silent,yellow,67,287,2069.227161699906,None,None,2069.227161699906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color23,001,2021_Nov_10_1725,ProdSingRedo,3.2.3,60.06532707166387,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2073.7436259002425,None,captain,aloud,blue,55,41,2071.744131000247,None,None,2071.744131000247,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color23,001,2021_Nov_10_1725,ProdSingRedo,3.2.3,60.06532707166387,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2076.259651500266,None,quick,sing,red,10,248,2074.2631421000697,None,None,2074.2631421000697,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color23,001,2021_Nov_10_1725,ProdSingRedo,3.2.3,60.06532707166387,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2078.7773965001106,None,south,aloud,blue,34,296,2076.772681000177,None,None,2076.772681000177,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color23,001,2021_Nov_10_1725,ProdSingRedo,3.2.3,60.06532707166387,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2081.2941482001916,None,hunger,silent,yellow,86,155,2079.2937402003445,None,None,2079.2937402003445,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color23,001,2021_Nov_10_1725,ProdSingRedo,3.2.3,60.06532707166387,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083.8113875999115,None,corner,silent,yellow,71,69,2081.805548599921,None,None,2081.805548599921,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color23,001,2021_Nov_10_1725,ProdSingRedo,3.2.3,60.06532707166387,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2086.3278296999633,None,addition,aloud,blue,31,2,2084.328428800218,None,None,2084.328428800218,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color23,001,2021_Nov_10_1725,ProdSingRedo,3.2.3,60.06532707166387,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2088.8447376000695,None,light,sing,red,28,171,2086.8296227003448,None,None,2086.8296227003448,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color23,001,2021_Nov_10_1725,ProdSingRedo,3.2.3,60.06532707166387,
