StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,27.39312329981476,None,y,2.7926220996305346,27.39312329981476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
,,,,,,,,,,,,,,ColoredTest,"['red', 'yellow', 'blue']",red,yellow,blue,30.259269599802792,None,space,977.532747999765,30.259269599802792,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,30.259269599802792,None,30.259269599802792,None,30.259269599802792,None,1010.3295247992501,None,addition,silent,blue,78,2,1008.3349827993661,None,None,1008.3349827993661,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012.8486701995134,None,private,aloud,yellow,55,237,1010.8495316999033,None,None,1010.8495316999033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015.3678409997374,None,trial,sing,red,17,341,1013.3605601992458,None,None,1013.3605601992458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.8870160998777,None,passage,silent,blue,88,212,1015.8861535992473,None,None,1015.8861535992473,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.4062349991873,None,question,sing,red,14,247,1018.4110040999949,None,None,1018.4110040999949,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022.9253345998004,None,emergency,sing,red,23,110,1020.9311501998454,None,None,1020.9311501998454,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.444618099369,None,month,silent,blue,62,193,1023.4341557994485,None,None,1023.4341557994485,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027.9637933997437,None,portion,silent,blue,85,228,1025.9577978998423,None,None,1025.9577978998423,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030.4828577991575,None,angle,silent,blue,80,7,1028.4824564000592,None,None,1028.4824564000592,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033.0021285992116,None,husband,silent,blue,77,156,1031.00602829922,None,None,1031.00602829922,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035.5212570996955,None,impact,sing,red,8,157,1033.5164669994265,None,None,1033.5164669994265,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1038.0404465999454,None,period,aloud,yellow,53,217,1036.0358960991725,None,None,1036.0358960991725,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040.5596806993708,None,produce,silent,blue,89,239,1038.556489999406,None,None,1038.556489999406,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043.0787577992305,None,build,silent,blue,61,35,1041.0753884995356,None,None,1041.0753884995356,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045.597976299934,None,subject,sing,red,28,312,1043.6089795995504,None,None,1043.6089795995504,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1048.1004689997062,None,suggestion,silent,blue,79,314,1046.0994713995606,None,None,1046.0994713995606,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.6197196999565,None,ground,aloud,yellow,56,142,1048.6170282000676,None,None,1048.6170282000676,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053.1388691999018,None,medicine,sing,red,16,186,1051.1289551993832,None,None,1051.1289551993832,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055.6580125996843,None,marriage,sing,red,5,179,1053.6545870993286,None,None,1053.6545870993286,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1058.1771930996329,None,quarter,sing,red,24,246,1056.174238000065,None,None,1056.174238000065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060.6797056999058,None,brilliant,silent,blue,87,30,1058.677314799279,None,None,1058.677314799279,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063.1989357993007,None,candidate,silent,blue,64,39,1061.1978158997372,None,None,1061.1978158997372,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1065.7181084994227,None,minor,aloud,yellow,54,191,1063.7073983000591,None,None,1063.7073983000591,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068.2372574992478,None,author,aloud,yellow,57,15,1066.230466099456,None,None,1066.230466099456,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070.7564408993348,None,surface,sing,red,19,316,1068.7537429993972,None,None,1068.7537429993972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1073.27562619932,None,power,sing,red,26,230,1071.271889699623,None,None,1071.271889699623,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075.7947527999058,None,colonel,silent,blue,65,55,1073.7864049999043,None,None,1073.7864049999043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color26,001,2022_Jan_27_1047,ProdSingRedo,3.2.3,59.9598389151794,
