StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,22.06915010139346,None,y,4.428479800000787,22.06915010139346,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color29,001,2022_Mar_03_1550,ProdSingRedo,3.2.3,59.890711879669034,
,,,,,,,,,,,,,,ColoredTest,"['blue', 'yellow', 'red']",blue,yellow,red,26.559271801263094,None,space,334.55385459959507,26.559271801263094,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color29,001,2022_Mar_03_1550,ProdSingRedo,3.2.3,59.890711879669034,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,26.559271801263094,None,26.559271801263094,None,26.559271801263094,None,363.66284660063684,None,silence,aloud,yellow,36,288,361.6666130013764,None,None,361.6666130013764,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color29,001,2022_Mar_03_1550,ProdSingRedo,3.2.3,59.890711879669034,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.1842017006129,None,straight,sing,blue,26,307,364.181488500908,None,None,364.181488500908,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color29,001,2022_Mar_03_1550,ProdSingRedo,3.2.3,59.890711879669034,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.70179340057075,None,science,aloud,yellow,33,275,366.69299679994583,None,None,366.69299679994583,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color29,001,2022_Mar_03_1550,ProdSingRedo,3.2.3,59.890711879669034,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.2210520002991,None,institute,silent,red,88,162,369.2172010000795,None,None,369.2172010000795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color29,001,2022_Mar_03_1550,ProdSingRedo,3.2.3,59.890711879669034,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.74017610028386,None,employment,sing,blue,22,111,371.7451051007956,None,None,371.7451051007956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color29,001,2022_Mar_03_1550,ProdSingRedo,3.2.3,59.890711879669034,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.25951760075986,None,religion,sing,blue,16,258,374.25779130123556,None,None,374.25779130123556,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color29,001,2022_Mar_03_1550,ProdSingRedo,3.2.3,59.890711879669034,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.77905590087175,None,alert,sing,blue,23,6,376.77127270027995,None,None,376.77127270027995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color29,001,2022_Mar_03_1550,ProdSingRedo,3.2.3,59.890711879669034,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.2980704009533,None,angle,sing,blue,7,7,379.2969284001738,None,None,379.2969284001738,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color29,001,2022_Mar_03_1550,ProdSingRedo,3.2.3,59.890711879669034,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.8161597009748,None,general,aloud,yellow,53,135,381.81506510078907,None,None,381.81506510078907,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color29,001,2022_Mar_03_1550,ProdSingRedo,3.2.3,59.890711879669034,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.33496400155127,None,trend,sing,blue,5,340,384.3291661012918,None,None,384.3291661012918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color29,001,2022_Mar_03_1550,ProdSingRedo,3.2.3,59.890711879669034,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.83851450122893,None,suspect,sing,blue,10,318,386.8367715012282,None,None,386.8367715012282,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color29,001,2022_Mar_03_1550,ProdSingRedo,3.2.3,59.890711879669034,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.3577431999147,None,drama,sing,blue,11,103,389.3536443002522,None,None,389.3536443002522,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color29,001,2022_Mar_03_1550,ProdSingRedo,3.2.3,59.890711879669034,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.8761927001178,None,poetry,aloud,yellow,35,225,391.8726892005652,None,None,391.8726892005652,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color29,001,2022_Mar_03_1550,ProdSingRedo,3.2.3,59.890711879669034,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.39615820162,None,committee,aloud,yellow,48,62,394.39383800141513,None,None,394.39383800141513,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color29,001,2022_Mar_03_1550,ProdSingRedo,3.2.3,59.890711879669034,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.91628900170326,None,crisis,silent,red,67,79,396.9080984015018,None,None,396.9080984015018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color29,001,2022_Mar_03_1550,ProdSingRedo,3.2.3,59.890711879669034,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.43452530167997,None,oxygen,sing,blue,25,209,399.43154000118375,None,None,399.43154000118375,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color29,001,2022_Mar_03_1550,ProdSingRedo,3.2.3,59.890711879669034,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.954442800954,None,welcome,silent,red,83,354,401.96022850088775,None,None,401.96022850088775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color29,001,2022_Mar_03_1550,ProdSingRedo,3.2.3,59.890711879669034,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.47301959991455,None,express,silent,red,80,124,404.4666593000293,None,None,404.4666593000293,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color29,001,2022_Mar_03_1550,ProdSingRedo,3.2.3,59.890711879669034,
