StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,keyCondition.keys,keyCondition.rt,Condition,stim_colors,color_sing,color_aloud,color_silent,keyWelcome.keys,keyWelcome.rt,study_word,study_type,study_color,study_num,study_word_num,keyStudy.keys,key_resp_3.keys,key_resp_3.rt,testWord,testType,testColor,testN,test_num,test_word_num,keyConf.keys,keyConf.rt,keyRKN.keys,keyRKN.rt,date,frameRate,expName,session,participant,
,,,,,,,,y,15.7667658,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,,,,,,,ColoredTest,"['yellow', 'red', 'blue']",yellow,red,blue,space,301.9940999,,,,,,,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
0,0,0,0,,,,,,,,,,,,,,stand,silent,blue,70,302,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
1,0,1,0,,,,,,,,,,,,,,enemy,aloud,red,59,113,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
2,0,2,0,,,,,,,,,,,,,,incident,silent,blue,75,158,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
3,0,3,0,,,,,,,,,,,,,,shape,silent,blue,63,282,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
4,0,4,0,,,,,,,,,,,,,,figure,sing,yellow,3,128,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
5,0,5,0,,,,,,,,,,,,,,empty,sing,yellow,14,112,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
6,0,6,0,,,,,,,,,,,,,,health,silent,blue,73,149,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
7,0,7,0,,,,,,,,,,,,,,equipment,sing,yellow,16,116,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
8,0,8,0,,,,,,,,,,,,,,native,aloud,red,30,199,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
9,0,9,0,,,,,,,,,,,,,,career,silent,blue,78,42,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
10,0,10,0,,,,,,,,,,,,,,education,aloud,red,54,108,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
11,0,11,0,,,,,,,,,,,,,,block,silent,blue,84,25,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
12,0,12,0,,,,,,,,,,,,,,territory,silent,blue,62,324,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
13,0,13,0,,,,,,,,,,,,,,private,silent,blue,87,237,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
14,0,14,0,,,,,,,,,,,,,,weather,silent,blue,77,352,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
15,0,15,0,,,,,,,,,,,,,,scale,sing,yellow,11,272,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
16,0,16,0,,,,,,,,,,,,,,military,silent,blue,89,190,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
17,0,17,0,,,,,,,,,,,,,,property,sing,yellow,9,242,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
18,0,18,0,,,,,,,,,,,,,,smell,aloud,red,47,291,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
19,0,19,0,,,,,,,,,,,,,,balance,sing,yellow,13,17,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
20,0,20,0,,,,,,,,,,,,,,nature,sing,yellow,6,200,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
21,0,21,0,,,,,,,,,,,,,,direction,aloud,red,41,94,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
22,0,22,0,,,,,,,,,,,,,,marriage,sing,yellow,24,179,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
23,0,23,0,,,,,,,,,,,,,,machinery,silent,blue,80,175,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
24,0,24,0,,,,,,,,,,,,,,sweet,sing,yellow,0,319,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
25,0,25,0,,,,,,,,,,,,,,nation,sing,yellow,28,198,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
26,0,26,0,,,,,,,,,,,,,,income,sing,yellow,19,159,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
27,0,27,0,,,,,,,,,,,,,,individual,aloud,red,37,160,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
28,0,28,0,,,,,,,,,,,,,,account,sing,yellow,4,1,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
29,0,29,0,,,,,,,,,,,,,,phrase,silent,blue,71,220,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
30,0,30,0,,,,,,,,,,,,,,broad,aloud,red,44,31,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
31,0,31,0,,,,,,,,,,,,,,blind,sing,yellow,1,24,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
32,0,32,0,,,,,,,,,,,,,,accident,sing,yellow,26,0,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
33,0,33,0,,,,,,,,,,,,,,point,sing,yellow,25,226,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
34,0,34,0,,,,,,,,,,,,,,grade,sing,yellow,10,140,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
35,0,35,0,,,,,,,,,,,,,,trend,silent,blue,61,340,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
36,0,36,0,,,,,,,,,,,,,,community,aloud,red,58,63,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
37,0,37,0,,,,,,,,,,,,,,sunset,aloud,red,49,315,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
38,0,38,0,,,,,,,,,,,,,,republic,aloud,red,56,260,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
39,0,39,0,,,,,,,,,,,,,,whole,aloud,red,39,355,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
40,0,40,0,,,,,,,,,,,,,,growth,sing,yellow,21,144,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
41,0,41,0,,,,,,,,,,,,,,concern,aloud,red,42,65,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
42,0,42,0,,,,,,,,,,,,,,atmosphere,silent,blue,81,12,None,,,,,,,,,,,,,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
