StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,13.80813707,None,y,1.982908556,13.80813707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color9a,1,2019_Dec_02_1616,ProdSingRedo,3.2.4,59.96180835
,,,,,,,,,,,,,,ColoredTest,"['red', 'yellow', 'blue']",red,yellow,blue,15.93962418,None,space,670.1706513,15.93962418,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color9a,1,2019_Dec_02_1616,ProdSingRedo,3.2.4,59.96180835
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,15.93962418,None,15.93962418,None,15.93962418,None,688.6460159,None,clean,sing,red,28,51,686.6453435,None,None,686.6453435,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color9a,1,2019_Dec_02_1616,ProdSingRedo,3.2.4,59.96180835
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,691.1633928,None,collection,aloud,yellow,44,54,689.1628094,None,None,689.1628094,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color9a,1,2019_Dec_02_1616,ProdSingRedo,3.2.4,59.96180835
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,693.6809069,None,right,sing,red,8,265,691.6802476,None,None,691.6802476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color9a,1,2019_Dec_02_1616,ProdSingRedo,3.2.4,59.96180835
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.1983417,None,engineer,silent,blue,73,114,694.1976582,None,None,694.1976582,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color9a,1,2019_Dec_02_1616,ProdSingRedo,3.2.4,59.96180835
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,698.7157743,None,income,sing,red,19,159,696.7151399,None,None,696.7151399,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color9a,1,2019_Dec_02_1616,ProdSingRedo,3.2.4,59.96180835
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,701.2332353,None,speech,aloud,yellow,37,298,699.2325756,None,None,699.2325756,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color9a,1,2019_Dec_02_1616,ProdSingRedo,3.2.4,59.96180835
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,703.750671,None,cross,aloud,yellow,47,80,701.7500154,None,None,701.7500154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color9a,1,2019_Dec_02_1616,ProdSingRedo,3.2.4,59.96180835
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,706.2681126,None,shock,silent,blue,70,284,704.267327,None,None,704.267327,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color9a,1,2019_Dec_02_1616,ProdSingRedo,3.2.4,59.96180835
