StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,18.252476199995726,None,y,1.1233394001610577,18.252476199995726,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
,,,,,,,,,,,,,,ColoredTest,"['yellow', 'red', 'blue']",yellow,red,blue,19.42145949997939,None,space,207.84789330000058,19.42145949997939,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,19.42145949997939,None,19.42145949997939,None,19.42145949997939,None,229.82033849996515,None,guide,aloud,red,48,147,227.80765390000306,None,None,227.80765390000306,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.335582499858,None,count,sing,yellow,28,72,230.33041809988208,None,None,230.33041809988208,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.85256409994327,None,music,silent,blue,89,196,232.84827449987642,None,None,232.84827449987642,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.36909940000623,None,shock,sing,yellow,6,284,235.36782529996708,None,None,235.36782529996708,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.88612139993347,None,frank,sing,yellow,1,133,237.8768428999465,None,None,237.8768428999465,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.4029647000134,None,concern,aloud,red,35,65,240.3949605000671,None,None,240.3949605000671,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.90237240004353,None,weather,aloud,red,32,352,242.9015440000221,None,None,242.9015440000221,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.41902739997022,None,clear,silent,blue,85,52,245.40984219987877,None,None,245.40984219987877,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color_57,001,2022_May_05_1331,ProdSingRedo,3.2.3,59.9239804316117,
