StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,keyCondition.keys,keyCondition.rt,Condition,stim_colors,color_sing,color_aloud,color_silent,keyWelcome.keys,keyWelcome.rt,study_word,study_type,study_color,study_num,study_word_num,keyStudy.keys,key_resp_3.keys,key_resp_3.rt,testWord,testType,testColor,testN,test_num,test_word_num,keyConf.keys,keyConf.rt,keyRKN.keys,keyRKN.rt,date,frameRate,expName,session,participant,
,,,,,,,,n,1.38207950001,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
,,,,,,,,,,NeutralTest,"['red', 'yellow', 'blue']",red,yellow,blue,space,237.7724803,,,,,,,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
0,0,0,0,,,,,,,,,,,,,,patient,silent,blue,82,213,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
1,0,1,0,,,,,,,,,,,,,,under,silent,blue,73,343,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
2,0,2,0,,,,,,,,,,,,,,column,sing,red,15,57,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
3,0,3,0,,,,,,,,,,,,,,benefit,silent,blue,72,20,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
4,0,4,0,,,,,,,,,,,,,,empty,sing,red,4,112,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
5,0,5,0,,,,,,,,,,,,,,mayor,silent,blue,87,183,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
6,0,6,0,,,,,,,,,,,,,,raise,silent,blue,88,250,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
7,0,7,0,,,,,,,,,,,,,,trash,silent,blue,78,337,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
8,0,8,0,,,,,,,,,,,,,,stand,sing,red,23,302,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
9,0,9,0,,,,,,,,,,,,,,message,silent,blue,64,189,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
10,0,10,0,,,,,,,,,,,,,,heavy,aloud,yellow,33,151,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
11,0,11,0,,,,,,,,,,,,,,speech,sing,red,24,298,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
12,0,12,0,,,,,,,,,,,,,,century,silent,blue,71,45,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
13,0,13,0,,,,,,,,,,,,,,vision,aloud,yellow,35,347,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
14,0,14,0,,,,,,,,,,,,,,trail,sing,red,5,336,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
15,0,15,0,,,,,,,,,,,,,,business,aloud,yellow,47,38,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
16,0,16,0,,,,,,,,,,,,,,education,aloud,yellow,36,108,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
17,0,17,0,,,,,,,,,,,,,,dream,sing,red,17,104,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
18,0,18,0,,,,,,,,,,,,,,principal,sing,red,28,236,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
19,0,19,0,,,,,,,,,,,,,,tennis,aloud,yellow,56,323,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
20,0,20,0,,,,,,,,,,,,,,congress,sing,red,10,67,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
21,0,21,0,,,,,,,,,,,,,,orchestra,silent,blue,61,206,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
22,0,22,0,,,,,,,,,,,,,,curve,silent,blue,81,82,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
23,0,23,0,,,,,,,,,,,,,,victory,aloud,yellow,32,346,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
24,0,24,0,,,,,,,,,,,,,,grade,aloud,yellow,37,140,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
25,0,25,0,,,,,,,,,,,,,,instrument,sing,red,0,163,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
26,0,26,0,,,,,,,,,,,,,,thing,sing,red,25,328,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
27,0,27,0,,,,,,,,,,,,,,produce,aloud,yellow,44,239,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
28,0,28,0,,,,,,,,,,,,,,evidence,sing,red,22,120,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
29,0,29,0,,,,,,,,,,,,,,sleep,sing,red,21,290,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
30,0,30,0,,,,,,,,,,,,,,partner,silent,blue,77,211,None,,,,,,,,,,,,,2019_Dec_05_1627,59.97422312,ProdSingRedo,001,nc12,
