StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.636610300280154,None,n,2.542943499982357,11.636610300280154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nc24,001,2021_Nov_10_1659,ProdSingRedo,3.2.3,59.93382105927242,
,,,,,,,,,,,,,,NeutralTest,"['red', 'blue', 'yellow']",red,blue,yellow,14.246371200308204,None,space,273.2610464999452,14.246371200308204,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nc24,001,2021_Nov_10_1659,ProdSingRedo,3.2.3,59.93382105927242,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,14.246371200308204,None,14.246371200308204,None,14.246371200308204,None,290.04447680013254,None,search,silent,yellow,72,276,288.0469749001786,None,None,288.0469749001786,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nc24,001,2021_Nov_10_1659,ProdSingRedo,3.2.3,59.93382105927242,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.5622724001296,None,goose,aloud,blue,41,138,290.56227700039744,None,None,290.56227700039744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nc24,001,2021_Nov_10_1659,ProdSingRedo,3.2.3,59.93382105927242,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.0791704002768,None,rapid,aloud,blue,53,252,293.0746348001994,None,None,293.0746348001994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nc24,001,2021_Nov_10_1659,ProdSingRedo,3.2.3,59.93382105927242,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.5950718000531,None,sunset,sing,red,2,315,295.59577270038426,None,None,295.59577270038426,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nc24,001,2021_Nov_10_1659,ProdSingRedo,3.2.3,59.93382105927242,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.1129054003395,None,character,silent,yellow,74,46,298.1074686003849,None,None,298.1074686003849,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nc24,001,2021_Nov_10_1659,ProdSingRedo,3.2.3,59.93382105927242,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.6298794001341,None,broad,aloud,blue,48,31,300.6360512999818,None,None,300.6360512999818,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nc24,001,2021_Nov_10_1659,ProdSingRedo,3.2.3,59.93382105927242,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.1465386003256,None,poetry,aloud,blue,58,225,303.14925320027396,None,None,303.14925320027396,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nc24,001,2021_Nov_10_1659,ProdSingRedo,3.2.3,59.93382105927242,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.66249220026657,None,dispute,silent,yellow,85,99,305.6600816003047,None,None,305.6600816003047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nc24,001,2021_Nov_10_1659,ProdSingRedo,3.2.3,59.93382105927242,
