StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,30.754394399933517,None,c,1.303902800194919,30.754394399933517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102Sing,001,2022_Nov_28_1413,ProdSingRedoBetween,2021.2.3,59.97832373857181,
,,,,,,,,,,,,,,SingTest,32.10349090024829,None,space,2756.110086599365,32.10349090024829,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102Sing,001,2022_Nov_28_1413,ProdSingRedoBetween,2021.2.3,59.97832373857181,
0,0,0,0,,,,,,,,,,,,,,,,,,32.10349090024829,None,32.10349090024829,None,32.10349090024829,None,32.10349090024829,None,2790.751436999999,None,income,82,1,sing,red,2788.744421799667,None,None,2788.744421799667,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102Sing,001,2022_Nov_28_1413,ProdSingRedoBetween,2021.2.3,59.97832373857181,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,2793.270406600088,None,military,6,2,sing,yellow,2791.2553107999265,None,None,2791.2553107999265,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102Sing,001,2022_Nov_28_1413,ProdSingRedoBetween,2021.2.3,59.97832373857181,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,2795.7731571998447,None,budget,26,3,sing,yellow,2793.7711456995457,None,None,2793.7711456995457,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102Sing,001,2022_Nov_28_1413,ProdSingRedoBetween,2021.2.3,59.97832373857181,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,2798.275700999424,None,touch,32,4,sing,blue,2796.273493600078,None,None,2796.273493600078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102Sing,001,2022_Nov_28_1413,ProdSingRedoBetween,2021.2.3,59.97832373857181,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,2800.7779931994155,None,scene,5,5,sing,yellow,2798.7768288999796,None,None,2798.7768288999796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102Sing,001,2022_Nov_28_1413,ProdSingRedoBetween,2021.2.3,59.97832373857181,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,2803.280684299767,None,finance,53,6,sing,blue,2801.2800770998,None,None,2801.2800770998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102Sing,001,2022_Nov_28_1413,ProdSingRedoBetween,2021.2.3,59.97832373857181,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,2805.7830833001062,None,problem,22,7,sing,yellow,2803.7816337998956,None,None,2803.7816337998956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102Sing,001,2022_Nov_28_1413,ProdSingRedoBetween,2021.2.3,59.97832373857181,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,2808.302322600037,None,phrase,73,8,sing,red,2806.2878721999004,None,None,2806.2878721999004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102Sing,001,2022_Nov_28_1413,ProdSingRedoBetween,2021.2.3,59.97832373857181,
