StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,18.344156100414693,None,a,0.3979815999045968,18.344156100414693,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103Silent,001,2022_Nov_28_1535,ProdSingRedoBetween,2021.2.3,59.895912912760174,
,,,,,,,,,,,,,,SilentTest,18.794244600459933,None,space,843.3461450999603,18.794244600459933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103Silent,001,2022_Nov_28_1535,ProdSingRedoBetween,2021.2.3,59.895912912760174,
0,0,0,0,,,,,,,,,,,,,,,,,,18.794244600459933,None,18.794244600459933,None,18.794244600459933,None,18.794244600459933,None,864.6880133999512,None,column,39,1,silent,blue,862.6736161001027,None,None,862.6736161001027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103Silent,001,2022_Nov_28_1535,ProdSingRedoBetween,2021.2.3,59.895912912760174,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,867.2070668004453,None,native,51,2,silent,blue,865.1967513002455,None,None,865.1967513002455,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103Silent,001,2022_Nov_28_1535,ProdSingRedoBetween,2021.2.3,59.895912912760174,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,869.7095744004473,None,industry,65,3,silent,red,867.7076280005276,None,None,867.7076280005276,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103Silent,001,2022_Nov_28_1535,ProdSingRedoBetween,2021.2.3,59.895912912760174,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,872.2288244999945,None,crime,61,4,silent,red,870.2179973004386,None,None,870.2179973004386,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103Silent,001,2022_Nov_28_1535,ProdSingRedoBetween,2021.2.3,59.895912912760174,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,874.7313898000866,None,detective,42,5,silent,blue,872.7306558005512,None,None,872.7306558005512,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103Silent,001,2022_Nov_28_1535,ProdSingRedoBetween,2021.2.3,59.895912912760174,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,877.25023279991,None,pressure,1,6,silent,yellow,875.2366821002215,None,None,875.2366821002215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103Silent,001,2022_Nov_28_1535,ProdSingRedoBetween,2021.2.3,59.895912912760174,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,879.7699353005737,None,evidence,81,7,silent,red,877.7567851003259,None,None,877.7567851003259,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103Silent,001,2022_Nov_28_1535,ProdSingRedoBetween,2021.2.3,59.895912912760174,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,882.2888377001509,None,escape,3,8,silent,yellow,880.2735421005636,None,None,880.2735421005636,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103Silent,001,2022_Nov_28_1535,ProdSingRedoBetween,2021.2.3,59.895912912760174,
