StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,223.4443822996691,None,a,147.90077069960535,223.4443822996691,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109 silent,001,2022_Nov_29_1227,ProdSingRedoBetween,2021.2.3,60.01381510378277,
,,,,,,,,,,,,,,SilentTest,371.3873761994764,None,space,5.825202199630439,371.3873761994764,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109 silent,001,2022_Nov_29_1227,ProdSingRedoBetween,2021.2.3,60.01381510378277,
0,0,0,0,,,,,,,,,,,,,,,,,,371.3873761994764,None,371.3873761994764,None,371.3873761994764,None,371.3873761994764,None,379.7390707992017,None,close,3,1,silent,yellow,377.73857949953526,None,None,377.73857949953526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109 silent,001,2022_Nov_29_1227,ProdSingRedoBetween,2021.2.3,60.01381510378277,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,382.2410404998809,None,beauty,44,2,silent,blue,380.24072899948806,None,None,380.24072899948806,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109 silent,001,2022_Nov_29_1227,ProdSingRedoBetween,2021.2.3,60.01381510378277,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,384.74410619959235,None,carry,36,3,silent,blue,382.74405719991773,None,None,382.74405719991773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109 silent,001,2022_Nov_29_1227,ProdSingRedoBetween,2021.2.3,60.01381510378277,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,387.2628194000572,None,crowd,47,4,silent,blue,385.24733429960907,None,None,385.24733429960907,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109 silent,001,2022_Nov_29_1227,ProdSingRedoBetween,2021.2.3,60.01381510378277,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,389.78175489977,None,crisis,80,5,silent,red,387.7810260998085,None,None,387.7810260998085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109 silent,001,2022_Nov_29_1227,ProdSingRedoBetween,2021.2.3,60.01381510378277,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,392.2845659991726,None,grade,19,6,silent,yellow,390.28197199944407,None,None,390.28197199944407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109 silent,001,2022_Nov_29_1227,ProdSingRedoBetween,2021.2.3,60.01381510378277,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,394.78707579988986,None,guard,33,7,silent,blue,392.78740879986435,None,None,392.78740879986435,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109 silent,001,2022_Nov_29_1227,ProdSingRedoBetween,2021.2.3,60.01381510378277,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,397.30631319992244,None,gesture,46,8,silent,blue,395.2910252995789,None,None,395.2910252995789,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109 silent,001,2022_Nov_29_1227,ProdSingRedoBetween,2021.2.3,60.01381510378277,
