StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,25.925144999999986,None,b,2.2658989000000247,25.925144999999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 Aloud,001,2022_Dec_01_0959,ProdSingRedoBetween,2021.2.3,59.907754040325955,
,,,,,,,,,,,,,,AloudTest,28.255883600000004,None,space,231.8953546,28.255883600000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 Aloud,001,2022_Dec_01_0959,ProdSingRedoBetween,2021.2.3,59.907754040325955,
0,0,0,0,,,,,,,,,,,,,,,,,,28.255883600000004,None,28.255883600000004,None,28.255883600000004,None,28.255883600000004,None,262.688757,None,broad,50,1,aloud,blue,260.6850376,None,None,260.6850376,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 Aloud,001,2022_Dec_01_0959,ProdSingRedoBetween,2021.2.3,59.907754040325955,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,265.19080859999997,None,route,10,2,aloud,yellow,263.1914826,None,None,263.1914826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 Aloud,001,2022_Dec_01_0959,ProdSingRedoBetween,2021.2.3,59.907754040325955,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,267.710501,None,match,21,3,aloud,yellow,265.6991818,None,None,265.6991818,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 Aloud,001,2022_Dec_01_0959,ProdSingRedoBetween,2021.2.3,59.907754040325955,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,270.22945230000005,None,primary,87,4,aloud,red,268.2172316,None,None,268.2172316,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 Aloud,001,2022_Dec_01_0959,ProdSingRedoBetween,2021.2.3,59.907754040325955,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,272.7488016,None,machinery,81,5,aloud,red,270.7415099,None,None,270.7415099,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 Aloud,001,2022_Dec_01_0959,ProdSingRedoBetween,2021.2.3,59.907754040325955,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,275.2512289,None,damage,23,6,aloud,yellow,273.24924639999995,None,None,273.24924639999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 Aloud,001,2022_Dec_01_0959,ProdSingRedoBetween,2021.2.3,59.907754040325955,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,277.7536493,None,empty,35,7,aloud,blue,275.7536235,None,None,275.7536235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 Aloud,001,2022_Dec_01_0959,ProdSingRedoBetween,2021.2.3,59.907754040325955,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,280.2730854,None,provision,16,8,aloud,yellow,278.27400079999995,None,None,278.27400079999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 Aloud,001,2022_Dec_01_0959,ProdSingRedoBetween,2021.2.3,59.907754040325955,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,282.7753837,None,period,5,9,aloud,yellow,280.7732665,None,None,280.7732665,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 Aloud,001,2022_Dec_01_0959,ProdSingRedoBetween,2021.2.3,59.907754040325955,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,285.2947759,None,piece,84,10,aloud,red,283.28395639999997,None,None,283.28395639999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 Aloud,001,2022_Dec_01_0959,ProdSingRedoBetween,2021.2.3,59.907754040325955,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,287.81393019999996,None,measure,88,11,aloud,red,285.80125410000005,None,None,285.80125410000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 Aloud,001,2022_Dec_01_0959,ProdSingRedoBetween,2021.2.3,59.907754040325955,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,290.3330648,None,close,18,12,aloud,yellow,288.3186078,None,None,288.3186078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 Aloud,001,2022_Dec_01_0959,ProdSingRedoBetween,2021.2.3,59.907754040325955,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,292.8520068,None,dozen,83,13,aloud,red,290.83666059999996,None,None,290.83666059999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 Aloud,001,2022_Dec_01_0959,ProdSingRedoBetween,2021.2.3,59.907754040325955,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,295.37379769999995,None,corner,60,14,aloud,red,293.3570783,None,None,293.3570783,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 Aloud,001,2022_Dec_01_0959,ProdSingRedoBetween,2021.2.3,59.907754040325955,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,297.87396620000004,None,crime,33,15,aloud,blue,295.87168310000004,None,None,295.87168310000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 Aloud,001,2022_Dec_01_0959,ProdSingRedoBetween,2021.2.3,59.907754040325955,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,300.3932245,None,country,36,16,aloud,blue,298.38296119999995,None,None,298.38296119999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 Aloud,001,2022_Dec_01_0959,ProdSingRedoBetween,2021.2.3,59.907754040325955,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,302.89562950000004,None,present,80,17,aloud,red,300.89625020000005,None,None,300.89625020000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 Aloud,001,2022_Dec_01_0959,ProdSingRedoBetween,2021.2.3,59.907754040325955,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,305.4148417,None,society,26,18,aloud,yellow,303.4020822,None,None,303.4020822,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 Aloud,001,2022_Dec_01_0959,ProdSingRedoBetween,2021.2.3,59.907754040325955,
