StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.30786480000006,None,c,1.8330518000002485,16.30786480000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114 sing,001,2022_Dec_01_1200,ProdSingRedoBetween,2021.2.3,59.94143721585849,
,,,,,,,,,,,,,,SingTest,18.19091380000009,None,space,272.3654402000002,18.19091380000009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114 sing,001,2022_Dec_01_1200,ProdSingRedoBetween,2021.2.3,59.94143721585849,
0,0,0,0,,,,,,,,,,,,,,,,,,18.19091380000009,None,18.19091380000009,None,18.19091380000009,None,18.19091380000009,None,293.0945502000004,None,minute,4,1,sing,yellow,291.0804947000006,None,None,291.0804947000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114 sing,001,2022_Dec_01_1200,ProdSingRedoBetween,2021.2.3,59.94143721585849,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,295.59470990000045,None,stand,37,2,sing,blue,293.5933706000005,None,None,293.5933706000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114 sing,001,2022_Dec_01_1200,ProdSingRedoBetween,2021.2.3,59.94143721585849,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,298.0972470000006,None,throw,71,3,sing,red,296.0972511,None,None,296.0972511,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114 sing,001,2022_Dec_01_1200,ProdSingRedoBetween,2021.2.3,59.94143721585849,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,300.61637190000056,None,scale,14,4,sing,yellow,298.6098455000001,None,None,298.6098455000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114 sing,001,2022_Dec_01_1200,ProdSingRedoBetween,2021.2.3,59.94143721585849,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,303.13516720000007,None,suggestion,60,5,sing,red,301.11989820000053,None,None,301.11989820000053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114 sing,001,2022_Dec_01_1200,ProdSingRedoBetween,2021.2.3,59.94143721585849,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,305.6544463,None,vision,81,6,sing,red,303.63906120000047,None,None,303.63906120000047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114 sing,001,2022_Dec_01_1200,ProdSingRedoBetween,2021.2.3,59.94143721585849,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,308.15701700000045,None,enemy,18,7,sing,yellow,306.15578410000035,None,None,306.15578410000035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114 sing,001,2022_Dec_01_1200,ProdSingRedoBetween,2021.2.3,59.94143721585849,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,310.6595500000003,None,interior,87,8,sing,red,308.65856090000034,None,None,308.65856090000034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114 sing,001,2022_Dec_01_1200,ProdSingRedoBetween,2021.2.3,59.94143721585849,
