StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.60530110000036,None,a,1.293363999999201,14.60530110000036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115 silent,001,2022_Dec_01_1228,ProdSingRedoBetween,2021.2.3,59.87457474093426,
,,,,,,,,,,,,,,SilentTest,15.944991700000173,None,space,229.67362039999898,15.944991700000173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115 silent,001,2022_Dec_01_1228,ProdSingRedoBetween,2021.2.3,59.87457474093426,
0,0,0,0,,,,,,,,,,,,,,,,,,15.944991700000173,None,15.944991700000173,None,15.944991700000173,None,15.944991700000173,None,248.13684210000065,None,department,3,1,silent,yellow,246.13668210000105,None,None,246.13668210000105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115 silent,001,2022_Dec_01_1228,ProdSingRedoBetween,2021.2.3,59.87457474093426,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,250.6396789999999,None,community,39,2,silent,blue,248.64026000000013,None,None,248.64026000000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115 silent,001,2022_Dec_01_1228,ProdSingRedoBetween,2021.2.3,59.87457474093426,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,253.14193859999978,None,fashion,41,3,silent,blue,251.14175960000102,None,None,251.14175960000102,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115 silent,001,2022_Dec_01_1228,ProdSingRedoBetween,2021.2.3,59.87457474093426,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,255.644150600001,None,tennis,11,4,silent,yellow,253.64461680000022,None,None,253.64461680000022,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115 silent,001,2022_Dec_01_1228,ProdSingRedoBetween,2021.2.3,59.87457474093426,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,258.14748860000145,None,owner,21,5,silent,yellow,256.1474460999998,None,None,256.1474460999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115 silent,001,2022_Dec_01_1228,ProdSingRedoBetween,2021.2.3,59.87457474093426,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,260.6661942999999,None,concern,75,6,silent,red,258.65089120000084,None,None,258.65089120000084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115 silent,001,2022_Dec_01_1228,ProdSingRedoBetween,2021.2.3,59.87457474093426,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,263.1853045000007,None,danger,65,7,silent,red,261.1744931000012,None,None,261.1744931000012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115 silent,001,2022_Dec_01_1228,ProdSingRedoBetween,2021.2.3,59.87457474093426,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,265.7047899999998,None,majority,37,8,silent,blue,263.7058979000012,None,None,263.7058979000012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115 silent,001,2022_Dec_01_1228,ProdSingRedoBetween,2021.2.3,59.87457474093426,
