StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.rt,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,15.196303099999568,None,b,423.84148490000007,15.196303099999568,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
,,,,,,,,,,,,,,AloudTest,439.08931219999977,None,space,214.36751509999885,439.08931219999977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
0,0,0,0,,,,,,,,,,,,,,,,,,439.08931219999977,None,439.08931219999977,None,439.08931219999977,None,439.08931219999977,None,655.9828825999994,None,birth,76,1,aloud,red,653.9833227999989,None,space,1.5374167999998463,653.9833227999989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,658.4852916,None,travel,61,2,aloud,red,656.4854381999994,None,None,,656.4854381999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,660.9877512999992,None,crowd,70,3,aloud,red,658.9882562999992,None,None,,658.9882562999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,663.4904795000002,None,member,14,4,aloud,yellow,661.489102399999,None,None,,661.489102399999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,665.9935743999995,None,accident,40,5,aloud,blue,663.9921111000003,None,None,,663.9921111000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,668.4956315,None,thick,15,6,aloud,yellow,666.4957033999999,None,None,,666.4957033999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,671.0148078000002,None,comfort,86,7,aloud,red,669.0021015999992,None,None,,669.0021015999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,673.5175438000006,None,running,55,8,aloud,blue,671.5169791999997,None,None,,671.5169791999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,676.0196994999988,None,republic,77,9,aloud,red,674.0201354000001,None,None,,674.0201354000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,678.5226180999998,None,display,49,10,aloud,blue,676.5220169999993,None,None,,676.5220169999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,681.0244318000005,None,pattern,20,11,aloud,yellow,679.0253909999992,None,None,,679.0253909999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,683.528637899999,None,detective,8,12,aloud,yellow,681.5265146999991,None,None,,681.5265146999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,686.0459945999992,None,style,82,13,aloud,red,684.0448006999995,None,None,,684.0448006999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,688.5494161999995,None,welcome,56,14,aloud,blue,686.5490236999995,None,None,,686.5490236999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,691.0514896999994,None,carry,66,15,aloud,red,689.0520976999996,None,None,,689.0520976999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,693.554180699999,None,route,3,16,aloud,yellow,691.5536824999999,None,None,,691.5536824999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,696.0730654999988,None,region,85,17,aloud,red,694.0593627999988,None,None,,694.0593627999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,698.5766955999989,None,watch,24,18,aloud,yellow,696.574582199999,None,None,,696.574582199999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,701.0780827999988,None,clean,9,19,aloud,yellow,699.0791337999999,None,None,,699.0791337999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,703.5806573999998,None,impact,74,20,aloud,red,701.5809441999991,None,None,,701.5809441999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,706.0831037999997,None,cross,58,21,aloud,blue,704.0832511999997,None,None,,704.0832511999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,708.5857212999999,None,heavy,30,22,aloud,blue,706.5860058999988,None,None,,706.5860058999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,711.0879977999994,None,afternoon,37,23,aloud,blue,709.0881964,None,None,,709.0881964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,713.6073488999991,None,majority,29,24,aloud,blue,711.5993990999996,None,None,,711.5993990999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,716.1262903999996,None,measure,7,25,aloud,yellow,714.1122804999995,None,None,,714.1122804999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,718.6289393999996,None,charter,2,26,aloud,yellow,716.6271078999998,None,None,,716.6271078999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,721.131464099999,None,group,52,27,aloud,blue,719.1311571000006,None,None,,719.1311571000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,723.6339912999993,None,sunset,69,28,aloud,red,721.6342824000003,None,None,,721.6342824000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,726.1365855999993,None,disease,48,29,aloud,blue,724.1366051000005,None,None,,724.1366051000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,728.6555922999996,None,answer,78,30,aloud,red,726.6414107,None,None,,726.6414107,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,731.175103399999,None,addition,16,31,aloud,yellow,729.1597027999996,None,None,,729.1597027999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,733.6774714999992,None,cover,27,32,aloud,yellow,731.674991599999,None,None,,731.674991599999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,736.1800459000006,None,right,25,33,aloud,yellow,734.1785402999994,None,None,,734.1785402999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,738.6825948999995,None,portion,47,34,aloud,blue,736.6827973999989,None,None,,736.6827973999989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,741.201556,None,express,43,35,aloud,blue,739.1868364999991,None,None,,739.1868364999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,743.7186416000004,None,brief,50,36,aloud,blue,741.702441899999,None,None,,741.702441899999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,746.2232590999993,None,husband,17,37,aloud,yellow,744.2079892000002,None,None,,744.2079892000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116 aloud,001,2022_Dec_01_1247,ProdSingRedoBetween,2021.2.3,59.936335624028885,
