StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,33.26812349999818,None,a,3.7768295999994734,33.26812349999818,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
,,,,,,,,,,,,,,SilentTest,37.098485799997434,None,space,209.61832629999844,37.098485799997434,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
0,0,0,0,,,,,,,,,,,,,,,,,,37.098485799997434,None,37.098485799997434,None,37.098485799997434,None,37.098485799997434,None,249.2617470999976,None,period,20,1,silent,yellow,247.25135930000033,None,None,247.25135930000033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,251.78168430000005,None,council,5,2,silent,yellow,249.76645999999892,None,None,249.76645999999892,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,254.2839787999983,None,property,66,3,silent,red,252.28501569999935,None,None,252.28501569999935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,256.78652819999843,None,fashion,55,4,silent,blue,254.78700169999865,None,None,254.78700169999865,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,259.3057762999997,None,beauty,65,5,silent,red,257.2905677999988,None,None,257.2905677999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,261.8264743,None,listen,29,6,silent,blue,259.8096951999978,None,None,259.8096951999978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,264.3441958000003,None,department,17,7,silent,yellow,262.334991599997,None,None,262.334991599997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,266.8466064999993,None,bureau,46,8,silent,blue,264.8443503999988,None,None,264.8443503999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,269.3655962999983,None,symbol,22,9,silent,yellow,267.3506094999975,None,None,267.3506094999975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,271.8683146000003,None,surprise,23,10,silent,yellow,269.8666538999969,None,None,269.8666538999969,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,274.38740159999725,None,title,32,11,silent,blue,272.37332949999836,None,None,272.37332949999836,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,276.891113499998,None,impact,67,12,silent,red,274.8878908999977,None,None,274.8878908999977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,279.4087124999969,None,distance,4,13,silent,yellow,277.3935332000001,None,None,277.3935332000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,281.92829079999865,None,provision,49,14,silent,blue,279.92006489999767,None,None,279.92006489999767,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,284.4307399999998,None,suspect,36,15,silent,blue,282.4305121999969,None,None,282.4305121999969,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,286.9499670999976,None,expansion,44,16,silent,blue,284.94362799999726,None,None,284.94362799999726,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,289.4692228999993,None,executive,53,17,silent,blue,287.4571677999993,None,None,287.4571677999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,291.98837569999887,None,native,6,18,silent,yellow,289.97408469999937,None,None,289.97408469999937,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,294.50750199999675,None,household,83,19,silent,red,292.4965959999972,None,None,292.4965959999972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,297.0099844999968,None,silence,37,20,silent,blue,295.0092420000001,None,None,295.0092420000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,299.51255749999837,None,contract,10,21,silent,yellow,297.51172849999784,None,None,297.51172849999784,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,302.03168209999785,None,century,79,22,silent,red,300.02110639999955,None,None,300.02110639999955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,304.53429349999715,None,union,21,23,silent,yellow,302.53219669999817,None,None,302.53219669999817,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,307.05350929999986,None,broke,24,24,silent,yellow,305.0386007999987,None,None,305.0386007999987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,309.55550369999764,None,search,60,25,silent,red,307.55532019999737,None,None,307.55532019999737,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,312.07498940000005,None,threat,18,26,silent,yellow,310.06395789999806,None,None,310.06395789999806,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,314.5942963999987,None,trash,69,27,silent,red,312.5847861999973,None,None,312.5847861999973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Silent,001,2022_Dec_01_1533,ProdSingRedoBetween,2021.2.3,59.93069614289097,
