StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,keyStudy.rt,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.12480869999854,None,b,5.435941200001253,20.12480869999854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,,,,,,,,,,,AloudTest,25.616610299999593,None,space,347.46442430000025,25.616610299999593,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
0,0,0,0,,,,,,,,,,,,,,,,,,25.616610299999593,None,25.616610299999593,None,25.616610299999593,None,25.616610299999593,None,375.62316649999775,None,guard,40,1,aloud,blue,373.6108701999983,None,None,373.6108701999983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,378.1258381999978,None,finish,2,2,aloud,yellow,376.1263207999982,None,space,376.1263207999982,None,0.8348353000001225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,380.6448440999993,None,committee,54,3,aloud,blue,378.63416470000084,None,space,378.63416470000084,None,1.2551545999995142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,383.14756599999964,None,general,86,4,aloud,red,381.14533329999904,None,None,381.14533329999904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,385.649987599998,None,blind,29,5,aloud,blue,383.6491532,None,None,383.6491532,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,388.16918670000086,None,sunset,38,6,aloud,blue,386.15386020000005,None,None,386.15386020000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,390.68835949999993,None,childhood,75,7,aloud,red,388.67907919999925,None,None,388.67907919999925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,393.2072896999998,None,gesture,42,8,aloud,blue,391.19905359999757,None,None,391.19905359999757,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,395.71009720000075,None,household,52,9,aloud,blue,393.7093103999978,None,None,393.7093103999978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,398.21261009999944,None,period,77,10,aloud,red,396.2128221999992,None,None,396.2128221999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,400.71506039999804,None,history,71,11,aloud,red,398.7156185999993,None,None,398.7156185999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,403.2175525999992,None,murder,68,12,aloud,red,401.2162983999988,None,None,401.2162983999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,405.73676390000037,None,detective,5,13,aloud,yellow,403.72442220000084,None,None,403.72442220000084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,408.23936409999806,None,build,72,14,aloud,red,406.2369269999981,None,None,406.2369269999981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,410.75840529999914,None,congress,44,15,aloud,blue,408.7489156999982,None,None,408.7489156999982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,413.2610461999975,None,escape,84,16,aloud,red,411.25894889999836,None,None,411.25894889999836,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,415.7634395999994,None,problem,61,17,aloud,red,413.76427390000026,None,None,413.76427390000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,418.28271139999924,None,track,53,18,aloud,blue,416.2684401000006,None,None,416.2684401000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,420.8018943999996,None,primary,39,19,aloud,blue,418.78667779999887,None,None,418.78667779999887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
