StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,20.3657075,None,c,34.5510531,20.3657075,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Sing3,123,2022_Dec_02_1529,ProdSingRedoBetween,2021.2.3,59.92082063
,,,,,,,,,,,,,,SingTest,54.9838794,None,space,6.8925396,54.9838794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Sing3,123,2022_Dec_02_1529,ProdSingRedoBetween,2021.2.3,59.92082063
0,0,0,0,,,,,,,,,,,,,,,,,,54.9838794,None,54.9838794,None,54.9838794,None,54.9838794,None,64.4407452,None,cross,9,1,sing,yellow,62.4351652,None,None,62.4351652,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Sing3,123,2022_Dec_02_1529,ProdSingRedoBetween,2021.2.3,59.92082063
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,66.9574998,None,direction,10,2,sing,yellow,64.9442509,None,None,64.9442509,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Sing3,123,2022_Dec_02_1529,ProdSingRedoBetween,2021.2.3,59.92082063
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,69.4601336,None,weather,68,3,sing,red,67.4608822,None,None,67.4608822,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Sing3,123,2022_Dec_02_1529,ProdSingRedoBetween,2021.2.3,59.92082063
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,71.9792711,None,poetry,30,4,sing,blue,69.9669995,None,None,69.9669995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Sing3,123,2022_Dec_02_1529,ProdSingRedoBetween,2021.2.3,59.92082063
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,74.4984457,None,platform,34,5,sing,blue,72.4883801,None,None,72.4883801,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Sing3,123,2022_Dec_02_1529,ProdSingRedoBetween,2021.2.3,59.92082063
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,77.0175739,None,second,69,6,sing,red,75.0025233,None,None,75.0025233,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Sing3,123,2022_Dec_02_1529,ProdSingRedoBetween,2021.2.3,59.92082063
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,79.5367884,None,subject,51,7,sing,blue,77.5236172,None,None,77.5236172,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Sing3,123,2022_Dec_02_1529,ProdSingRedoBetween,2021.2.3,59.92082063
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,82.0559856,None,property,23,8,sing,yellow,80.0477736,None,None,80.0477736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Sing3,123,2022_Dec_02_1529,ProdSingRedoBetween,2021.2.3,59.92082063
