StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,28.5407739,None,a,144.1251189,28.5407739,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
,,,,,,,,,,,,,,SilentTest,172.7125266,None,space,7.7052145,172.7125266,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
0,0,0,0,,,,,,,,,,,,,,,,,,172.7125266,None,172.7125266,None,172.7125266,None,172.7125266,None,182.9668042,None,passage,49,1,silent,blue,180.9522806,None,None,180.9522806,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,185.4860103,None,victory,66,2,silent,red,183.477317,None,None,183.477317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,187.9885022,None,cover,57,3,silent,blue,185.9893361,None,None,185.9893361,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,190.4910122,None,angle,0,4,silent,yellow,188.4890077,None,None,188.4890077,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,192.9935224,None,state,84,5,silent,red,190.993214,None,None,190.993214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,195.5127106,None,incident,28,6,silent,yellow,193.4979884,None,None,193.4979884,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,198.0151787,None,addition,74,7,silent,red,196.013179,None,None,196.013179,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,200.5176825,None,rapid,83,8,silent,red,198.5174593,None,None,198.5174593,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,203.020177,None,income,47,9,silent,blue,201.0181466,None,None,201.0181466,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,205.5394129,None,guide,9,10,silent,yellow,203.5284344,None,None,203.5284344,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,208.0586378,None,property,72,11,silent,red,206.050211,None,None,206.050211,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,210.5611032,None,murder,81,12,silent,red,208.5613208,None,None,208.5613208,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,213.0802024,None,damage,56,13,silent,blue,211.0675613,None,None,211.0675613,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,215.5995328,None,search,29,14,silent,blue,213.5848183,None,None,213.5848183,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,218.1186462,None,junior,3,15,silent,yellow,216.1069352,None,None,216.1069352,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,220.6212331,None,benefit,65,16,silent,red,218.619066,None,None,218.619066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,223.1236711,None,clear,31,17,silent,blue,221.1244846,None,None,221.1244846,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,225.6261272,None,entrance,15,18,silent,yellow,223.6241254,None,None,223.6241254,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,228.1287238,None,owner,35,19,silent,blue,226.1295155,None,None,226.1295155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,230.6477723,None,break,45,20,silent,blue,228.6386069,None,None,228.6386069,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,233.1503256,None,election,43,21,silent,blue,231.1482972,None,None,231.1482972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,235.6695751,None,month,19,22,silent,yellow,233.6541954,None,None,233.6541954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,238.1720268,None,write,78,23,silent,red,236.171765,None,None,236.171765,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,240.6911242,None,close,17,24,silent,yellow,238.6780066,None,None,238.6780066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,243.1936994,None,sight,5,25,silent,yellow,241.1927809,None,None,241.1927809,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,245.6962218,None,brilliant,2,26,silent,yellow,243.6963075,None,None,243.6963075,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,248.1986392,None,order,16,27,silent,yellow,246.19746,None,None,246.19746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,250.7011271,None,hearing,37,28,silent,blue,248.6997377,None,None,248.6997377,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,253.2036187,None,block,63,29,silent,red,251.2027701,None,None,251.2027701,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,255.7061442,None,candidate,20,30,silent,yellow,253.704804,None,None,253.704804,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,258.2251417,None,whole,33,31,silent,blue,256.2130194,None,None,256.2130194,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,260.7445009,None,native,54,32,silent,blue,258.7358871,None,None,258.7358871,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,263.2470902,None,suspect,24,33,silent,yellow,261.2448072,None,None,261.2448072,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,265.7495831,None,rural,21,34,silent,yellow,263.7475902,None,None,263.7475902,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,268.2521837,None,poetry,39,35,silent,blue,266.2500245,None,None,266.2500245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,270.7712192,None,sweet,1,36,silent,yellow,268.7558895,None,None,268.7558895,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,273.2905232,None,population,40,37,silent,blue,271.2824613,None,None,271.2824613,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,275.792637,None,edition,60,38,silent,red,273.7909023,None,None,273.7909023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,278.3121889,None,ground,80,39,silent,red,276.2991621,None,None,276.2991621,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,280.8312532,None,heavy,18,40,silent,yellow,278.8251435,None,None,278.8251435,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,283.3338445,None,graduate,64,41,silent,red,281.3317923,None,None,281.3317923,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,285.85302,None,science,87,42,silent,red,283.8432026,None,None,283.8432026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,288.3722019,None,general,53,43,silent,blue,286.3569241,None,None,286.3569241,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,290.8914095,None,drove,51,44,silent,blue,288.8794473,None,None,288.8794473,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,293.4106468,None,trend,52,45,silent,blue,291.3984331,None,None,291.3984331,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,295.9298646,None,private,8,46,silent,yellow,293.9241689,None,None,293.9241689,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,298.4331771,None,error,26,47,silent,yellow,296.4313972,None,None,296.4313972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,300.9514362,None,capital,41,48,silent,blue,298.9386702,None,None,298.9386702,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,303.4538954,None,weather,46,49,silent,blue,301.4533219,None,None,301.4533219,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,305.9564029,None,scale,38,50,silent,blue,303.9555109,None,None,303.9555109,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,308.4589708,None,touch,12,51,silent,yellow,306.459958,None,None,306.459958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,310.978114,None,prime,23,52,silent,yellow,308.9675867,None,None,308.9675867,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,313.4807078,None,blind,25,53,silent,yellow,311.4814255,None,None,311.4814255,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,315.9831275,None,clean,32,54,silent,blue,313.9839713,None,None,313.9839713,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,318.4856768,None,command,14,55,silent,yellow,316.4865871,None,None,316.4865871,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,321.0047917,None,company,67,56,silent,red,318.9919861,None,None,318.9919861,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,323.523962,None,committee,79,57,silent,red,321.5089294,None,None,321.5089294,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,326.0264291,None,volume,44,58,silent,blue,324.0244531,None,None,324.0244531,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec02Silent3,124,2022_Dec_02_1549,ProdSingRedoBetween,2021.2.3,59.92110787
