StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,108.05402689999755,None,a,1.5505290000000969,108.05402689999755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125Scilent,001,2023_Sep_19_0938,ProdSingRedoBetween,2021.2.3,59.97307208893416,
,,,,,,,,,,,,,,SilentTest,109.67939060000208,None,space,7.581038200005423,109.67939060000208,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125Scilent,001,2023_Sep_19_0938,ProdSingRedoBetween,2021.2.3,59.97307208893416,
0,0,0,0,,,,,,,,,,,,,,,,,,109.67939060000208,None,109.67939060000208,None,109.67939060000208,None,109.67939060000208,None,119.80172270000185,None,relation,14,1,silent,yellow,117.78563159999612,None,None,117.78563159999612,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125Scilent,001,2023_Sep_19_0938,ProdSingRedoBetween,2021.2.3,59.97307208893416,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,122.31986619999952,None,heavy,11,2,silent,yellow,120.30698259999917,None,None,120.30698259999917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125Scilent,001,2023_Sep_19_0938,ProdSingRedoBetween,2021.2.3,59.97307208893416,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,124.82221019999997,None,empty,24,3,silent,yellow,122.82056179999927,None,None,122.82056179999927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125Scilent,001,2023_Sep_19_0938,ProdSingRedoBetween,2021.2.3,59.97307208893416,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,127.32516790000227,None,series,82,4,silent,red,125.32552199999918,None,None,125.32552199999918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125Scilent,001,2023_Sep_19_0938,ProdSingRedoBetween,2021.2.3,59.97307208893416,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,129.8442081999965,None,military,4,5,silent,yellow,127.82938060000015,None,None,127.82938060000015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125Scilent,001,2023_Sep_19_0938,ProdSingRedoBetween,2021.2.3,59.97307208893416,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,132.3466144999984,None,build,88,6,silent,red,130.34657309999602,None,None,130.34657309999602,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125Scilent,001,2023_Sep_19_0938,ProdSingRedoBetween,2021.2.3,59.97307208893416,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,134.8490512999997,None,height,86,7,silent,red,132.84805329999654,None,None,132.84805329999654,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125Scilent,001,2023_Sep_19_0938,ProdSingRedoBetween,2021.2.3,59.97307208893416,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,137.3514937,None,bitter,58,8,silent,blue,135.35268730000098,None,None,135.35268730000098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125Scilent,001,2023_Sep_19_0938,ProdSingRedoBetween,2021.2.3,59.97307208893416,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,139.8542981999999,None,group,23,9,silent,yellow,137.85408639999514,None,None,137.85408639999514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125Scilent,001,2023_Sep_19_0938,ProdSingRedoBetween,2021.2.3,59.97307208893416,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,142.3568180000002,None,count,87,10,silent,red,140.35698599999887,None,None,140.35698599999887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125Scilent,001,2023_Sep_19_0938,ProdSingRedoBetween,2021.2.3,59.97307208893416,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,144.87572299999738,None,portion,44,11,silent,blue,142.86067029999685,None,None,142.86067029999685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125Scilent,001,2023_Sep_19_0938,ProdSingRedoBetween,2021.2.3,59.97307208893416,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,147.37854890000017,None,bureau,59,12,silent,yellow,145.37634499999695,None,None,145.37634499999695,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125Scilent,001,2023_Sep_19_0938,ProdSingRedoBetween,2021.2.3,59.97307208893416,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,149.89754739999626,None,sleep,22,13,silent,yellow,147.88281129999814,None,None,147.88281129999814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125Scilent,001,2023_Sep_19_0938,ProdSingRedoBetween,2021.2.3,59.97307208893416,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,152.39991069999814,None,principal,72,14,silent,red,150.40027859999827,None,None,150.40027859999827,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125Scilent,001,2023_Sep_19_0938,ProdSingRedoBetween,2021.2.3,59.97307208893416,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,154.90227059999597,None,length,41,15,silent,blue,152.90077799999563,None,None,152.90077799999563,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125Scilent,001,2023_Sep_19_0938,ProdSingRedoBetween,2021.2.3,59.97307208893416,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,157.40516959999513,None,level,18,16,silent,yellow,155.40468410000176,None,None,155.40468410000176,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125Scilent,001,2023_Sep_19_0938,ProdSingRedoBetween,2021.2.3,59.97307208893416,
