StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.rt,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,31.479808899995987,None,b,1.898639999999432,31.479808899995987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
,,,,,,,,,,,,,,AloudTest,33.44073789999675,None,space,246.14573839999503,33.44073789999675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
0,0,0,0,,,,,,,,,,,,,,,,,,33.44073789999675,None,33.44073789999675,None,33.44073789999675,None,33.44073789999675,None,282.12283910000406,None,master,35,1,aloud,blue,280.12030219999724,None,space,1.897910999992746,280.12030219999724,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,284.62538289999065,None,south,59,2,aloud,yellow,282.62481449999905,None,space,1.5934093999967445,282.62481449999905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,287.1444358000008,None,season,81,3,aloud,red,285.1303135999915,None,None,,285.1303135999915,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,289.6466375000018,None,prime,74,4,aloud,red,287.6471764000016,None,None,,287.6471764000016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,292.1491227999941,None,emergency,40,5,aloud,blue,290.14840659999754,None,None,,290.14840659999754,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,294.6683975999913,None,company,33,6,aloud,blue,292.6538598999905,None,None,,292.6538598999905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,297.17113449999306,None,comfort,3,7,aloud,yellow,295.1720268999925,None,None,,295.1720268999925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,299.69030210000346,None,question,57,8,aloud,blue,297.6806516999932,None,None,,297.6806516999932,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
