StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,13.068873599986546,None,c,0.5817638000007719,13.068873599986546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128 S,001,2023_Sep_21_1332,ProdSingRedoBetween,2021.2.3,59.96429726478077,
,,,,,,,,,,,,,,SingTest,13.694570399995428,None,space,145.802915999986,13.694570399995428,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128 S,001,2023_Sep_21_1332,ProdSingRedoBetween,2021.2.3,59.96429726478077,
0,0,0,0,,,,,,,,,,,,,,,,,,13.694570399995428,None,13.694570399995428,None,13.694570399995428,None,13.694570399995428,None,162.02470229999744,None,signal,8,1,sing,yellow,160.02547609998146,None,None,160.02547609998146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128 S,001,2023_Sep_21_1332,ProdSingRedoBetween,2021.2.3,59.96429726478077,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,164.52713309999672,None,danger,61,2,sing,red,162.5260552999971,None,None,162.5260552999971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128 S,001,2023_Sep_21_1332,ProdSingRedoBetween,2021.2.3,59.96429726478077,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,167.02977049999754,None,prime,22,3,sing,yellow,165.02914699999383,None,None,165.02914699999383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128 S,001,2023_Sep_21_1332,ProdSingRedoBetween,2021.2.3,59.96429726478077,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,169.53225499999826,None,crime,65,4,sing,red,167.53252659999998,None,None,167.53252659999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128 S,001,2023_Sep_21_1332,ProdSingRedoBetween,2021.2.3,59.96429726478077,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,172.03514449999784,None,afternoon,39,5,sing,blue,170.03368809999665,None,None,170.03368809999665,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128 S,001,2023_Sep_21_1332,ProdSingRedoBetween,2021.2.3,59.96429726478077,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,174.55429159998312,None,pattern,85,6,sing,red,172.53976859999239,None,None,172.53976859999239,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128 S,001,2023_Sep_21_1332,ProdSingRedoBetween,2021.2.3,59.96429726478077,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,177.05664199998137,None,damage,74,7,sing,red,175.05487279998488,None,None,175.05487279998488,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128 S,001,2023_Sep_21_1332,ProdSingRedoBetween,2021.2.3,59.96429726478077,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,179.55923479999183,None,captain,28,8,sing,yellow,177.55843299999833,None,None,177.55843299999833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128 S,001,2023_Sep_21_1332,ProdSingRedoBetween,2021.2.3,59.96429726478077,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,182.06164599998738,None,carry,80,9,sing,red,180.06161949998932,None,None,180.06161949998932,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128 S,001,2023_Sep_21_1332,ProdSingRedoBetween,2021.2.3,59.96429726478077,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,184.56416779998108,None,harmony,69,10,sing,red,182.56474949998665,None,None,182.56474949998665,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128 S,001,2023_Sep_21_1332,ProdSingRedoBetween,2021.2.3,59.96429726478077,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,187.082997599995,None,stranger,23,11,sing,yellow,185.07189880000078,None,None,185.07189880000078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128 S,001,2023_Sep_21_1332,ProdSingRedoBetween,2021.2.3,59.96429726478077,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,189.6024325999897,None,scale,30,12,sing,blue,187.5922066999774,None,None,187.5922066999774,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128 S,001,2023_Sep_21_1332,ProdSingRedoBetween,2021.2.3,59.96429726478077,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,192.1049538999796,None,expansion,10,13,sing,yellow,190.105874699977,None,None,190.105874699977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128 S,001,2023_Sep_21_1332,ProdSingRedoBetween,2021.2.3,59.96429726478077,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,194.6074531999766,None,member,83,14,sing,red,192.60575769998832,None,None,192.60575769998832,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128 S,001,2023_Sep_21_1332,ProdSingRedoBetween,2021.2.3,59.96429726478077,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,197.1266362000024,None,defeat,35,15,sing,blue,195.1229611999879,None,None,195.1229611999879,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128 S,001,2023_Sep_21_1332,ProdSingRedoBetween,2021.2.3,59.96429726478077,
