StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,23.10938129999886,None,c,1.495147800000268,23.10938129999886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
,,,,,,,,,,,,,,SingTest,24.662196299999778,None,space,274.5502662000017,24.662196299999778,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
0,0,0,0,,,,,,,,,,,,,,,,,,24.662196299999778,None,24.662196299999778,None,24.662196299999778,None,24.662196299999778,None,301.7562268999991,None,cousin,6,1,sing,yellow,299.74615429999903,None,None,299.74615429999903,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,304.25787239999954,None,revolution,17,2,sing,yellow,302.2575605000002,None,None,302.2575605000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,306.76046270000006,None,error,40,3,sing,blue,304.75858569999946,None,None,304.75858569999946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,309.27947139999924,None,testimony,70,4,sing,red,307.2673804999995,None,None,307.2673804999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,311.782061599999,None,store,34,5,sing,blue,309.78000339999926,None,None,309.78000339999926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,314.3012794999995,None,salary,75,6,sing,red,312.2884232999986,None,None,312.2884232999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,316.82032329999856,None,impact,86,7,sing,red,314.8102773999999,None,None,314.8102773999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,319.33963849999964,None,break,81,8,sing,red,317.33827159999964,None,None,317.33827159999964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,321.85880839999845,None,command,54,9,sing,blue,319.8480724000001,None,None,319.8480724000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,324.37796379999963,None,search,7,10,sing,yellow,322.37117119999857,None,None,322.37117119999857,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,326.8804666999986,None,alert,76,11,sing,red,324.879295499999,None,None,324.879295499999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,329.3830399999988,None,finish,31,12,sing,blue,327.3829618,None,None,327.3829618,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,331.88551819999884,None,empty,52,13,sing,blue,329.88543260000006,None,None,329.88543260000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,334.3879864999999,None,election,38,14,sing,blue,332.38738829999966,None,None,332.38738829999966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,336.9072777000001,None,distance,57,15,sing,blue,334.8920177,None,None,334.8920177,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,339.4264065999996,None,dispute,2,16,sing,yellow,337.4146217999987,None,None,337.4146217999987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,341.945550299999,None,history,1,17,sing,yellow,339.9300291999989,None,None,339.9300291999989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,344.44807070000024,None,listen,10,18,sing,yellow,342.44824659999904,None,None,342.44824659999904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,346.95056920000025,None,author,25,19,sing,yellow,344.95025559999885,None,None,344.95025559999885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,349.4696918999998,None,fashion,37,20,sing,blue,347.4570810999994,None,None,347.4570810999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,351.97214039999926,None,entrance,42,21,sing,blue,349.96996880000006,None,None,349.96996880000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,354.4746727999991,None,union,30,22,sing,blue,352.47278409999853,None,None,352.47278409999853,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,356.9772639999992,None,comfort,74,23,sing,red,354.9775088999995,None,None,354.9775088999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,359.49632779999956,None,background,62,24,sing,red,357.4838676999989,None,None,357.4838676999989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,361.9988950999996,None,point,78,25,sing,red,359.998274399999,None,None,359.998274399999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,364.5180834999992,None,orchestra,87,26,sing,red,362.50351799999953,None,None,362.50351799999953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,367.0204890999994,None,broad,55,27,sing,blue,365.01935520000006,None,None,365.01935520000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,369.5399060999989,None,interior,53,28,sing,blue,367.52430529999947,None,None,367.52430529999947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,372.04227960000026,None,front,47,29,sing,blue,370.04011379999974,None,None,370.04011379999974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30sing,001,2023_Sep_25_1118,ProdSingRedoBetween,2021.2.3,59.951067938489864,
