StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,42.01267349999398,None,c,4.139663299996755,42.01267349999398,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131Sing,001,2023_Sep_28_0955,ProdSingRedoBetween,2021.2.3,59.80238898663877,
,,,,,,,,,,,,,,SingTest,46.23130569999921,None,space,253.4892269999982,46.23130569999921,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131Sing,001,2023_Sep_28_0955,ProdSingRedoBetween,2021.2.3,59.80238898663877,
0,0,0,0,,,,,,,,,,,,,,,,,,46.23130569999921,None,46.23130569999921,None,46.23130569999921,None,46.23130569999921,None,302.27274939999916,None,payment,31,1,sing,blue,300.26533510000445,None,None,300.26533510000445,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131Sing,001,2023_Sep_28_0955,ProdSingRedoBetween,2021.2.3,59.80238898663877,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,304.77547629999754,None,drama,70,2,sing,red,302.77344679999806,None,None,302.77344679999806,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131Sing,001,2023_Sep_28_0955,ProdSingRedoBetween,2021.2.3,59.80238898663877,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,307.277728999994,None,recall,37,3,sing,blue,305.27555340000254,None,None,305.27555340000254,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131Sing,001,2023_Sep_28_0955,ProdSingRedoBetween,2021.2.3,59.80238898663877,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,309.7967137999949,None,permit,67,4,sing,red,307.79179479999584,None,None,307.79179479999584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131Sing,001,2023_Sep_28_0955,ProdSingRedoBetween,2021.2.3,59.80238898663877,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,312.29860019999614,None,phrase,35,5,sing,blue,310.297281799998,None,None,310.297281799998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131Sing,001,2023_Sep_28_0955,ProdSingRedoBetween,2021.2.3,59.80238898663877,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,314.80090469999413,None,relation,28,6,sing,yellow,312.7989560999995,None,None,312.7989560999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131Sing,001,2023_Sep_28_0955,ProdSingRedoBetween,2021.2.3,59.80238898663877,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,317.3201759999938,None,trail,74,7,sing,red,315.3058127999975,None,None,315.3058127999975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131Sing,001,2023_Sep_28_0955,ProdSingRedoBetween,2021.2.3,59.80238898663877,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,319.8227203999995,None,tennis,85,8,sing,red,317.82368650000717,None,None,317.82368650000717,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131Sing,001,2023_Sep_28_0955,ProdSingRedoBetween,2021.2.3,59.80238898663877,
