StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.392168700000013,None,b,2.9124138000000244,20.392168700000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
,,,,,,,,,,,,,,AloudTest,23.38475249999999,None,space,1090.7684244,23.38475249999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
0,0,0,0,,,,,,,,,,,,,,,,,,23.38475249999999,None,23.38475249999999,None,23.38475249999999,None,23.38475249999999,None,1116.6891957,None,sweet,44,1,aloud,blue,1114.6778564,None,None,1114.6778564,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1119.1914456,None,waste,6,2,aloud,yellow,1117.1920648,None,None,1117.1920648,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,1121.7098317,None,author,41,3,aloud,blue,1119.6946233,None,None,1119.6946233,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,1124.2120077,None,weight,0,4,aloud,yellow,1122.2104397,None,None,1122.2104397,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,1126.7147873000001,None,addition,51,5,aloud,blue,1124.7127192,None,None,1124.7127192,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,1129.2172583,None,election,87,6,aloud,red,1127.2153087,None,None,1127.2153087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,1131.7198047,None,breath,64,7,aloud,red,1129.7177715,None,None,1129.7177715,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,1134.2222674,None,plane,32,8,aloud,blue,1132.220618,None,None,1132.220618,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,1136.7415057,None,point,89,9,aloud,red,1134.7299565,None,None,1134.7299565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,1139.2440687,None,oxygen,23,10,aloud,yellow,1137.2419637,None,None,1137.2419637,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,1141.763137,None,notice,22,11,aloud,yellow,1139.7483832,None,None,1139.7483832,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,1144.2656583,None,graduate,61,12,aloud,red,1142.2636627,None,None,1142.2636627,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,1146.7681206,None,entrance,76,13,aloud,red,1144.7661431,None,None,1144.7661431,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,1149.2706458,None,military,11,14,aloud,yellow,1147.2690335,None,None,1147.2690335,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,1151.7731705,None,corner,7,15,aloud,yellow,1149.7739286,None,None,1149.7739286,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,1154.2924222,None,victory,80,16,aloud,red,1152.2885019,None,None,1152.2885019,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,1156.7948695,None,weather,3,17,aloud,yellow,1154.7931780000001,None,None,1154.7931780000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,1159.314033,None,spoke,78,18,aloud,red,1157.3023667,None,None,1157.3023667,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,1161.8331811,None,silence,40,19,aloud,blue,1159.8202606,None,None,1159.8202606,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,1164.3523554,None,smooth,82,20,aloud,red,1162.3420762,None,None,1162.3420762,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,1166.854909,None,substance,9,21,aloud,yellow,1164.8558428000001,None,None,1164.8558428000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,1169.3741784000001,None,watch,34,22,aloud,blue,1167.3647342,None,None,1167.3647342,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,1171.8766064000001,None,bucket,55,23,aloud,blue,1169.8744707,None,None,1169.8744707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,1174.3958736,None,gesture,49,24,aloud,blue,1172.3841257,None,None,1172.3841257,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,1176.8983175,None,population,74,25,aloud,red,1174.8973194,None,None,1174.8973194,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,1179.4174323,None,review,43,26,aloud,blue,1177.406071,None,None,1177.406071,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,1181.9198536000001,None,goose,57,27,aloud,blue,1179.9180179,None,None,1179.9180179,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,1184.4223595,None,scale,83,28,aloud,red,1182.4230313,None,None,1182.4230313,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,1186.9249223,None,finish,15,29,aloud,yellow,1184.925043,None,None,1184.925043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,1189.4274047000001,None,drove,24,30,aloud,yellow,1187.4253659,None,None,1187.4253659,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,1191.9465789,None,captain,39,31,aloud,blue,1189.9320964,None,None,1189.9320964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,1194.4656881,None,century,79,32,aloud,red,1192.4519086,None,None,1192.4519086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,1196.9681595,None,thick,50,33,aloud,blue,1194.9662536,None,None,1194.9662536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,1199.4875152,None,expansion,12,34,aloud,yellow,1197.4806314,None,None,1197.4806314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,1201.990006,None,clear,70,35,aloud,red,1199.9880066,None,None,1199.9880066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,1204.5091881,None,surface,38,36,aloud,blue,1202.4946369,None,None,1202.4946369,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,1207.0116572,None,answer,20,37,aloud,yellow,1205.0124896,None,None,1205.0124896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,1209.5308212,None,dream,48,38,aloud,blue,1207.5154417,None,None,1207.5154417,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,1212.0334174,None,comfort,67,39,aloud,red,1210.0313358,None,None,1210.0313358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,1214.5358822,None,marriage,62,40,aloud,red,1212.5362191,None,None,1212.5362191,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,1217.0383174,None,drama,69,41,aloud,red,1215.0380433,None,None,1215.0380433,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,1219.5575019,None,safety,75,42,aloud,red,1217.5424885,None,None,1217.5424885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,1222.0766047,None,edition,26,43,aloud,yellow,1220.0623584,None,None,1220.0623584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,1224.5791374,None,health,88,44,aloud,red,1222.5771255,None,None,1222.5771255,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,1227.0983567,None,tragedy,58,45,aloud,blue,1225.0836009,None,None,1225.0836009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,1229.6008454,None,fashion,47,46,aloud,blue,1227.601757,None,None,1227.601757,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,1232.1200336,None,commercial,16,47,aloud,yellow,1230.1044931000001,None,None,1230.1044931000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,1234.6393377,None,equipment,14,48,aloud,yellow,1232.6254693,None,None,1232.6254693,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,001,2023_Sep_28_1136,ProdSingRedoBetween,2021.2.3,59.934790947463895,
