StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,24.201288599986583,None,c,5.486175399972126,24.201288599986583,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134Sing,001,2023_Oct_06_1155,ProdSingRedoBetween,2021.2.3,59.97641724677587,
,,,,,,,,,,,,,,SingTest,29.754160700016655,None,space,694.4051996000344,29.754160700016655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134Sing,001,2023_Oct_06_1155,ProdSingRedoBetween,2021.2.3,59.97641724677587,
0,0,0,0,,,,,,,,,,,,,,,,,,29.754160700016655,None,29.754160700016655,None,29.754160700016655,None,29.754160700016655,None,726.7052111999365,None,mankind,74,1,sing,red,724.704888499924,None,None,724.704888499924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134Sing,001,2023_Oct_06_1155,ProdSingRedoBetween,2021.2.3,59.97641724677587,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,729.224518999923,None,signal,16,2,sing,yellow,727.2107301999349,None,None,727.2107301999349,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134Sing,001,2023_Oct_06_1155,ProdSingRedoBetween,2021.2.3,59.97641724677587,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,731.7271753000095,None,partner,4,3,sing,yellow,729.7250679000281,None,None,729.7250679000281,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134Sing,001,2023_Oct_06_1155,ProdSingRedoBetween,2021.2.3,59.97641724677587,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,734.2295646999264,None,profession,53,4,sing,blue,732.2304682999384,None,None,732.2304682999384,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134Sing,001,2023_Oct_06_1155,ProdSingRedoBetween,2021.2.3,59.97641724677587,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,736.7320765999611,None,range,88,5,sing,red,734.7307195999892,None,None,734.7307195999892,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134Sing,001,2023_Oct_06_1155,ProdSingRedoBetween,2021.2.3,59.97641724677587,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,739.2346107999329,None,production,22,6,sing,yellow,737.2343901999993,None,None,737.2343901999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134Sing,001,2023_Oct_06_1155,ProdSingRedoBetween,2021.2.3,59.97641724677587,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,741.7370296999579,None,health,56,7,sing,blue,739.7359226000262,None,None,739.7359226000262,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134Sing,001,2023_Oct_06_1155,ProdSingRedoBetween,2021.2.3,59.97641724677587,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,744.256220899988,None,raise,68,8,sing,red,742.2445002000313,None,None,742.2445002000313,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134Sing,001,2023_Oct_06_1155,ProdSingRedoBetween,2021.2.3,59.97641724677587,
