StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,24.844889999978477,None,a,3.465813499991782,24.844889999978477,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135Silent,001,2023_Oct_26_0837,ProdSingRedoBetween,2021.2.3,59.921000155251505,
,,,,,,,,,,,,,,SilentTest,28.37132809998002,None,space,175.97940879999078,28.37132809998002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135Silent,001,2023_Oct_26_0837,ProdSingRedoBetween,2021.2.3,59.921000155251505,
0,0,0,0,,,,,,,,,,,,,,,,,,28.37132809998002,None,28.37132809998002,None,28.37132809998002,None,28.37132809998002,None,206.8949666999979,None,orchestra,89,1,silent,red,204.88078649999807,None,None,204.88078649999807,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135Silent,001,2023_Oct_26_0837,ProdSingRedoBetween,2021.2.3,59.921000155251505,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,209.39755259998492,None,property,85,2,silent,red,207.39595409997855,None,None,207.39595409997855,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135Silent,001,2023_Oct_26_0837,ProdSingRedoBetween,2021.2.3,59.921000155251505,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,211.9002283999871,None,review,68,3,silent,red,209.89813059999142,None,None,209.89813059999142,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135Silent,001,2023_Oct_26_0837,ProdSingRedoBetween,2021.2.3,59.921000155251505,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,214.4028435999935,None,dance,84,4,silent,red,212.40074159999494,None,None,212.40074159999494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135Silent,001,2023_Oct_26_0837,ProdSingRedoBetween,2021.2.3,59.921000155251505,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,216.90520779998042,None,citizen,34,5,silent,blue,214.90301429998362,None,None,214.90301429998362,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135Silent,001,2023_Oct_26_0837,ProdSingRedoBetween,2021.2.3,59.921000155251505,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,219.4076196999813,None,partner,40,6,silent,blue,217.4057464999787,None,None,217.4057464999787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135Silent,001,2023_Oct_26_0837,ProdSingRedoBetween,2021.2.3,59.921000155251505,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,221.92686229999526,None,attack,12,7,silent,yellow,219.9178385999985,None,None,219.9178385999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135Silent,001,2023_Oct_26_0837,ProdSingRedoBetween,2021.2.3,59.921000155251505,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,224.42921370000113,None,production,35,8,silent,blue,222.42731139998068,None,None,222.42731139998068,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135Silent,001,2023_Oct_26_0837,ProdSingRedoBetween,2021.2.3,59.921000155251505,
