StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.779787399999975,None,b,1.0911613000000102,20.779787399999975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138Aloud,001,2023_Oct_27_1157,ProdSingRedoBetween,2021.2.3,59.952325910441196,
,,,,,,,,,,,,,,AloudTest,21.92273369999998,None,space,184.7159697,21.92273369999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138Aloud,001,2023_Oct_27_1157,ProdSingRedoBetween,2021.2.3,59.952325910441196,
0,0,0,0,,,,,,,,,,,,,,,,,,21.92273369999998,None,21.92273369999998,None,21.92273369999998,None,21.92273369999998,None,209.17575559999997,None,debate,49,1,aloud,blue,207.16844109999997,None,None,207.16844109999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138Aloud,001,2023_Oct_27_1157,ProdSingRedoBetween,2021.2.3,59.952325910441196,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,211.678188,None,stand,44,2,aloud,blue,209.678635,None,None,209.678635,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138Aloud,001,2023_Oct_27_1157,ProdSingRedoBetween,2021.2.3,59.952325910441196,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,214.18070659999998,None,route,30,3,aloud,blue,212.178643,None,None,212.178643,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138Aloud,001,2023_Oct_27_1157,ProdSingRedoBetween,2021.2.3,59.952325910441196,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,216.6997544,None,short,24,4,aloud,yellow,214.68942279999996,None,None,214.68942279999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138Aloud,001,2023_Oct_27_1157,ProdSingRedoBetween,2021.2.3,59.952325910441196,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,219.20202129999998,None,reach,42,5,aloud,blue,217.2000528,None,None,217.2000528,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138Aloud,001,2023_Oct_27_1157,ProdSingRedoBetween,2021.2.3,59.952325910441196,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,221.70461709999998,None,message,15,6,aloud,yellow,219.70251089999996,None,None,219.70251089999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138Aloud,001,2023_Oct_27_1157,ProdSingRedoBetween,2021.2.3,59.952325910441196,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,224.22415729999997,None,thick,79,7,aloud,red,222.2115449,None,None,222.2115449,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138Aloud,001,2023_Oct_27_1157,ProdSingRedoBetween,2021.2.3,59.952325910441196,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,226.74328539999996,None,afternoon,89,8,aloud,red,224.73061319999996,None,None,224.73061319999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138Aloud,001,2023_Oct_27_1157,ProdSingRedoBetween,2021.2.3,59.952325910441196,
