StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,66.88328779999938,None,a,2.407922899999903,66.88328779999938,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent13,001,2022_Aug_03_1538,ProdSingRedoBetween,2021.2.3,59.883825378867684,
,,,,,,,,,,,,,,SilentTest,69.33393389999947,None,space,164.85328669999944,69.33393389999947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent13,001,2022_Aug_03_1538,ProdSingRedoBetween,2021.2.3,59.883825378867684,
0,0,0,0,,,,,,,,,,,,,,,,,,69.33393389999947,None,69.33393389999947,None,69.33393389999947,None,69.33393389999947,None,236.72790710000027,None,pressure,64,1,silent,red,234.71445589999985,None,None,234.71445589999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent13,001,2022_Aug_03_1538,ProdSingRedoBetween,2021.2.3,59.883825378867684,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,239.23054109999975,None,commercial,19,2,silent,yellow,237.2286095999998,None,None,237.2286095999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent13,001,2022_Aug_03_1538,ProdSingRedoBetween,2021.2.3,59.883825378867684,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,241.7331368999994,None,drama,21,3,silent,yellow,239.73104749999948,None,None,239.73104749999948,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent13,001,2022_Aug_03_1538,ProdSingRedoBetween,2021.2.3,59.883825378867684,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,244.25235489999977,None,little,81,4,silent,red,242.2381921999995,None,None,242.2381921999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent13,001,2022_Aug_03_1538,ProdSingRedoBetween,2021.2.3,59.883825378867684,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,246.77143090000027,None,signal,42,5,silent,blue,244.75676490000023,None,None,244.75676490000023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent13,001,2022_Aug_03_1538,ProdSingRedoBetween,2021.2.3,59.883825378867684,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,249.27387089999957,None,bicycle,3,6,silent,yellow,247.27315589999944,None,None,247.27315589999944,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent13,001,2022_Aug_03_1538,ProdSingRedoBetween,2021.2.3,59.883825378867684,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,251.79315270000006,None,suggestion,51,7,silent,blue,249.7832067999998,None,None,249.7832067999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent13,001,2022_Aug_03_1538,ProdSingRedoBetween,2021.2.3,59.883825378867684,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,254.2955775999999,None,general,80,8,silent,red,252.2933935000001,None,None,252.2933935000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent13,001,2022_Aug_03_1538,ProdSingRedoBetween,2021.2.3,59.883825378867684,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,256.79821829999946,None,committee,46,9,silent,blue,254.79799889999958,None,None,254.79799889999958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent13,001,2022_Aug_03_1538,ProdSingRedoBetween,2021.2.3,59.883825378867684,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,259.30062929999985,None,debate,71,10,silent,red,257.2986132999995,None,None,257.2986132999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent13,001,2022_Aug_03_1538,ProdSingRedoBetween,2021.2.3,59.883825378867684,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,261.8199317999997,None,point,74,11,silent,red,259.80731039999955,None,None,259.80731039999955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent13,001,2022_Aug_03_1538,ProdSingRedoBetween,2021.2.3,59.883825378867684,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,264.32206750000023,None,front,65,12,silent,red,262.3203649999996,None,None,262.3203649999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent13,001,2022_Aug_03_1538,ProdSingRedoBetween,2021.2.3,59.883825378867684,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,266.8245648000002,None,bucket,49,13,silent,blue,264.8224909999999,None,None,264.8224909999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent13,001,2022_Aug_03_1538,ProdSingRedoBetween,2021.2.3,59.883825378867684,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,269.3440859000002,None,detective,33,14,silent,blue,267.3334076000001,None,None,267.3334076000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent13,001,2022_Aug_03_1538,ProdSingRedoBetween,2021.2.3,59.883825378867684,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,271.8466085,None,emergency,30,15,silent,blue,269.8458547,None,None,269.8458547,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent13,001,2022_Aug_03_1538,ProdSingRedoBetween,2021.2.3,59.883825378867684,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,274.3657806000001,None,shape,27,16,silent,yellow,272.35061339999993,None,None,272.35061339999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent13,001,2022_Aug_03_1538,ProdSingRedoBetween,2021.2.3,59.883825378867684,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,276.8683923999997,None,silence,20,17,silent,yellow,274.86908719999974,None,None,274.86908719999974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent13,001,2022_Aug_03_1538,ProdSingRedoBetween,2021.2.3,59.883825378867684,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,279.3706879000001,None,distance,28,18,silent,yellow,277.3684621000002,None,None,277.3684621000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent13,001,2022_Aug_03_1538,ProdSingRedoBetween,2021.2.3,59.883825378867684,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,281.88991129999977,None,ground,26,19,silent,yellow,279.88374959999965,None,None,279.88374959999965,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent13,001,2022_Aug_03_1538,ProdSingRedoBetween,2021.2.3,59.883825378867684,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,284.3923213999997,None,beauty,87,20,silent,red,282.3915576999998,None,None,282.3915576999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent13,001,2022_Aug_03_1538,ProdSingRedoBetween,2021.2.3,59.883825378867684,
